,,,,,,
Rk,,From,To,G,Pos,AV
1,Jim Hart,1967,1983,198,QB,136
2,Larry Wilson,1960,1972,169,DB,111
3,Roger Wehrli,1969,1982,193,DB,108
4,Aeneas Williams,1991,2000,160,DB,101
5,Dan Dierdorf,1971,1983,160,T,99
6,Luis Sharpe,1982,1994,189,T,98
7,Jackie Smith,1963,1977,186,TE,95
8,Ken Gray,1958,1969,151,G,89
9,Ernie McMillan,1961,1974,178,T,89
10,Larry Stallings,1963,1976,181,LB,85
11,Adrian Wilson,2001,2012,181,DB,85
12,Roy Green,1979,1990,168,WR,84
13,Neil Lomax,1981,1988,108,QB,82
14,Larry Fitzgerald,2004,2012,140,WR,81
15,Darnell Dockett,2004,2012,142,DT,80
16,Ottis Anderson,1979,1986,99,RB,78
17,Bobby Joe Conrad,1958,1968,148,FL,78
18,Mel Gray,1971,1982,145,WR,77
19,Jim Bakken,1963,1978,226,K,71
20,Ollie Matson,1952,1958,72,RB,67
21,Dale Meinert,1958,1967,125,LB,67
22,Bob DeMarco,1961,1969,107,C,66
23,Pat Tilley,1976,1985,146,WR,66
24,Don Stonesifer,1951,1956,72,E,64
25,Anquan Boldin,2003,2009,95,WR,63
26,Tom Banks,1971,1980,116,C,62
27,Night Train Lane,1954,1959,68,DB,62
28,Sonny Randle,1959,1966,97,E,62
29,Irv Goode,1962,1971,134,G,61
,,,,,,
Rk,,From,To,G,Pos,AV
30,E.J. Junior,1981,1988,111,LB,61
31,Bill Koman,1959,1967,121,LB,61
32,Jimmy Hill,1955,1964,104,DB,59
33,Terry Metcalf,1973,1977,65,RB,59
34,Charley Johnson,1962,1969,83,QB,58
35,Lance Smith,1985,1993,140,G,58
36,Bob Reynolds,1963,1973,122,T,57
37,Tootie Robbins,1982,1991,132,T,57
38,Jerry Stovall,1963,1971,97,DB,57
39,Eric Hill,1989,1997,133,LB,56
40,Freddie Joe Nunn,1985,1993,131,DE,56
41,Joe Bostic,1979,1988,132,G,55
42,John David Crow,1958,1964,66,HB,55
43,Ronald McKinnon,1996,2004,141,LB,53
44,Mark Arneson,1972,1980,127,LB,52
45,Bob Rowe,1967,1975,122,DT,51
46,Stump Mitchell,1981,1989,116,RB,50
47,Frank Sanders,1995,2002,123,WR,50
48,Eric Swann,1991,1999,111,DT,49
49,Kurt Warner,2005,2009,62,QB,49
50,Gern Nagler,1953,1958,54,E,48
51,Jerry Norton,1959,1961,38,DB,48
52,Leo Sanford,1951,1957,84,LB,48
53,Bob Young,1972,1979,105,G,48
54,Jake Plummer,1997,2002,84,QB,47
55,Joe Robb,1961,1967,92,DE,47
56,Chuck Walker,1964,1972,96,DT,47
57,Conrad Dobler,1972,1977,80,G,46
58,Ron Yankowski,1971,1980,128,DE,46
59,Leo Sugar,1954,1960,84,DE,45
,,,,,,
Rk,,From,To,G,Pos,AV
60,Don Brumm,1963,1972,95,DE,44
61,Larry Centers,1991,1998,120,FB,44
62,Karlos Dansby,2004,2009,90,LB,44
63,Pat Fischer,1962,1967,75,DB,44
