,,,,,,
Rk,,From,To,G,Pos,AV
1,Mike Kenn,1978,1994,251,T,138
2,Jeff Van Note,1969,1986,246,C,112
3,Todd McClure,2000,2012,197,C,98
4,Jessie Tuggle,1987,2000,209,LB,95
5,Roddy White,2005,2012,128,WR,89
6,Bob Whitfield,1992,2003,178,T,89
7,Keith Brooking,1998,2008,161,LB,84
8,Steve Bartkowski,1975,1985,123,QB,83
9,Claude Humphrey,1968,1978,127,DE,80
10,William Andrews,1979,1986,87,RB,75
11,Greg Brezina,1968,1979,151,LB,73
12,Matt Ryan,2008,2012,78,QB,73
13,Rolland Lawrence,1973,1980,118,DB,71
14,Michael Vick,2001,2006,74,QB,68
15,Terance Mathis,1994,2001,126,WR,67
16,Tommy Nobis,1966,1976,133,LB,66
17,Bill Fralic,1985,1992,116,G,63
18,John Abraham,2006,2012,102,DE,62
19,Alfred Jenkins,1975,1983,109,WR,62
20,R.C. Thielemann,1977,1984,114,G,62
21,Bobby Butler,1981,1992,169,DB,57
22,Warrick Dunn,2002,2007,90,RB,57
23,Scott Case,1984,1994,162,DB,56
24,Patrick Kerney,1999,2006,121,DE,56
25,Tyson Clabo,2006,2012,100,T,55
26,Jamal Anderson,1995,2001,85,RB,53
27,Gerald Riggs,1982,1988,91,RB,53
28,Andre Rison,1990,1994,78,WR,52
29,Ray Buchanan,1997,2003,107,DB,51
,,,,,,
Rk,,From,To,G,Pos,AV
30,Buddy Curry,1980,1987,109,LB,51
31,Jeff Merrow,1975,1983,108,DE,51
32,Tom Pridemore,1978,1985,121,DB,51
33,Jonathan Babineaux,2005,2012,122,DE,50
34,Ray Brown,1971,1977,94,DB,50
35,Chris Chandler,1997,2001,68,QB,50
36,Mike Gann,1985,1993,118,DE,50
37,Don Hansen,1969,1975,95,LB,50
38,Mike Lewis,1971,1979,120,DT,50
39,Justin Blalock,2007,2012,93,G,49
40,Deion Sanders,1989,1993,70,DB,49
41,Michael Turner,2008,2012,75,RB,49
42,Joel Williams,1979,1989,98,LB,49
43,John Rade,1983,1991,122,LB,48
44,Chuck Smith,1992,1999,123,DE,48
45,John Zook,1969,1975,98,DE,48
46,Fulton Kuykendall,1975,1984,123,LB,47
47,Jeff Yeates,1976,1984,112,DE,47
48,Travis Hall,1996,2004,133,DT,46
49,Chris Miller,1987,1993,69,QB,46
50,Jim R. Mitchell,1969,1979,155,TE,46
51,Todd Weiner,2002,2008,103,T,46
52,Ken Reaves,1966,1973,112,DB,45
53,Alge Crumpler,2001,2007,108,TE,43
54,Rick Bryan,1984,1993,109,DE,42
55,Warren Bryant,1977,1983,95,T,42
56,Kynan Forney,2001,2007,95,G,42
57,Jamie Dukes,1986,1993,106,C,41
58,George Kunz,1969,1974,79,T,41
