,,,,,,
Rk,,From,To,G,Pos,AV
1,Bruce Smith,1985,1999,217,DE,194
2,Thurman Thomas,1988,1999,173,RB,136
3,Jim Kelly,1986,1996,160,QB,132
4,Andre Reed,1985,1999,221,WR,132
5,Kent Hull,1986,1996,170,C,107
6,O.J. Simpson,1969,1977,112,RB,107
7,Joe Ferguson,1973,1984,164,QB,100
8,Fred Smerlas,1979,1989,162,NT,97
9,Mike Stratton,1962,1972,142,LB,95
10,Jim Ritcher,1980,1993,203,G,88
11,Cornelius Bennett,1987,1995,129,LB,85
12,Eric Moulds,1996,2005,154,WR,85
13,Darryl Talley,1983,1994,188,LB,84
14,Ruben Brown,1995,2003,136,G,83
15,Joe Devlin,1976,1989,191,T,79
16,Phil Hansen,1991,2001,156,DE,77
17,Reggie McKenzie,1972,1982,147,G,76
18,Butch Byrd,1964,1970,98,DB,73
19,Tom Sestak,1962,1968,96,DT,72
20,Steve Freeman,1975,1986,178,DB,71
21,Aaron Schobel,2001,2009,128,DE,69
22,Jim Dunaway,1963,1971,126,DT,68
23,Billy Shaw,1961,1969,119,G,68
24,Joe DeLamielleure,1973,1985,112,G,67
25,Henry Jones,1991,2000,144,DB,67
26,Ron McDole,1963,1970,109,DE,67
27,Ben Williams,1976,1985,147,DE,67
28,Charles Romes,1977,1986,151,DB,66
29,Ken Jones,1976,1986,158,T,61
,,,,,,
Rk,,From,To,G,Pos,AV
30,John Fina,1992,2001,148,T,60
31,Stew Barber,1961,1969,125,T,59
32,Chris Kelsay,2003,2012,147,DE,59
33,Nate Odomes,1987,1993,108,DB,59
34,Ted Washington,1995,2000,96,NT,59
35,Elbert Dubenion,1960,1967,99,FL,57
36,Terrence McGee,2003,2011,115,DB,57
37,Will Wolford,1986,1992,102,T,56
38,Jack Kemp,1962,1969,88,QB,55
39,George Saimes,1963,1969,91,DB,55
40,Lee Evans,2004,2010,109,WR,54
41,Mario Clark,1976,1983,115,DB,53
42,Shane Conlan,1987,1992,80,LB,53
43,Tony Greene,1971,1979,128,DB,53
44,Harry Jacobs,1963,1969,91,LB,49
45,Lucius Sanford,1978,1986,118,LB,49
46,Howard Ballard,1988,1993,96,T,48
47,Joe Cribbs,1980,1985,64,RB,48
48,John Tracey,1962,1967,81,LB,48
49,Kyle Williams,2006,2012,99,DT,48
50,Bob Chandler,1972,1978,100,WR,47
51,Will Grant,1978,1985,121,C,47
52,Nate Clements,2001,2006,96,DB,46
53,Tom Day,1961,1968,96,DE,46
54,Booker Edgerson,1962,1969,100,DB,46
55,Mark Kelso,1987,1993,96,DB,46
56,Jerry Ostroski,1994,2001,106,G,46
57,Sherman White,1976,1983,106,DE,46
58,Al Bemiller,1961,1969,126,C,45
59,Jim Haslett,1979,1985,86,LB,45
,,,,,,
Rk,,From,To,G,Pos,AV
60,Robert James,1969,1974,83,DB,45
61,Frank Lewis,1978,1983,80,WR,45
62,Thomas Smith,1993,1999,110,DB,45
63,London Fletcher,2002,2006,80,LB,42
64,Kurt Schulz,1992,1999,107,DB,41
65,Jim Braxton,1971,1978,79,RB,40
66,Glenn Parker,1990,1996,104,G,40
