,,,,,,
Rk,,From,To,G,Pos,AV
1,Steve Smith,2001,2012,167,WR,111
2,Julius Peppers,2002,2009,122,DE,96
3,Muhsin Muhammad,1996,2009,155,WR,88
4,Jordan Gross,2003,2012,151,T,79
5,Mike Minter,1997,2006,148,DB,66
6,Mike Rucker,1999,2007,139,DE,65
7,Jake Delhomme,2003,2009,91,QB,62
8,Kris Jenkins,2001,2007,84,DT,58
9,Chris Gamble,2004,2012,123,DB,57
10,John Kasay,1995,2010,219,K,52
11,Jon Beason,2007,2012,68,LB,51
12,DeAngelo Williams,2006,2012,96,RB,49
13,Steve Beuerlein,1996,2000,59,QB,47
14,Travelle Wharton,2004,2011,98,T,47
15,Eric Davis,1996,2000,78,DB,42
16,Frank Garcia,1995,2000,91,C,41
17,Ryan Kalil,2007,2012,70,C,40
18,Sam Mills,1995,1997,48,LB,39
19,Wesley Walls,1996,2002,98,TE,39
20,Thomas Davis,2005,2012,86,LB,36
21,Cam Newton,2011,2012,32,QB,35
22,Jeff Mitchell,2001,2005,78,C,34
23,Brentson Buckner,2001,2005,71,DT,33
24,Kevin Greene,1996,1999,47,LB,33
25,Lamar Lathon,1995,1998,48,LB,33
26,Dan Morgan,2001,2007,58,LB,33
27,Jonathan Stewart,2008,2012,71,RB,32
28,DeShaun Foster,2003,2007,63,RB,31
29,Ken Lucas,2005,2008,60,DB,31
,,,,,,
Rk,,From,To,G,Pos,AV
30,Will Witherspoon,2002,2005,62,LB,31
31,Charles Godfrey,2008,2012,73,DB,30
32,Matt Campbell,1995,2000,69,G,29
33,James Anderson,2006,2012,94,LB,28
34,Geoff Hangartner,2006,2012,76,C,28
35,Greg Kragen,1995,1997,48,NT,28
36,Richard Marshall,2006,2010,80,DB,28
37,Charles Johnson,2007,2012,79,DE,27
38,Sean Gilbert,1998,2002,64,DT,26
39,Chris Terry,1999,2002,57,T,26
40,Tim Biakabutuka,1996,2001,50,RB,25
41,Blake Brockermeyer,1995,1998,58,T,25
42,Doug Evans,1998,2001,57,DB,25
43,Deon Grant,2001,2003,48,DB,24
44,Micheal Barrow,1997,1999,48,LB,23
45,Mark Carrier,1995,1998,57,WR,23
46,Mike Fox,1995,1998,54,DE,23
47,Tyrone Poole,1995,1997,47,DB,23
48,Mike Wahle,2005,2007,45,G,23
49,Tyler Brayton,2008,2010,46,DE,22
50,Na'il Diggs,2006,2009,61,LB,22
51,Chris Harris,2007,2009,44,DB,21
52,Anthony Johnson,1995,1999,71,RB,21
53,Damione Lewis,2006,2009,62,DT,21
54,Kerry Collins,1995,1998,45,QB,20
55,Norbert Davidds-Garrido,1996,1999,59,T,20
56,Ma'ake Kemoeatu,2006,2008,46,DT,20
57,Jamar Nesbit,1999,2002,53,G,19
58,Pat Terrell,1995,1997,48,DB,19
59,Gerald Williams,1995,1997,37,NT,19
,,,,,,
Rk,,From,To,G,Pos,AV
60,Carlton Bailey,1995,1997,40,LB,18
61,Todd Steussie,2001,2003,48,T,18
62,Lester Towns,2000,2003,55,LB,18
63,Stephen Davis,2003,2005,29,RB,17
64,Nick Goings,2001,2006,85,RB,17
65,Donald Hayes,1998,2001,51,WR,17
66,Rocket Ismail,1996,1998,42,WR,17
67,Fred Lane,1997,1999,42,RB,17
68,Tim Morabito,1997,2000,48,DT,17
69,Al Wallace,2002,2006,80,DE,17
70,Jason Baker,2005,2011,112,P,16
71,Mark Fields,2002,2004,29,LB,16
72,Brad Hoover,2000,2009,152,FB,16
73,Reggie Howard,2001,2003,40,DB,16
74,Ricky Manning,2003,2005,48,DB,16
75,Sherrod Martin,2009,2012,59,DB,16
76,Brett Maxie,1995,1996,29,DB,16
77,Byron Bell,2011,2012,31,T,15
78,Clarence Jones,1999,2000,27,T,15
79,Brandon LaFell,2010,2012,44,WR,15
80,Tutan Reyes,2004,2005,30,G,15
81,Todd Sauerbrun,2001,2004,64,P,15
82,Greg Skrepenak,1996,1997,32,T,15
83,Chad Cota,1995,1997,48,DB,14
84,Terry Cousin,2002,2003,29,DB,14
85,Kevin Donnalley,2001,2003,38,G,14
86,Matt Elliott,1995,1997,47,G,14
87,Greg Hardy,2010,2012,46,DE,14
88,Jeno James,2000,2003,55,G,14
89,Captain Munnerlyn,2010,2012,46,DB,14
,,,,,,
Rk,,From,To,G,Pos,AV
90,Jeff Otah,2008,2011,29,T,14
91,Ricky Proehl,2003,2005,48,WR,14
92,Keydrick Vincent,2008,2009,30,G,14
93,Dean Wells,1999,2001,45,LB,14
94,Jeremy Bridges,2006,2008,41,G,13
95,Keary Colbert,2004,2007,43,WR,13
96,Chris Draft,2005,2006,32,LB,13
97,Patrick Jeffers,1999,2001,24,WR,13
98,Les Miller,1996,1998,45,NT,13
99,Kindal Moorehead,2003,2007,75,DT,13
100,Jay Williams,2000,2001,32,DE,13
101,Willie Green,1995,1996,31,WR,12
102,Kris Mangum,2000,2006,107,TE,12
103,Greg Olsen,2011,2012,32,TE,12
104,Anthony Redmon,1998,1999,25,G,12
105,Bryan Stoltenberg,1998,2000,38,C,12
106,Brent Alexander,1998,1999,32,DB,11
107,Andre Royal,1995,1997,44,LB,11
108,Mackenzy Bernadeau,2009,2011,47,G,10
109,Colin Branch,2003,2006,48,DB,10
110,Tim McKyer,1995,1995,16,DB,10
111,Hannibal Navies,1999,2002,39,LB,10
112,Jason Peter,1998,2001,38,DE,10
113,Brandon Short,2004,2005,32,LB,10
114,Dante Wesley,2002,2009,89,DB,10
115,Curtis Whitley,1995,1996,27,C,10
116,Jordan Carstens,2004,2005,28,DT,9
117,Darion Conner,1995,1995,16,LB,9
118,Dan Connor,2009,2011,39,LB,9
119,Luke Kuechly,2012,2012,16,,9
,,,,,,
Rk,,From,To,G,Pos,AV
120,Marlon McCree,2005,2005,16,DB,9
121,Garry Williams,2009,2012,39,T,9
122,Brian L. Allen,2002,2004,44,LB,8
