,,,,,,
Rk,,From,To,G,Pos,AV
1,Walter Payton,1975,1987,190,RB,168
2,Mike Singletary,1981,1992,179,LB,159
3,Brian Urlacher,2000,2012,181,LB,152
4,Dan Hampton,1979,1990,157,DE,123
5,Bill George,1952,1965,147,LB,120
6,Steve McMichael,1981,1993,191,DT,120
7,Lance Briggs,2003,2012,156,LB,117
8,Richard Dent,1983,1995,170,DE,116
9,Harlon Hill,1954,1961,89,E,114
10,Joe Fortunato,1955,1966,155,LB,108
11,Doug Atkins,1955,1966,146,DE,107
12,Gary Fencik,1976,1987,164,DB,101
13,Stan Jones,1954,1965,144,G,99
14,Dick Butkus,1965,1973,119,LB,95
15,Jay Hilgenberg,1981,1991,163,C,94
16,Olin Kreutz,1998,2010,191,C,91
17,Richie Petitbon,1959,1968,136,DB,88
18,Doug Buffone,1966,1979,186,LB,87
19,George Connor,1950,1955,67,T,81
20,Jim Osborne,1972,1984,186,DT,81
21,Charles Tillman,2003,2012,146,DB,81
22,Keith Van Horne,1981,1993,186,T,81
23,Mike Hartenstine,1975,1986,179,DE,80
24,Mark Bortz,1983,1994,171,G,79
25,Fred Williams,1952,1963,140,DT,77
26,Rick Casares,1955,1964,121,FB,72
27,Johnny Morris,1958,1967,121,FL,71
28,Rosey Taylor,1961,1969,118,DB,70
29,Neal Anderson,1986,1993,116,RB,69
,,,,,,
Rk,,From,To,G,Pos,AV
30,James O. Williams,1991,2002,158,T,68
31,Jimbo Covert,1983,1990,111,T,66
32,Otis Wilson,1980,1987,109,LB,65
33,Alex Brown,2002,2009,127,DE,64
34,Gale Sayers,1965,1969,64,RB,64
35,Ed Brown,1954,1961,98,QB,63
36,Tommie Harris,2004,2010,104,DT,62
37,Mike Brown,2000,2008,100,DB,61
38,Ed O'Bradovich,1962,1971,124,DE,61
39,Dave Duerson,1983,1989,102,DB,59
40,Herman Lee,1958,1966,119,T,59
41,Bennie McRae,1962,1970,125,DB,59
42,Mark A. Carrier,1990,1996,109,DB,58
43,Tom Thayer,1985,1992,123,G,58
44,J.C. Caroline,1956,1965,118,DB,57
45,Larry Morris,1959,1965,87,LB,57
46,Bill Bishop,1952,1960,107,DT,56
47,Mike Pyle,1961,1969,121,C,56
48,Bill Wightkin,1950,1957,92,T,55
49,Bill McColl,1952,1959,96,E,54
50,Jim Dooley,1952,1961,81,B,53
51,Matt Forte,2008,2012,75,RB,53
52,Donnell Woolford,1989,1996,111,DB,53
53,Jim Cadile,1962,1972,128,G,52
54,Mike Ditka,1961,1966,84,TE,52
55,Noah Jackson,1975,1983,125,G,52
56,Bob Kilcullen,1957,1966,104,DT,52
57,Roberto Garza,2005,2012,126,G,51
58,Adewale Ogunleye,2004,2009,87,DE,51
59,Terry Schmidt,1976,1984,121,DB,51
,,,,,,
Rk,,From,To,G,Pos,AV
60,George Blanda,1951,1958,92,QB,50
61,Doug Plank,1975,1982,101,DB,50
62,Bob Wetoska,1960,1969,128,T,50
63,Jim McMahon,1982,1988,66,QB,49
64,Shaun Gayle,1984,1994,144,DB,48
65,Jim Harbaugh,1988,1993,83,QB,48
66,Al Harris,1979,1988,117,DE,48
67,Earl Leggett,1957,1965,102,DT,48
68,Julius Peppers,2010,2012,48,DE,48
69,William Perry,1985,1993,114,DT,48
70,Ed Sprinkle,1950,1955,72,DE,47
71,Gary Campbell,1977,1983,93,LB,46
72,Jim Flanigan,1994,2000,108,DT,46
73,Jerry Fontenot,1989,1996,128,C,46
74,Mike Richardson,1983,1988,88,DB,46
75,John Hoffman,1950,1956,76,HB,45
76,Todd Perry,1993,2000,118,G,45
77,Billy Wade,1961,1965,57,QB,45
78,Trace Armstrong,1989,1994,88,DE,44
79,Curtis Conway,1993,1999,92,WR,44
80,Allan Ellis,1973,1980,94,DB,44
81,Larry Strickland,1954,1959,62,C,44
82,Joe Taylor,1967,1974,108,DB,44
83,Chris Villarrial,1996,2003,116,G,44
84,Don Kindt,1950,1955,72,DB,43
85,Gene Schroeder,1951,1957,64,E,43
86,Dave Whitsell,1961,1966,84,DB,43
87,Wayne Hansen,1950,1958,99,LB,42
88,Wilber Marshall,1984,1987,59,LB,42
89,Dick Gordon,1965,1971,97,WR,41
,,,,,,
Rk,,From,To,G,Pos,AV
