,,,,,,
Rk,,From,To,G,Pos,AV
1,Lou Groza,1950,1967,216,T,194
2,Jim Brown,1957,1965,118,FB,172
3,Clay Matthews,1978,1993,232,LB,124
4,Gene Hickerson,1958,1973,202,G,122
5,Dick Schafrath,1959,1971,176,T,119
6,Dante Lavelli,1950,1956,79,E,117
7,Pete Brewster,1952,1958,83,E,103
8,Leroy Kelly,1964,1973,136,RB,102
9,Ray Renfro,1953,1963,131,HB,94
10,Doug Dieken,1971,1984,203,T,92
11,Len Ford,1950,1957,88,DE,89
12,Brian Sipe,1974,1983,125,QB,88
13,Gary Collins,1962,1971,127,FL,87
14,Otto Graham,1950,1955,72,QB,87
15,Warren Lahr,1950,1959,114,DB,86
16,Hanford Dixon,1981,1989,131,DB,80
17,Walt Michaels,1952,1961,120,LB,80
18,Frank Ryan,1962,1968,84,QB,80
19,Jim Houston,1960,1972,177,LB,78
20,Michael Dean Perry,1988,1994,109,DT,78
21,Greg Pruitt,1973,1981,118,RB,78
22,Cody Risien,1979,1989,146,T,78
23,Clarence R. Scott,1971,1983,186,DB,78
24,Ozzie Newsome,1978,1990,198,TE,77
25,Bob Gain,1952,1964,114,DT,76
26,Walter Johnson,1965,1976,168,DT,76
27,Bernie Kosar,1985,1993,108,QB,75
28,Mike McCormack,1955,1962,95,T,75
29,Paul Warfield,1964,1977,96,WR,75
,,,,,,
Rk,,From,To,G,Pos,AV
30,Frank Gatski,1950,1956,84,C,72
31,Galen Fiss,1956,1966,139,LB,71
32,Frank Minnifield,1984,1992,122,DB,71
33,Jim Ray Smith,1956,1962,81,G,70
34,Don Cockroft,1968,1980,188,K,69
35,Vince Costello,1957,1966,130,LB,69
36,Jerry Sherk,1970,1981,146,DT,68
37,Paul Wiggin,1957,1967,146,DE,68
38,Thom Darden,1972,1981,128,DB,64
39,Mike Pruitt,1976,1984,124,RB,64
40,Robert E. Jackson,1975,1985,160,G,63
41,John Wooten,1959,1967,122,G,63
42,Don R. Paul,1954,1958,59,DB,62
43,Tom DeLeone,1974,1984,149,C,61
44,Joe Thomas,2007,2012,96,T,61
45,Don Colo,1953,1958,72,DT,60
46,Bob Golic,1982,1988,97,NT,60
47,Ernie Green,1962,1968,89,HB,60
48,Tommy James,1950,1955,68,DB,60
49,Bernie Parrish,1959,1966,94,DB,60
50,Ken Konz,1953,1959,84,DB,59
51,John Morrow,1960,1966,90,C,59
52,Mac Speedie,1950,1952,34,E,59
53,Charlie Hall,1971,1980,146,LB,58
54,Milt Plum,1957,1961,59,QB,58
55,Abe Gibron,1950,1956,77,G,57
56,Mike Johnson,1986,1993,112,LB,56
57,Milt Morin,1966,1974,115,TE,56
58,Chip Banks,1982,1986,73,LB,55
59,Dan Fike,1985,1992,112,G,55
,,,,,,
Rk,,From,To,G,Pos,AV
60,Bill Glass,1962,1968,94,DE,55
61,Bobby Mitchell,1958,1961,50,FL,55
62,Dub Jones,1950,1955,72,HB,54
63,Mike Baab,1982,1991,114,C,53
64,Reggie Rucker,1975,1981,103,WR,53
65,Kevin Mack,1985,1992,95,RB,52
