,,,,,,
Rk,,From,To,G,Pos,AV
1,Emmitt Smith,1990,2002,201,RB,163
2,Randy White,1975,1988,209,DT,149
3,Bob Lilly,1961,1974,196,DT,148
4,Tony Dorsett,1977,1987,157,RB,132
5,Mel Renfro,1964,1977,174,DB,130
6,Michael Irvin,1988,1999,159,WR,129
7,Too Tall Jones,1974,1989,224,DE,129
8,Roger Staubach,1969,1979,131,QB,128
9,Cornell Green,1962,1974,182,DB,124
10,Lee Roy Jordan,1963,1976,186,LB,123
11,Troy Aikman,1989,2000,165,QB,122
12,Chuck Howley,1961,1973,165,LB,122
13,Larry Allen,1994,2005,176,G,120
14,Ralph Neely,1965,1977,172,T,108
15,Nate Newton,1986,1998,191,G,106
16,Rayfield Wright,1967,1979,166,T,103
17,Danny White,1976,1988,166,QB,102
18,DeMarcus Ware,2005,2012,128,LB,100
19,Drew Pearson,1973,1983,156,WR,99
20,Jethro Pugh,1965,1978,183,DT,99
21,Tom Rafferty,1976,1989,203,C,97
22,Harvey Martin,1973,1983,158,DE,96
23,Bob Hayes,1965,1974,128,SE,95
24,Darren Woodson,1992,2003,178,DB,95
25,Flozell Adams,1998,2009,182,T,93
26,Dave Edwards,1963,1975,181,LB,92
27,Cliff Harris,1970,1979,141,DB,92
28,George Andrie,1962,1972,141,DE,89
29,D.D. Lewis,1968,1981,186,LB,87
,,,,,,
Rk,,From,To,G,Pos,AV
30,Tony Romo,2006,2012,99,QB,86
31,Greg Ellis,1998,2008,162,DE,84
32,John Niland,1966,1974,124,G,84
33,Don Meredith,1960,1968,104,QB,83
34,Tony Hill,1978,1986,127,WR,82
35,Everson Walls,1981,1989,133,DB,82
36,Erik Williams,1991,2000,141,T,81
37,Jason Witten,2003,2012,159,TE,81
38,Bob Breunig,1975,1984,135,LB,80
39,Herbert Scott,1975,1984,140,G,79
40,Charlie Waters,1970,1981,160,DB,79
41,Larry Cole,1968,1980,176,DE,77
42,Pat Donovan,1975,1983,129,T,76
43,Mark Tuinei,1983,1997,195,T,76
44,Dexter Coakley,1997,2004,127,LB,74
45,Andre Gurode,2002,2010,138,G,73
