,,,,,,
Rk,,From,To,G,Pos,AV
1,Barry Sanders,1989,1998,153,RB,150
2,Yale Lary,1952,1964,133,DB,148
3,Joe Schmidt,1953,1965,155,LB,127
4,Lem Barney,1967,1977,140,DB,121
5,Alex Karras,1958,1970,161,DT,120
6,Wayne H. Walker,1958,1972,200,LB,118
7,Dick LeBeau,1959,1972,185,DB,108
8,Jack Christiansen,1951,1958,89,DB,104
9,Bobby Layne,1950,1957,95,QB,103
10,Lomas Brown,1985,1995,164,T,97
11,Lou Creekmur,1950,1959,116,T,97
12,Herman Moore,1991,2001,145,WR,94
13,Darris McCord,1955,1967,168,DE,88
14,Kevin Glover,1985,1997,177,C,85
15,Greg Landry,1968,1978,102,QB,85
16,Robert Porcher,1992,2003,187,DE,84
17,Jeff Backus,2001,2012,190,T,83
18,Jason Hanson,1992,2012,327,K,83
19,Doug English,1975,1985,131,DT,80
20,Paul Naumoff,1967,1978,168,LB,80
21,Larry Hand,1965,1977,164,DE,78
22,Leon Hart,1950,1957,92,E,77
23,Dominic Raiola,2001,2012,187,C,77
24,Jim David,1952,1959,96,DB,76
25,Chris Spielman,1988,1995,124,LB,76
26,Doak Walker,1950,1955,67,HB,72
27,Roger Brown,1960,1966,96,DT,71
28,Ed Flanagan,1965,1974,139,C,69
29,John Gordy,1957,1967,134,G,68
,,,,,,
Rk,,From,To,G,Pos,AV
30,Harley Sewell,1953,1962,120,G,68
31,Altie Taylor,1969,1975,91,RB,67
32,Charlie Weaver,1971,1981,142,LB,67
33,Jim Doran,1951,1959,89,E,66
34,Mike Lucci,1965,1973,117,LB,66
35,Charlie Sanders,1968,1977,128,TE,65
36,Rocky Freitas,1968,1977,121,T,64
37,Billy Sims,1980,1984,60,RB,63
38,Cloyce Box,1950,1954,47,E,62
39,Calvin Johnson,2007,2012,92,WR,62
40,Night Train Lane,1960,1965,66,DB,62
41,Johnnie Morton,1994,2001,126,WR,61
42,Dorne Dibble,1951,1957,68,E,60
43,William Gay,1978,1987,146,DE,60
44,Terry Barr,1957,1965,102,HB,59
45,Luther Elliss,1995,2002,121,DT,59
46,Brett Perriman,1991,1996,94,WR,57
47,Gail Cogdill,1960,1967,100,SE,56
48,Bob Kowalkowski,1966,1976,138,G,56
49,Mike L. Cofer,1983,1992,123,LB,55
50,Keith Dorney,1979,1987,112,T,55
51,Dexter Bussey,1974,1984,150,RB,54
52,Bennie Blades,1988,1996,126,DB,51
53,Jerry Ball,1987,1992,84,NT,50
54,Jim Gibbons,1958,1967,119,E,50
55,Jim Martin,1951,1961,126,G,50
56,Eddie Murray,1980,1991,174,K,50
57,Tracy Scroggins,1992,2001,142,DE,50
58,Shaun Rogers,2001,2007,98,DT,49
59,Leonard Thompson,1976,1986,161,WR,49
,,,,,,
Rk,,From,To,G,Pos,AV
60,Jimmy Williams,1982,1990,107,LB,48
61,Charlie Ane,1953,1959,83,T,47
62,Gary Danielson,1977,1984,84,QB,47
63,Nick Pietrosante,1959,1965,89,FB,47
64,Mike Weger,1967,1975,108,DB,47
65,Jim Yarbrough,1969,1977,112,T,47
66,Mel Farr,1967,1973,69,RB,46
67,Dave Middleton,1955,1960,63,E,46
68,Scott Mitchell,1994,1998,57,QB,46
69,Chuck Walton,1967,1974,98,G,46
