,,,,,,
Rk,,From,To,G,Pos,AV
1,Steve Largent,1976,1989,200,WR,140
2,Walter Jones,1997,2008,180,T,126
3,Cortez Kennedy,1990,2000,167,DT,120
4,Jacob Green,1980,1991,178,DE,106
5,Joe Nash,1982,1996,218,NT,98
6,Dave Krieg,1981,1991,128,QB,97
7,Matt Hasselbeck,2001,2010,131,QB,93
8,Jeff Bryant,1982,1993,175,DE,90
9,Eugene Robinson,1985,1995,170,DB,85
10,Jim Zorn,1976,1983,110,QB,85
11,Shaun Alexander,2000,2007,119,RB,79
12,Dave Brown,1976,1986,159,DB,75
13,Brian Blades,1988,1998,156,WR,71
14,Chris Gray,1998,2007,158,G,71
15,John L. Williams,1986,1993,123,FB,71
16,Kenny Easley,1981,1987,89,DB,68
17,Michael Sinclair,1992,2001,144,DE,67
18,Curt Warner,1983,1989,92,RB,66
19,Chad Brown,1997,2004,107,LB,64
20,Marcus Trufant,2003,2012,136,DB,63
21,Edwin Bailey,1981,1991,139,G,62
22,Keith Butler,1978,1987,146,LB,62
23,Darrell Jackson,2000,2006,96,WR,61
24,Chris Warren,1991,1997,107,RB,57
25,John Harris,1978,1985,119,DB,55
26,Sherman Smith,1976,1982,82,RB,55
27,Steve August,1977,1984,97,T,53
28,Lofa Tatupu,2005,2010,84,LB,52
29,Steve Hutchinson,2001,2005,68,G,51
,,,,,,
Rk,,From,To,G,Pos,AV
30,Bryan Millard,1984,1991,121,G,51
31,Bruce Scholtz,1982,1988,96,LB,51
32,Joey Galloway,1995,1999,71,WR,48
33,Patrick Hunter,1986,1994,120,DB,48
34,Terry Wooden,1990,1996,89,LB,48
35,Rufus Porter,1988,1994,97,LB,47
36,Bobby Engram,2001,2008,109,WR,46
37,Robert Blackmon,1990,1996,106,DB,45
38,LeRoy Hill,2005,2012,97,LB,45
39,Robbie Tobeck,2001,2006,88,C,45
40,Brandon Mebane,2007,2012,91,DT,43
41,Shawn Springs,1997,2003,93,DB,43
42,Michael Jackson,1979,1986,105,LB,42
43,Tony Woods,1987,1992,89,DE,42
44,Blair Bush,1983,1988,82,C,41
45,Ricky Watters,1998,2001,53,RB,41
46,Dwayne Harper,1988,1993,94,DB,39
47,John Yarno,1977,1982,74,C,39
48,Pete Kendall,1996,2000,76,G,38
49,Anthony Simmons,1998,2004,87,LB,38
50,Fredd Young,1984,1987,60,LB,38
51,Ron Essink,1980,1985,83,T,37
52,Howard Ballard,1994,1998,74,T,36
53,Bob Newton,1976,1981,83,G,36
54,Sean Locklear,2004,2010,97,T,35
55,Sam McCullum,1976,1981,91,WR,35
56,Willie J. Williams,1997,2003,105,DB,35
57,Ron Mattes,1986,1990,75,T,34
58,Keith Simpson,1978,1985,108,DB,34
59,Sam Adams,1994,1999,89,DT,33
,,,,,,
Rk,,From,To,G,Pos,AV
60,Rocky Bernard,2002,2008,103,DT,33
61,Koren Robinson,2001,2008,69,WR,32
62,Chris Spencer,2005,2010,81,C,32
63,Mike W. Wilson,1986,1989,60,T,32
64,Dan Doornink,1979,1984,86,RB,31
65,Earl Thomas,2010,2012,48,DB,31
66,Darryl Williams,1996,1999,61,DB,31
67,Nick Bebout,1976,1979,56,T,30
68,Kevin Mawae,1994,1997,62,C,30
69,Julian Peterson,2006,2008,48,LB,30
70,Manu Tuiasosopo,1979,1983,73,DT,30
71,David Wyman,1988,1992,57,LB,30
72,Andy Heck,1989,1993,77,T,29
73,Tom Lynch,1977,1980,61,G,29
74,Rick Mirer,1993,1996,55,QB,29
75,Norm Johnson,1982,1990,134,K,28
76,Marshawn Lynch,2010,2012,43,RB,28
77,Max Unger,2009,2012,47,C,28
78,Robert Pratt,1982,1985,52,G,27
79,Terry Taylor,1984,1994,79,DB,27
80,Chris Clemons,2010,2012,48,LB,26
81,Floyd Womack,2002,2008,86,T,26
82,Jay Bellamy,1995,2000,95,DB,25
83,Grant Feasel,1987,1992,91,C,25
84,Greg Gaines,1981,1987,83,LB,25
85,Ken Hamlin,2003,2006,54,DB,25
86,Patrick Kerney,2007,2009,38,DE,25
87,Ken Lucas,2001,2009,78,DB,25
88,Robert Hardy,1979,1982,54,DT,24
89,David Hawthorne,2008,2011,61,LB,24
,,,,,,
Rk,,From,To,G,Pos,AV
90,Jon Kitna,1997,2000,39,QB,24
91,Art Kuehn,1976,1982,98,C,24
92,Reggie Tongue,2000,2003,62,DB,24
93,Dean Wells,1993,1998,84,LB,24
94,Terry Beeson,1977,1981,77,LB,23
95,Maurice Morris,2002,2008,101,RB,23
96,Richard Sherman,2011,2012,32,CB,23
97,Phillip Daniels,1996,1999,60,DE,22
98,Mack Strong,1994,2007,187,FB,22
99,Darryl Tapp,2006,2009,64,DE,22
100,Red Bryant,2009,2012,45,DT,21
101,Darren Comeaux,1988,1991,50,LB,21
102,Deon Grant,2007,2009,48,DB,21
103,Paul Moyer,1983,1989,98,DB,21
104,Mike Pritchard,1996,1999,62,WR,21
105,Shelton Robinson,1982,1985,56,LB,21
106,Grant Wistrom,2004,2006,41,DE,21
107,James Atkins,1994,1997,49,T,20
108,Jordan Babineaux,2005,2010,93,DB,20
109,Antonio Cochran,2000,2004,78,DE,20
110,Kelly Jennings,2006,2010,78,DB,20
111,Kerry Justin,1978,1987,104,DB,20
112,Winston Moss,1995,1997,46,LB,20
113,Todd Peterson,1995,1999,80,K,20
114,John Randle,2001,2003,43,DT,20
115,Paul Skansi,1984,1991,100,WR,20
116,Rod Stephens,1989,1994,71,LB,20
117,Darrick Brilz,1989,1993,78,C,19
118,Nesby Glasgow,1988,1992,77,DB,19
119,Carlton Gray,1993,1996,53,DB,19
,,,,,,
Rk,,From,To,G,Pos,AV
120,Michael Boulware,2004,2006,48,DB,18
121,Deion Branch,2006,2010,51,WR,18
122,Josh Brown,2003,2007,80,K,18
123,Tommy Kane,1989,1992,48,WR,18
124,Russell Okung,2010,2012,37,T,18
125,Ray Roberts,1992,1995,57,T,18
126,Daryl Turner,1984,1987,59,WR,18
127,Rick Tuten,1991,1997,101,P,18
128,Alan Branch,2011,2012,31,DT,17
129,Nate Burleson,2006,2009,45,WR,17
130,Chartric Darby,2005,2007,36,DT,17
131,Lamar King,1999,2003,57,DE,17
132,Warren Moon,1997,1998,25,QB,17
133,David Sims,1977,1979,29,RB,17
134,Brandon Browner,2011,2012,28,CB,16
135,Kam Chancellor,2010,2012,47,DB,16
136,Sean Dawkins,1999,2000,32,WR,16
137,Chad Eaton,2001,2002,32,DT,16
138,Bryce Fisher,2005,2006,32,DE,16
139,Brian Habib,1998,1999,32,G,16
140,Itula Mili,2000,2006,89,TE,16
141,Rob Sims,2006,2009,44,G,16
142,Russell Wilson,2012,2012,16,,16
143,K.J. Wright,2011,2012,31,LB,16
144,Ron Coder,1976,1979,42,G,15
145,Christian Fauria,1995,2001,103,TE,15
146,Sammy Green,1976,1979,60,LB,15
147,Bill Gregory,1978,1980,46,DE,15
148,Efren Herrera,1978,1981,60,K,15
149,Bill Hitchcock,1991,1994,51,T,15
,,,,,,
Rk,,From,To,G,Pos,AV
150,David Hughes,1981,1985,69,RB,15
151,Chike Okeafor,2003,2004,32,DE,15
152,Darrin Smith,1998,1999,28,LB,15
153,Don Testerman,1976,1978,44,RB,15
154,Cornell Webster,1977,1980,52,DB,15
155,Floyd Wedderburn,2000,2002,46,G,15
156,Cedric Woodard,2001,2004,60,DT,15
157,Aaron Curry,2009,2011,35,LB,14
158,Ray Donaldson,1993,1994,32,C,14
159,Antonio Edwards,1993,1996,49,DE,14
160,Norm Evans,1976,1978,36,T,14
161,Corey Harris,1995,1996,32,DB,14
162,Isaiah Kacyvenski,2000,2005,87,LB,14
163,John Kasay,1991,1994,64,K,14
164,D.D. Lewis,2002,2009,74,LB,14
165,Kelvin Martin,1993,1994,32,WR,14
166,Jerramy Stevens,2002,2006,71,TE,14
167,Grant Williams,1996,1999,56,T,14
168,Josh Wilson,2007,2009,40,DB,14
169,Autry Beamon,1977,1979,45,DB,13
170,Dennis Boyd,1977,1982,59,DT,13
171,Louis Bullard,1978,1980,35,T,13
172,Ray Butler,1986,1988,39,WR,13
173,Joe Cain,1989,1997,68,LB,13
174,Justin Forsett,2009,2011,48,RB,13
175,Derrick Graham,1996,1997,25,G,13
176,D.J. Hackett,2005,2007,33,WR,13
177,Orlando Huff,2001,2004,55,LB,13
178,Mel Jenkins,1987,1990,60,DB,13
179,Paul Johns,1981,1984,40,WR,13
,,,,,,
Rk,,From,To,G,Pos,AV
180,Paul McQuistan,2011,2012,32,T,13
181,Sidney Rice,2011,2012,25,WR,13
182,Brian Russell,2007,2008,32,DB,13
183,Golden Tate,2010,2012,42,WR,13
184,Jeff Blackshear,1993,1995,47,G,12
185,Don Dufek,1976,1984,87,DB,12
186,Breno Giacomini,2011,2012,31,T,12
187,Kelly Herndon,2005,2006,28,DB,12
188,Reggie McKenzie,1983,1984,24,G,12
189,Jon Ryan,2008,2012,79,P,12
190,Chris Terry,2002,2004,25,T,12
191,Seneca Wallace,2005,2009,48,QB,12
192,Charle Young,1983,1985,45,TE,12
193,Doug Baldwin,2011,2012,30,WR,11
194,Brian Bosworth,1987,1989,24,LB,11
195,John Carlson,2008,2010,47,TE,11
196,Colin Cole,2009,2010,27,DT,11
197,Bob Cryder,1984,1985,31,T,11
198,Jeff Feagles,1998,2002,80,P,11
199,Olindo Mare,2008,2010,48,K,11
200,James McKnight,1995,1998,58,WR,11
201,Steve Raible,1976,1980,75,WR,11
202,Marcus Robertson,2001,2002,27,DB,11
203,John Sawyer,1977,1982,64,TE,11
204,Lamar Smith,1995,1997,40,RB,11
205,Todd Weiner,1999,2001,43,T,11
206,Derrick Fenner,1990,1991,27,RB,10
207,John Friesz,1995,1998,20,QB,10
208,Ron Howard,1976,1978,42,TE,10
209,Lawrence Jackson,2008,2009,32,DE,10
,,,,,,
Rk,,From,To,G,Pos,AV
210,Julius Jones,2008,2009,29,RB,10
211,Michael McCrary,1993,1996,58,DE,10
212,Rashad Moore,2003,2004,29,DT,10
213,Ben Obomanu,2007,2012,52,WR,10
214,Riddick Parker,1997,2000,52,DT,10
215,Marcus Tubbs,2004,2006,29,DT,10
216,Bobby Wagner,2012,2012,16,,10
217,Ray Willis,2008,2009,32,T,10
218,Al Hunter,1977,1979,43,RB,9
219,Tarvaris Jackson,2011,2011,15,QB,9
220,Gordon Jolley,1976,1977,27,G,9
221,Kerry Joseph,1998,2001,56,DB,9
222,Ronnie Lee,1990,1992,34,T,9
223,Rian Lindell,2000,2002,44,K,9
224,Derrick Mayes,1999,2000,29,WR,9
225,Craig Terrill,2005,2010,84,DT,9
226,Mike Tice,1982,1991,85,TE,9
227,Natu Tuatagaloa,1992,1993,29,DE,9
228,Byron Walker,1982,1985,57,WR,9
229,Brent Williams,1994,1995,21,DE,9
230,Frank Beede,1996,2000,47,G,8
231,Steve Broussard,1995,1998,58,RB,8
232,Theotis Brown,1981,1982,19,RB,8
233,Jeff Chadwick,1989,1991,39,WR,8
234,Trent Dilfer,2001,2004,17,QB,8
235,Joe Jurevicius,2005,2005,16,WR,8
236,Matt LaBounty,1997,2000,59,DE,8
237,Eddie McMillan,1976,1977,28,DB,8
238,Steve Niehaus,1976,1978,36,DT,8
239,Dan Saleaumua,1997,1998,27,DT,8
,,,,,,
Rk,,From,To,G,Pos,AV
240,Jim Sweeney,1995,1995,16,C,8
241,Leon Washington,2010,2012,48,RB,8
242,Herman Weaver,1977,1980,61,P,8
243,Mike Williams,2010,2011,26,WR,8
244,Marcus U. Bell,2000,2002,45,LB,7
245,James Carpenter,2011,2012,16,T,7
246,Carlester Crumpler,1995,1997,47,TE,7
247,Duke Fergerson,1977,1978,29,WR,7
248,Byron Franklin,1985,1986,27,WR,7
249,Ken Geddes,1976,1978,37,LB,7
250,Kevin Glover,1998,1999,14,C,7
251,Randall Godfrey,2003,2003,15,LB,7
252,James Jefferson,1989,1993,57,DB,7
253,Jim Jodat,1980,1981,28,RB,7
254,M.L. Johnson,1987,1989,37,LB,7
255,Matt Joyce,1995,1995,16,G,7
256,Kani Kauahi,1983,1986,58,C,7
257,Levon Kirkland,2001,2001,16,LB,7
258,Marquand Manuel,2004,2005,31,DB,7
259,Chris McIntosh,2000,2001,24,T,7
260,Charles McShane,1977,1979,29,LB,7
261,Zach Miller,2011,2012,31,TE,7
262,Lawyer Milloy,2009,2010,32,DB,7
263,Joe Norman,1979,1983,50,LB,7
264,Leonard Weaver,2005,2008,46,RB,7
265,Kevin Bentley,2005,2007,43,LB,6
266,Terreal Bierria,2002,2004,29,DB,6
267,Louis Clark,1989,1992,42,WR,6
268,Bill Cooke,1978,1980,35,DT,6
269,Jean-Phillipe Darche,2000,2005,96,C,6
,,,,,,
Rk,,From,To,G,Pos,AV
270,Bill Dugan,1981,1983,40,G,6
271,Randy Edwards,1984,1986,45,DE,6
272,Steven Hauschka,2011,2012,32,K,6
273,Will Herring,2007,2010,54,LB,6
274,John Hilliard,2001,2002,22,DE,6
275,T.J. Houshmandzadeh,2009,2009,16,WR,6
276,George Koonce,2000,2000,16,LB,6
277,Eric Lane,1981,1987,57,RB,6
278,John Leypoldt,1976,1977,24,K,6
279,Sam Merriman,1983,1987,71,LB,6
280,Alonzo Mitz,1986,1989,34,DE,6
281,John Moffitt,2011,2012,17,G,6
282,Jeff Moore,1979,1980,30,RB,6
283,Randall Morris,1984,1987,52,RB,6
284,Bob Penchion,1976,1976,14,G,6
285,Rafael Robinson,1993,1995,45,DB,6
286,Ruben Rodriguez,1987,1989,44,P,6
287,Jeff West,1981,1984,56,P,6
288,Stacy Andrews,2010,2010,13,T,5
289,Kentwan Balmer,2010,2010,16,DT,5
290,Mike Barber,1996,1997,21,LB,5
291,Mark E. Bell,1979,1982,41,DE,5
292,Jon Borchardt,1985,1987,41,G,5
293,Pete Cronan,1977,1981,50,LB,5
294,Brian Davis,1991,1992,29,DB,5
295,Andre Dyson,2005,2005,10,DB,5
296,Richard Harris,1976,1977,28,DE,5
297,Gregg Johnson,1981,1986,56,DB,5
298,Jeff Kemp,1987,1991,31,QB,5
299,Niko Koutouvides,2004,2007,59,LB,5
,,,,,,
Rk,,From,To,G,Pos,AV
300,James Logan,1997,2000,50,LB,5
301,Bob Lurtsema,1976,1977,27,DT,5
302,Clinton McDonald,2011,2012,29,DT,5
303,Brandon Mitchell,2002,2004,34,DE,5
304,Kevin Murphy,1993,1993,14,LB,5
305,Ernie Price,1978,1979,16,DE,5
306,Kelly Stouffer,1988,1989,11,QB,5
307,Tim Terry,2001,2002,32,LB,5
308,Fred Thomas,1996,1998,46,DB,5
309,Robb Thomas,1992,1995,62,WR,5
310,Joe Tofflemire,1990,1992,32,C,5
311,Robert Turbin,2012,2012,16,,5
312,Steve Vallos,2008,2009,32,G,5
313,Orlando Watters,1994,1994,16,DB,5
314,Jerry Wunsch,2002,2003,27,T,5
315,Fred Anderson,1980,1981,21,DE,4
316,Tom Ashworth,2006,2007,29,T,4
317,Bennie Blades,1997,1997,10,DB,4
318,Ed Bradley,1976,1976,14,LB,4
319,Raheem Brock,2010,2011,32,DE,4
320,Tony Brown,1994,1995,29,DB,4
321,Deon Butler,2009,2010,29,WR,4
322,Mike Curtis,1976,1976,14,LB,4
323,Robert Gallery,2011,2011,12,T,4
324,Mike Gibson,2010,2010,14,T,4
325,Paul Green,1993,1994,31,TE,4
326,Eric Hayes,1990,1991,21,DT,4
327,Reggie Kinlaw,1985,1986,30,NT,4
328,Lance Laury,2006,2009,56,LB,4
329,Al Matthews,1976,1976,14,DB,4
,,,,,,
Rk,,From,To,G,Pos,AV
330,Anthony McCoy,2011,2012,32,TE,4
331,Travis McNeal,1989,1991,48,TE,4
332,Pete Metzelaars,1982,1984,34,TE,4
333,Steve Myer,1977,1977,7,QB,4
334,Ryan Plackemeier,2006,2007,32,P,4
335,Tyler Polumbus,2010,2010,15,G,4
336,Steve Preece,1977,1977,14,DB,4
337,Michael Robinson,2010,2012,41,WR,4
338,Tom Rouen,2003,2005,32,P,4
339,Bill Sandifer,1978,1978,15,DT,4
340,Jeff Sevy,1979,1980,19,T,4
341,Jamie Sharper,2005,2005,8,LB,4
342,Malcolm Smith,2011,2012,28,LB,4
343,Mike Wahle,2008,2008,10,G,4
344,Mike White,1981,1982,20,DT,4
345,James Williams,2000,2002,29,WR,4
346,Rolly Woolsey,1976,1976,14,DB,4
347,Charles Aiu,1978,1978,1,G,3
348,Chris Canty,1999,2000,26,DB,3
349,Roger Carr,1982,1982,9,WR,3
350,Ike Charlton,2000,2001,31,DB,3
351,John Demarie,1976,1976,9,G,3
352,Ron East,1977,1977,14,DT,3
353,Carl Eller,1979,1979,16,DE,3
354,Gale Gilbert,1985,1986,25,QB,3
355,Will Grant,1986,1986,7,C,3
356,Clint Gresham,2010,2012,48,LS,3
357,Ben Hamilton,2010,2010,7,G,3
358,Matt Hill,2002,2003,26,T,3
359,Fred Hoaglin,1976,1976,13,C,3
,,,,,,
Rk,,From,To,G,Pos,AV
