Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Larry Fitzgerald,Pitt,13,,92,1672,128.6,18.2,58,22,,1,7,0.5,7,0,2003,WR
Geoff McArthur,Cal,13,,85,1504,115.7,17.7,79,10,,0,0,0,N/A,0,2003,WR
Martin Nance,Mia O,14,,90,1498,107,16.6,61,11,,0,0,0,N/A,0,2003,WR
Mark Clayton,Okla,14,,83,1425,101.8,17.2,59,15,,9,62,4.4,6.9,0,2003,WR
Jerricho Cotchery,NC St,13,,86,1369,105.3,15.9,80,10,,7,32,2.5,4.6,0,2003,WR
Rashaun Woods,OK St,13,,77,1367,105.2,17.8,51,15,,0,0,0,N/A,0,2003,WR
Mike Williams,USC,13,,95,1314,101.1,13.8,40,16,,3,26,2,8.7,0,2003,WR
James Newson,OR St,12,,81,1306,108.8,16.1,53,3,,1,5,0.4,5,0,2003,WR
David Anderson,CO St,13,,72,1293,99.5,18,86,9,,0,0,0,N/A,0,2003,WR
Kerry Wright,MTSU,12,,73,1280,106.7,17.5,71,9,,0,0,0,N/A,0,2003,WR
Brandon Middleton,Hous,13,,55,1250,96.2,22.7,74,14,,0,0,0,N/A,0,2003,WR
James Terry,KS St,15,,64,1232,82.1,19.3,63,13,,0,0,0,N/A,0,2003,WR
J.R. Russell,Lou,13,,75,1213,93.3,16.2,66,8,,0,0,0,N/A,0,2003,WR
Lee Evans,Wis,13,,64,1213,93.3,19,99,13,,4,26,2,6.5,0,2003,WR
Lance Moore,Tole,12,,103,1194,99.5,11.6,58,9,,5,26,2.2,5.2,1,2003,WR
Tim Gilligan,Bois,13,,67,1192,91.7,17.8,76,6,,6,27,2.1,4.5,1,2003,WR
Carlos Francis,TX Tch,13,,75,1177,90.5,15.7,70,9,,8,42,3.2,5.3,0,2003,WR
John Standeford,Purd,13,,77,1150,88.5,14.9,81,4,,0,0,0,N/A,0,2003,WR
Braylon Edwards,Mich,13,,85,1138,87.5,13.4,64,14,,3,21,1.6,7,0,2003,WR
Cole Magner,BGSU,14,,99,1138,81.3,11.5,39,10,,20,87,6.2,4.4,0,2003,WR
Jonathan Smith,GT,13,,78,1138,87.5,14.6,65,5,,15,45,3.5,3,0,2003,WR
Chad Owens,Haw,11,,85,1134,103.1,13.3,62,9,,2,6,0.5,3,0,2003,WR
Reggie Williams,Wash,12,,89,1109,92.4,12.5,74,8,,3,11,0.9,3.7,0,2003,WR
Wes Welker,TX Tch,13,,97,1099,84.5,11.3,48,9,,27,146,11.2,5.4,1,2003,WR
Samie Parker,Ore,13,,77,1088,83.7,14.1,55,7,,5,48,3.7,9.6,0,2003,WR
Nehemiah Glover,TX Tch,13,,77,1081,83.2,14,59,9,,4,14,1.1,3.5,0,2003,WR
Michael Clayton,LSU,14,,78,1079,77.1,13.8,66,10,,3,25,1.8,8.3,0,2003,WR
Roy Williams,Tex,13,,70,1079,83,15.4,67,9,,4,36,2.8,9,0,2003,WR
Derek Hagan,AZ St,12,,66,1076,89.7,16.3,80,9,,0,0,0,N/A,0,2003,WR
Dante Ridgeway,Ball,12,,89,1075,89.6,12.1,54,10,,1,8,0.7,8,1,2003,WR
Craig Bragg,UCLA,13,,73,1065,81.9,14.6,54,5,,0,0,0,N/A,0,2003,WR
Greg Jennings,WMU,12,,56,1050,87.5,18.8,94,14,,4,15,1.3,3.8,0,2003,WR
P.J. Fleck,N Ill,12,,77,1028,85.7,13.4,77,6,,1,9,0.8,9,0,2003,WR
Derrick Hamilton,Clem,13,,62,1026,78.9,16.5,70,10,,17,111,8.5,6.5,0,2003,WR
Kendrick Mosley,WMU,12,,77,1019,84.9,13.2,55,6,,1,4,0.3,4,0,2003,WR
Mike Hass,OR St,12,,44,1013,84.4,23,90,7,,0,0,0,N/A,0,2003,WR
Keary Colbert,USC,13,,69,1013,77.9,14.7,57,9,,3,29,2.2,9.7,0,2003,WR
D.J. Hackett,Colo,12,,78,1013,84.4,13,52,7,,1,-9,-0.8,-9,0,2003,WR
Reggie Harrell,TCU,13,,58,1012,77.8,17.4,98,2,,0,0,0,N/A,0,2003,WR
Roydell Williams,Tula,12,,66,1006,83.8,15.2,78,9,,0,0,0,N/A,0,2003,WR
Chris Henry,W Va,11,,41,1006,91.5,24.5,83,10,,0,0,0,N/A,0,2003,WR
Jason Peebler,Mass,11,,50,1003,91.2,20.1,82,13,,1,-2,-0.2,-2,0,2003,WR
