Team Name,Team Code
AFA,721
Akrn,5
Ala,8
AR St,28
Ariz,29
Ark,31
Army,725
Aub,37
AZ St,28
Ball,47
Bayl,51
BC,67
BGSU,71
Bois,66
Buff,86
BYU,77
Cal,107
Cinc,140
Clem,147
CMU,129
CO St,156
Colo,157
Conn,164
Duke,193
ECU,196
EMU,204
FAU,229
FIU,231
FL St,234
Fla,235
Fres,96
Ga,257
GA St,na
GT,255
Haw,277
Hous,288
IA St,311
Ida,295
Ill,301
Ind,306
Iowa,312
Kan,328
Kent,331
KS St,327
Lou,367
LSU,365
LT,366
Mass,400
Md,392
Memp,404
MI St,416
Mia F,415
Mia O,414
Mich,418
Minn,428
Miss,433
Mizz,434
Mrsh,388
MS St,430
MTSU,419
N Ill,503
N Mex,473
N TX,497
N.W.,509
Navy,726
NC,457
NC St,490
ND,513
Neb,463
Nev,466
NM St,472
OH St,518
Ohio,519
OK St,521
Okla,522
OR St,528
Ore,257
Pitt,545
PSU,539
Purd,559
Rice,574
Rutg,587
S Ala,646
S Car,648
S Fla,651
SDg St,626
SJSU,630
SMU,663
Stan,674
Syra,688
TAMU,697
TCU,698
Temp,690
Tenn,694
Tex,697
Tole,709
Troy,716
Tula,718
Tuls,719
TX St,670
TX Tch,700
UAB,9
UCF,128
UCLA,110
UK,334
ULL,671
ULM,498
UNLV,465
USC,657
USM,664
UT St,731
Utah,732
UTEP,704
UTSA,706
UVa,746
Vand,736
VT,742
W Va,768
WA St,754
Wake,749
Wash,756
Wis,796
WKU,772
WMU,774
Wyo,811
