Code,Name,Percentage,Year
5,Akron,0.44827586,2010
8,Alabama,0.60769231,2010
9,UAB,0.45255474,2010
28,Arizona St.,0.55454545,2010
29,Arizona,0.56818182,2010
30,Arkansas St.,0.44360902,2010
31,Arkansas,0.63909774,2010
37,Auburn,0.63829787,2010
47,Ball St.,0.33962264,2010
51,Baylor,0.55639098,2010
66,Boise St.,0.53472222,2010
67,Boston College,0.5503876,2010
71,Bowling Green,0.46969697,2010
77,BYU,0.51724138,2010
86,Buffalo,0.45,2010
96,Fresno St.,0.49618321,2010
107,California,0.55371901,2010
110,UCLA,0.49612403,2010
128,UCF,0.40559441,2010
129,Central Mich.,0.51239669,2010
140,Cincinnati,0.59349593,2010
147,Clemson,0.56060606,2010
156,Colorado St.,0.53284672,2010
157,Colorado,0.52631579,2010
164,Connecticut,0.48837209,2010
193,Duke,0.5210084,2010
196,East Carolina,0.55782313,2010
204,Eastern Mich.,0.44615385,2010
229,Fla. Atlantic,0.40601504,2010
231,FIU,0.42657343,2010
234,Florida St.,0.5862069,2010
235,Florida,0.57777778,2010
255,Georgia Tech,0.4488189,2010
257,Georgia,0.54074074,2010
277,Hawaii,0.49305556,2010
288,Houston,0.47154472,2010
295,Idaho,0.45864662,2010
301,Illinois,0.58015267,2010
306,Indiana,0.46666667,2010
311,Iowa St.,0.608,2010
312,Iowa,0.578125,2010
327,Kansas St.,0.52272727,2010
328,Kansas,0.52459016,2010
331,Kent St.,0.45299145,2010
334,Kentucky,0.46212121,2010
365,LSU,0.6259542,2010
366,Louisiana Tech,0.54098361,2010
367,Louisville,0.44186047,2010
388,Marshall,0.47407407,2010
392,Maryland,0.5,2010
404,Memphis,0.47368421,2010
414,Miami (OH),0.39189189,2010
415,Miami (FL),0.58015267,2010
416,Michigan St.,0.54615385,2010
418,Michigan,0.58015267,2010
419,Middle Tenn.,0.35074627,2010
428,Minnesota,0.6097561,2010
430,Mississippi St.,0.55725191,2010
433,Mississippi,0.55371901,2010
434,Missouri,0.60740741,2010
457,North Carolina,0.51162791,2010
463,Nebraska,0.54861111,2010
465,UNLV,0.57534247,2010
466,Nevada,0.44366197,2010
472,New Mexico St.,0.45038168,2010
473,New Mexico,0.49253731,2010
490,North Carolina St.,0.56818182,2010
497,North Texas,0.36842105,2010
498,La.-Monroe,0.49193548,2010
503,Northern Ill.,0.40875912,2010
509,Northwestern,0.453125,2010
513,Notre Dame,0.63380282,2010
518,Ohio St.,0.52142857,2010
519,Ohio,0.43181818,2010
521,Oklahoma St.,0.55862069,2010
522,Oklahoma,0.59477124,2010
528,Oregon St.,0.60305344,2010
529,Oregon,0.51908397,2010
539,Penn St.,0.58139535,2010
545,Pittsburgh,0.53787879,2010
559,Purdue,0.56666667,2010
574,Rice,0.44776119,2010
587,Rutgers,0.49579832,2010
626,San Diego St.,0.47368421,2010
630,San Jose St.,0.58536585,2010
648,South Carolina,0.61805556,2010
651,South Fla.,0.45736434,2010
657,Southern California,0.50359712,2010
663,SMU,0.50326797,2010
664,Southern Miss.,0.44274809,2010
671,La.-Lafayette,0.41353383,2010
674,Stanford,0.53435115,2010
688,Syracuse,0.47457627,2010
690,Temple,0.42857143,2010
694,Tennessee,0.5,2010
697,Texas A&M,0.65185185,2010
698,TCU,0.50735294,2010
700,Texas Tech,0.54074074,2010
703,Texas,0.52238806,2010
704,UTEP,0.36842105,2010
709,Toledo,0.42753623,2010
716,Troy,0.40277778,2010
718,Tulane,0.46280992,2010
719,Tulsa,0.46666667,2010
721,Air Force,0.52941176,2010
725,Army,0.44615385,2010
726,Navy,0.46564885,2010
731,Utah St.,0.56,2010
732,Utah,0.49305556,2010
736,Vanderbilt,0.45801527,2010
