Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,9/2/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,0,0,0,0,0,3,2,0,11
721,Air Force,9/9/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,2,1,,7
721,Air Force,9/23/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,1,1,,5
721,Air Force,9/30/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,1
721,Air Force,10/7/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,2,2,,9
721,Air Force,10/14/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,2,1,0,7
721,Air Force,10/21/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,1,0,5
721,Air Force,10/28/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,0,4,3,0,11
721,Air Force,11/4/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,,,,,4,4,,15
721,Air Force,11/11/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,0,0,3,3,0,14
721,Air Force,11/18/2000,98,ADAMS,DAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,1,1,0,9
721,Air Force,9/2/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,0,,,,,,,,,,,,,
721,Air Force,9/9/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,1,32,1,,,,,,,,,,,,2,38,0,1,,,,,,,,,,,,6
721,Air Force,10/21/2000,80,AMEGAGA,RICKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,0,,,,,,,,,,,,,
721,Air Force,10/28/2000,80,AMEGAGA,RICKY,1,4,0,4,0,,,,,,,1,4,1,5,0,,,,,,,,,,,,3,69,0,,,,,,,,,,,,,
