Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 DeAngelo Williams,Memp,11,,309,1959,178.1,6.3,18,,12,78,7.1,6.5,29,1
 Jerome Harrison,WA St,11,,308,1900,172.7,6.2,16,,24,206,18.7,8.6,34,1
 Reggie Bush,USC,13,,200,1740,133.8,8.7,16,,37,478,36.8,12.9,43,2
 Brian Calhoun,Wis,13,,348,1636,125.8,4.7,22,,53,571,43.9,10.8,40,2
 Garrett Wolfe,N Ill,9,,243,1588,176.4,6.5,16,,20,216,24,10.8,59,1
 Tyrell Sutton,N.W.,12,,250,1474,122.8,5.9,16,,44,396,33,9,41,2
 Laurence Maroney,Minn,11,,281,1464,133.1,5.2,10,,17,170,15.5,10,37,1
 B.J. Mitchell,Nev,12,,261,1399,116.6,5.4,12,,4,26,2.2,6.5,12,1
 Andre Hall,S Fla,12,,270,1374,114.5,5.1,13,,26,321,26.8,12.3,76,2
 Albert Young,Iowa,12,,249,1334,111.2,5.4,8,,24,244,20.3,10.2,51,0
 Antonio Pittman,OH St,12,,243,1331,110.9,5.5,7,,17,161,13.4,9.5,21,0
 Yvenson Bernard,OR St,11,,299,1321,120.1,4.4,13,,37,316,28.7,8.5,30,1
 Wendell Mathis,Fres,13,,248,1313,101,5.3,15,,19,156,12,8.2,25,1
 LenDale White,USC,13,,197,1302,100.2,6.6,24,,14,219,16.8,15.6,49,2
 Dontrell Moore,N Mex,11,,275,1298,118,4.7,14,,31,371,33.7,12,41,3
 Trinity Dawson,Tole,12,,232,1294,107.8,5.6,5,,22,241,20.1,11,38,4
 Kenny Irons,Aub,12,,256,1293,107.8,5.1,13,,14,164,13.7,11.7,23,0
 Kyle Bell,CO St,12,,276,1288,107.3,4.7,10,,9,33,2.8,3.7,14,0
 Marshawn Lynch,Cal,10,,196,1246,124.6,6.4,10,,15,125,12.5,8.3,25,0
 Kenneth Darby,Ala,12,,239,1242,103.5,5.2,3,,29,132,11,4.6,17,0
 Brett Biggs,Akrn,13,,284,1230,94.6,4.3,10,,65,535,41.2,8.2,72,4
 Darius Walker,ND,12,,253,1196,99.7,4.7,9,,43,351,29.3,8.2,51,2
 Kevin Smith,UCF,13,,249,1178,90.6,4.7,9,,8,44,3.4,5.5,12,0
 Patrick Cobbs,N TX,11,,231,1158,105.3,5,6,,18,106,9.6,5.9,18,0
 Kalvin McRae,Ohio,11,,209,1153,104.8,5.5,7,,13,97,8.8,7.5,28,0
 Michael Bush,Lou,10,,205,1143,114.3,5.6,23,,21,253,25.3,12,21,1
 Jerious Norwood,MS St,11,,191,1136,103.3,5.9,6,,19,96,8.7,5.1,19,2
 Gary Russell,Minn,12,,186,1130,94.2,6.1,18,,16,168,14,10.5,56,1
 Steve Slaton,W Va,9,,205,1128,125.3,5.5,17,,12,95,10.6,7.9,19,2
 Chris Barclay,Wake,10,,218,1127,112.7,5.2,10,,26,159,15.9,6.1,29,0
 Curtis Brown,BYU,12,,210,1123,93.6,5.3,14,,53,454,37.8,8.6,37,2
 Ray Rice,Rutg,12,,195,1120,93.3,5.7,5,,8,65,5.4,8.1,26,0
 Quinton Ganther,Utah,11,,205,1120,101.8,5.5,7,,25,314,28.5,12.6,47,1
 Darren McFadden,Ark,11,,176,1113,101.2,6.3,11,,14,52,4.7,3.7,12,0
 Adrian Peterson,Okla,11,,220,1108,100.7,5,14,,9,50,4.5,5.6,11,0
 Antonio Warren,AR St,10,,173,1066,106.6,6.2,6,,7,49,4.9,7,21,0
 Ontario Sneed,CMU,11,,218,1064,96.7,4.9,8,,50,391,35.5,7.8,45,3
 Brandon Murphy,Mia O,10,,226,1058,105.8,4.7,9,,18,159,15.9,8.8,29,0
 Steve Baylark,Mass,11,,255,1057,96.1,4.1,9,,25,220,20,8.8,40,2
 Tyrell Fenroy,ULL,11,,179,1053,95.7,5.9,12,,6,37,3.4,6.2,19,0
 Tony Hunt,PSU,12,,174,1047,87.3,6,6,,20,206,17.2,10.3,33,0
 Rafael Little,UK,11,,197,1045,95,5.3,9,,46,449,40.8,9.8,65,0
 Lerron Moore,WKU,10,,174,1037,103.7,6,10,,3,12,1.2,4,19,0
 Ryan Gilbert,Hous,12,,170,1037,86.4,6.1,9,,21,237,19.8,11.3,40,1
 Carlton Jones,Army,10,,269,1024,102.4,3.8,6,,25,241,24.1,9.6,44,2
