,,,,,,
Rk,,From,To,G,Pos,AV
1,Ray Lewis,1996,2012,228,LB,223
2,Ed Reed,2002,2012,160,DB,136
3,Jonathan Ogden,1996,2007,177,T,119
4,Terrell Suggs,2003,2011,141,LB,96
5,Haloti Ngata,2006,2012,109,DT,93
6,Chris McAlister,1999,2008,135,DB,84
7,Kelly Gregg,2001,2010,134,NT,70
8,Peter Boulware,1997,2005,126,LB,69
9,Ray Rice,2008,2012,77,RB,66
10,Joe Flacco,2008,2012,80,QB,61
11,Jamal Lewis,2000,2006,91,RB,61
12,Adalius Thomas,2001,2006,93,LB,59
13,Rob Burnett,1996,2001,82,DE,53
14,Jarret Johnson,2003,2011,143,DE,52
15,Michael McCrary,1997,2002,78,DE,52
16,Derrick Mason,2005,2010,96,WR,51
17,Todd Heap,2001,2010,133,TE,50
18,Matt Stover,1996,2008,207,K,50
19,Rod Woodson,1998,2001,64,DB,49
20,Mike Flynn,1999,2007,131,C,47
21,Bart Scott,2002,2008,109,LB,45
22,Edwin Mulitalo,1999,2006,106,G,43
23,Marshall Yanda,2007,2012,83,T,43
24,Jamie Sharper,1997,2001,80,LB,42
25,Tony Siragusa,1997,2001,73,DT,36
26,Ben Grubbs,2007,2011,74,G,35
27,Orlando Brown,1996,2005,84,T,34
28,Matt Birk,2009,2012,64,C,31
29,Michael Oher,2009,2012,64,T,31
,,,,,,
Rk,,From,To,G,Pos,AV
30,Dawan Landry,2006,2010,66,DB,29
31,Anthony Weaver,2002,2005,57,DE,29
32,Mark Clayton,2005,2009,76,WR,28
33,Duane Starks,1998,2001,62,DB,28
34,Sam Adams,2000,2001,30,DT,27
35,Jeff Blackshear,1996,1999,64,G,27
36,Ed Hartwell,2001,2004,64,LB,27
37,Jameel McClain,2008,2012,77,LB,27
38,Travis Taylor,2000,2004,67,WR,27
39,Anquan Boldin,2010,2012,45,WR,25
40,Trevor Pryce,2006,2009,53,DT,25
41,Vinny Testaverde,1996,1997,29,QB,25
42,Chris Chester,2006,2010,72,G,24
43,Qadry Ismail,1999,2001,47,WR,24
44,Bennie Anderson,2001,2004,63,G,23
45,Will Demps,2002,2005,57,DB,23
46,Michael Jackson,1996,1998,45,WR,23
47,Kim Herring,1997,2000,54,DB,22
48,Jermaine Lewis,1996,2000,73,WR,22
49,Willis McGahee,2007,2010,59,RB,22
50,Samari Rolle,2005,2008,48,DB,22
51,Marques Douglas,2002,2008,53,DE,21
52,Jason Brown,2005,2008,54,C,20
53,James A. Jones,1996,1998,48,DT,20
54,Ma'ake Kemoeatu,2002,2012,76,DT,20
55,Derrick Alexander,1996,1997,30,WR,19
56,Gary Baxter,2002,2004,48,DB,19
57,Kyle Boller,2003,2007,53,QB,19
58,Cornell Brown,1997,2004,108,LB,19
59,Priest Holmes,1998,2000,41,RB,18
,,,,,,
Rk,,From,To,G,Pos,AV
60,Stevon Moore,1996,1999,53,DB,18
61,Sam Koch,2006,2012,112,P,17
62,Wally Williams,1996,1998,38,G,17
63,Justin Bannan,2006,2009,58,DT,16
64,Jeff Mitchell,1998,2000,41,C,16
65,Torrey Smith,2011,2012,32,WR,16
66,Chester Taylor,2002,2005,62,RB,16
67,Cary Williams,2009,2012,50,DB,16
68,Dwan Edwards,2005,2009,52,DT,15
69,Jared Gaither,2007,2009,33,T,14
70,DeRon Jenkins,1996,1999,63,DB,14
71,Bam Morris,1996,1997,22,RB,14
72,Shannon Sharpe,2000,2001,32,TE,14
73,Larry Webster,1997,2001,67,DT,14
74,Corey Harris,1998,2001,32,DB,13
75,Cory Redding,2010,2011,30,DE,13
76,Lardarius Webb,2009,2012,36,DB,13
77,Dannell Ellerbe,2009,2012,46,LB,12
78,Antonio Langham,1996,1997,31,DB,12
79,Le'Ron McClain,2008,2010,47,RB,12
80,Fabian Washington,2008,2010,36,DB,12
81,Brendon Ayanbadejo,2008,2012,62,LB,11
82,Tony Banks,1999,2000,23,QB,11
83,Terrence Cody,2010,2012,44,DT,11
84,Steve McNair,2006,2007,22,QB,11
85,Bernard Pollard,2011,2012,29,DB,11
86,Ethan Brooks,2002,2004,44,T,10
87,Earnest Byner,1996,1997,32,RB,10
88,Tony Pashos,2005,2006,32,T,10
89,Dennis Pitta,2011,2012,32,TE,10
,,,,,,
Rk,,From,To,G,Pos,AV
90,Casey Rabach,2002,2004,42,C,10
91,Chad Williams,2002,2005,64,DB,10
92,Domonique Foxworth,2009,2009,16,DB,9
93,Eric Green,1996,1998,34,TE,9
94,Tony E. Jones,1996,1996,15,T,9
95,Paul Kruger,2009,2012,51,DE,9
96,Albert McClellan,2011,2012,30,LB,9
97,Harry Swayne,1999,2000,19,T,9
98,Adam Terry,2006,2008,39,T,9
99,Floyd Turner,1996,1998,27,WR,9
100,Demetrius Williams,2006,2009,44,WR,9
101,Donny Brady,1996,1998,45,DB,8
102,Chris Carr,2010,2011,25,DB,8
103,Lional Dalton,1999,2001,48,DT,8
104,Ed Dickson,2010,2012,44,TE,8
105,Elvis Grbac,2001,2001,14,QB,8
106,Corey Ivy,2006,2008,45,DB,8
107,Patrick Johnson,1998,2000,35,WR,8
108,Brian Kinchen,1996,1998,48,TE,8
109,Bryant McKinnie,2011,2012,32,T,8
110,Tommy Polley,2005,2005,16,LB,8
111,Errict Rhett,1998,1999,29,RB,8
112,Brandon Stokley,2000,2002,31,WR,8
113,James Trapp,1999,2002,56,DB,8
114,Kipp Vickers,2000,2001,28,T,8
115,Keydrick Vincent,2005,2006,21,G,8
116,Anthony Wright,2003,2005,16,QB,8
117,Tom Zbikowski,2008,2011,53,DB,8
118,Jeff Blake,2002,2002,11,QB,7
119,Ben Cavil,1997,1998,31,G,7
,,,,,,
Rk,,From,To,G,Pos,AV
120,Mike Frederick,1996,1998,42,DE,7
121,Brad Jackson,1999,2001,39,LB,7
122,Arthur Jones,2011,2012,29,DT,7
123,Jacoby Jones,2012,2012,16,WR,7
124,Jim Leonhard,2008,2008,16,DB,7
125,Everett Lindsay,1999,1999,16,T,7
126,Anthony Mitchell,2000,2002,48,DB,7
127,Kelechi Osemele,2012,2012,16,,7
128,Eric Turner,1996,1996,14,DB,7
129,Dave Zastudil,2002,2005,61,P,7
130,Eric Zeier,1997,1998,15,QB,7
131,Spencer Folau,1997,2000,31,T,6
132,Tavares Gooden,2009,2010,22,LB,6
133,Bernardo Harris,2002,2002,13,LB,6
134,Brandon McKinney,2008,2011,41,DT,6
135,Pernell McPhee,2011,2012,28,DE,6
136,Kyle Richardson,1998,2000,48,P,6
137,Deion Sanders,2004,2005,25,DB,6
138,Musa Smith,2004,2007,37,RB,6
139,Bennie Thompson,1996,1999,64,DB,6
140,Courtney Upshaw,2012,2012,16,,6
141,Keith Washington,1997,2000,58,DE,6
142,Terry Allen,2001,2001,11,RB,5
143,Willie Anderson,2008,2008,14,T,5
144,Mike Croel,1996,1996,16,LB,5
145,Billy Cundiff,2010,2011,31,K,5
146,Trent Dilfer,2000,2000,11,QB,5
147,Aubrayo Franklin,2004,2006,35,DT,5
148,Corey Fuller,2003,2004,28,DB,5
149,Jim Harbaugh,1998,1998,14,QB,5
,,,,,,
Rk,,From,To,G,Pos,AV
150,Randy Hymes,2002,2005,37,WR,5
151,Rondell Jones,1997,1997,14,DB,5
152,Matt Katula,2005,2009,80,C,5
153,Marcus Robinson,2003,2003,15,WR,5
154,Gary Stills,2006,2007,32,DE,5
155,Justin Tucker,2012,2012,16,,5
156,Frank Walker,2008,2009,29,DB,5
157,Daniel Wilcox,2004,2006,43,TE,5
158,Josh Wilson,2010,2010,14,DB,5
159,Justin Armour,1999,1999,15,WR,4
160,Obafemi Ayanbadejo,2000,2001,24,RB,4
161,Jason Brookins,2001,2001,12,RB,4
162,Steve Everitt,1996,1996,8,C,4
163,Corey Graham,2012,2012,16,DB,4
164,Nick Greisen,2007,2008,28,LB,4
165,T.J. Houshmandzadeh,2010,2010,16,WR,4
166,Terry Jones,2002,2004,45,TE,4
