,,,,,,
Rk,,From,To,G,Pos,AV
1,John Elway,1983,1998,234,QB,203
2,Tom Nalen,1994,2007,194,C,133
3,Rod Smith,1995,2006,183,WR,126
4,Karl Mecklenburg,1983,1994,180,LB,113
5,Tom Jackson,1973,1986,191,LB,109
6,Louis Wright,1975,1986,166,DB,109
7,Randy Gradishar,1974,1983,145,LB,107
8,Bill Thompson,1969,1981,179,DB,106
9,Champ Bailey,2004,2012,130,DB,99
10,Dennis Smith,1981,1994,184,DB,98
11,Steve Atwater,1989,1998,155,DB,94
12,Barney Chavous,1973,1985,183,DE,91
13,Shannon Sharpe,1990,2003,172,TE,90
14,Rubin Carter,1975,1986,166,NT,87
15,Ken Lanier,1981,1992,173,T,83
16,Floyd Little,1967,1975,117,RB,83
17,Terrell Davis,1995,2001,78,RB,79
18,Al Wilson,1999,2006,125,LB,79
19,Matt Lepsis,1998,2007,150,T,78
20,Simon Fletcher,1985,1995,172,LB,77
21,Trevor Pryce,1997,2005,121,DT,76
22,Bill Bryan,1977,1988,153,C,75
23,Paul Howard,1973,1986,187,G,74
24,Steve Foley,1976,1986,150,DB,72
25,Rulon Jones,1980,1988,129,DE,71
26,Tyrone Braxton,1988,1999,163,DB,68
27,Greg Kragen,1985,1993,136,NT,68
28,Riley Odoms,1972,1983,153,TE,67
29,Ed McCaffrey,1995,2003,121,WR,66
,,,,,,
Rk,,From,To,G,Pos,AV
30,Dave Studdard,1979,1988,145,T,66
31,Haven Moses,1972,1981,140,WR,63
32,Lionel Taylor,1960,1966,96,E,63
33,Gary Zimmerman,1993,1997,76,T,62
34,Dan Neil,1998,2004,105,G,60
35,Lyle Alzado,1971,1978,99,DE,59
36,Otis Armstrong,1973,1980,96,RB,59
37,Ben Hamilton,2002,2009,111,G,59
38,John Mobley,1996,2003,105,LB,59
39,Claudie Minor,1974,1982,125,T,57
40,Ryan Clady,2008,2012,80,T,56
41,Jason Elam,1993,2007,236,K,56
42,Mike Harden,1980,1988,128,DB,56
43,Steve Watson,1979,1987,126,WR,56
44,D.J. Williams,2004,2012,127,LB,56
45,Vance Johnson,1985,1995,128,WR,55
46,Jim Ryan,1979,1988,150,LB,55
47,Bill Romanowski,1996,2001,96,LB,54
48,Rick Upchurch,1975,1983,119,WR,53
49,Mike Current,1967,1975,108,T,52
50,Paul Smith,1968,1978,133,DT,52
51,Keith Bishop,1980,1989,129,G,51
52,Goose Gonsoulin,1960,1966,94,DB,51
53,Bob Swenson,1975,1983,92,LB,50
54,Elvis Dumervil,2006,2012,91,DE,49
55,Mark Schlereth,1995,2000,81,G,48
56,Sammy Winder,1982,1990,127,RB,47
57,Keith Kartz,1987,1993,100,C,46
58,Ray Crockett,1994,2000,106,DB,45
59,Craig Morton,1977,1982,72,QB,45
,,,,,,
Rk,,From,To,G,Pos,AV
60,Jake Plummer,2003,2006,59,QB,45
61,Tom Glassic,1976,1983,105,G,44
62,Mark Jackson,1986,1992,100,WR,44
63,Billy Van Heusen,1968,1975,102,WR,44
64,Brian Griese,1999,2002,52,QB,43
65,Brian Habib,1993,1997,78,G,43
66,Al Denson,1964,1970,91,FL,40
67,Ian Gold,2000,2007,99,LB,40
68,Eldon Danenhauer,1960,1965,79,T,39
69,Charlie Greer,1968,1974,88,DB,39
70,Rich Jackson,1967,1972,67,DE,39
71,Larry Evans,1976,1982,101,LB,38
72,Tony E. Jones,1997,2000,60,T,38
73,Michael Brooks,1987,1992,89,LB,37
74,Dave Costa,1967,1971,70,DT,37
75,Bobby Maples,1972,1978,98,C,37
76,Mike Anderson,2000,2005,74,RB,36
77,Pete Duranko,1967,1974,98,DE,36
78,Larry Kaminski,1966,1973,96,C,36
79,Chris Kuper,2007,2012,85,G,36
80,Bud McFadin,1960,1963,56,DT,36
81,Joe Rizzo,1974,1980,81,LB,36
82,Rick Dennison,1982,1990,128,LB,35
83,Charley Johnson,1972,1975,54,QB,35
84,Brandon Marshall,2006,2009,61,WR,35
85,Gene Mingo,1960,1964,59,HB,35
86,Bob Scarpitto,1962,1967,81,FL,35
87,Jim Turner,1971,1979,130,K,35
88,Jon Keyworth,1974,1980,95,RB,34
89,Tommy Lyons,1971,1976,73,G,33
,,,,,,
Rk,,From,To,G,Pos,AV
90,Ashley Lelie,2002,2005,64,WR,32
91,Keith Traylor,1991,2000,94,DT,32
92,Clinton Portis,2002,2003,29,RB,31
93,Andre Townsend,1984,1990,104,DE,31
94,Jay Cutler,2006,2008,37,QB,30
95,John Grant,1973,1979,99,DT,30
96,Anthony Miller,1994,1996,46,WR,30
97,Steve Sewell,1985,1991,94,RB,30
98,Maa Tanuvasa,1996,2000,79,DE,30
99,Alfred Williams,1996,1999,49,DE,30
100,John Lynch,2004,2007,60,DB,29
101,Jerry Sturm,1961,1966,84,C,29
102,Doug Widell,1989,1992,64,G,29
103,Gerald Willhite,1982,1988,78,RB,29
104,George Goeddeke,1967,1972,66,G,28
105,Von Miller,2011,2012,31,LB,28
106,Steve Busick,1981,1985,73,LB,27
107,Mike Croel,1991,1994,58,LB,27
108,George Foster,2004,2006,48,T,27
109,Brison Manor,1977,1983,102,DE,27
110,Cooper Carlisle,2000,2006,94,G,26
111,Jim Fraser,1962,1964,42,LB,26
112,Wymon Henderson,1989,1992,62,DB,26
113,Kenoy Kennedy,2000,2004,73,DB,26
114,Chip Myrtle,1967,1972,81,LB,26
115,Darrien Gordon,1997,1998,32,DB,25
116,Marv Montgomery,1971,1976,57,T,25
117,Dave Preston,1978,1983,76,RB,25
118,Steve Ramsey,1971,1976,53,QB,25
119,Zane Beadles,2010,2012,48,G,24
,,,,,,
Rk,,From,To,G,Pos,AV
120,Tom Rouen,1993,2002,152,P,24
121,Neil Smith,1997,1999,43,DE,24
122,Sam Brunelli,1966,1971,60,T,23
123,Glenn Cadrez,1995,2000,90,LB,23
124,Fred Forsberg,1968,1973,53,LB,23
125,Harald Hasselbach,1994,2000,112,DE,23
126,Larron Jackson,1971,1974,55,G,23
127,Calvin Jones,1973,1976,46,DB,23
128,Deltha O'Neal,2000,2003,61,DB,23
129,Dave Widell,1990,1994,79,C,23
130,Allen Aldridge,1994,1997,64,LB,22
131,Eric Brown,1998,2001,53,DB,22
132,Willie Brown,1963,1966,50,DB,22
133,Carl Cunningham,1967,1970,55,LB,22
134,Jim Juriga,1988,1990,44,G,22
135,Bob McCullough,1962,1965,56,G,22
136,Kyle Orton,2009,2010,29,QB,22
137,Randy Robbins,1984,1991,116,DB,22
138,Bobby Anderson,1970,1973,48,RB,21
139,Tatum Bell,2004,2008,49,RB,21
140,Gordy Holz,1960,1963,56,DT,21
141,Rich Karlis,1982,1988,101,K,21
142,Aaron Kyle,1980,1982,35,DB,21
143,Knowshon Moreno,2009,2012,44,RB,21
144,John Rowser,1974,1976,38,DB,21
145,Eddie Royal,2008,2011,57,WR,21
146,Mike Schnitker,1969,1974,74,G,21
147,Brian Dawkins,2009,2011,41,DB,20
148,Jack Dolbin,1975,1979,62,WR,20
149,Nick Ferguson,2003,2007,69,DB,20
,,,,,,
Rk,,From,To,G,Pos,AV
150,Chuck Gavin,1960,1963,47,DE,20
151,Bobby Humphrey,1989,1990,31,RB,20
152,Bernard Jackson,1977,1980,46,DB,20
153,Ray Jacobs,1963,1966,46,DT,20
154,Ricky Nattiel,1987,1991,66,WR,20
155,Michael Dean Perry,1995,1997,38,DT,20
156,Frank Tripucka,1960,1962,42,QB,20
157,Bob Young,1966,1970,58,G,20
158,Shane Dronett,1992,1995,61,DT,19
159,Russ Freeman,1992,1994,43,T,19
160,Ron Holmes,1989,1992,52,DE,19
161,Glenn Hyde,1976,1985,99,T,19
162,Jerry Inman,1966,1973,82,DT,19
163,Clarence Kay,1984,1991,119,TE,19
164,Leroy Mitchell,1971,1973,40,DB,19
165,Kavika Pittman,2000,2002,45,DE,19
166,Brandon Stokley,2007,2012,59,WR,19
167,Steve Tensi,1967,1970,41,QB,19
168,Demaryius Thomas,2010,2012,37,WR,19
169,Steve Wilson,1982,1988,92,DB,19
170,Wesley Woodyard,2008,2012,73,LB,19
171,Dwayne Carswell,1996,2004,143,TE,18
172,John McGeever,1962,1965,55,DB,18
173,Charley Mitchell,1963,1967,55,HB,18
174,Ephraim Salaam,2002,2003,30,T,18
175,Casey Wiegmann,2008,2009,32,C,18
176,Dan Williams,1993,1996,46,DE,18
177,Ken Criter,1969,1974,75,LB,17
178,Joe Dawkins,1972,1973,28,RB,17
179,Eric Decker,2010,2012,46,WR,17
,,,,,,
Rk,,From,To,G,Pos,AV
