,,,,,,,Games,Games,Misc,Misc,Misc,Misc
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,DeSean Jackson,2008,2010,Feb-49,PHI,NFL,45,44,3,2,0,34
2,Percy Harvin,2009,2011,22-Jan,MIN,NFL,45,35,3,1,0,33
3,Marques Colston,2006,2008,7-252,NOR,NFL,41,32,3,0,0,28
4,Mike Wallace,2009,2011,Mar-84,PIT,NFL,48,34,3,1,0,28
5,Lee Evans,2004,2006,13-Jan,BUF,NFL,48,41,3,0,0,27
6,Dez Bryant,2010,2012,24-Jan,DAL,NFL,43,29,3,0,0,26
7,Chris Chambers,2001,2003,Feb-52,MIA,NFL,47,38,3,0,0,26
8,Santonio Holmes,2006,2008,25-Jan,PIT,NFL,44,32,3,0,0,26
9,Greg Jennings,2006,2008,Feb-52,GNB,NFL,43,39,3,0,0,26
10,Andre Johnson,2003,2005,3-Jan,HTX,NFL,45,45,3,1,0,26
11,Brandon Marshall,2006,2008,4-119,DEN,NFL,46,32,3,1,0,26
12,Hakeem Nicks,2009,2011,29-Jan,NYG,NFL,42,33,3,0,0,26
13,Anquan Boldin,2003,2005,Feb-54,CRD,NFL,40,39,3,1,0,25
14,Victor Cruz,2010,2012,,NYG,NFL,35,23,3,0,0,25
15,Chad Johnson,2001,2003,Feb-36,CIN,NFL,44,31,3,1,0,25
16,Koren Robinson,2001,2003,9-Jan,SEA,NFL,47,44,3,0,0,25
17,Javon Walker,2002,2004,20-Jan,GNB,NFL,47,17,3,1,0,25
18,Larry Fitzgerald,2004,2006,3-Jan,CRD,NFL,45,45,3,1,0,24
19,Roy E. Williams,2004,2006,7-Jan,DET,NFL,43,40,3,1,0,24
20,Laveranues Coles,2001,2002,Mar-78,NYJ,NFL,32,32,2,0,0,23
21,Braylon Edwards,2005,2007,3-Jan,CLE,NFL,42,38,3,1,0,23
22,A.J. Green,2011,2012,4-Jan,CIN,NFL,31,31,2,1,0,23
23,Calvin Johnson,2007,2009,2-Jan,DET,NFL,45,40,3,0,0,23
24,Julio Jones,2011,2012,6-Jan,ATL,NFL,29,27,2,0,0,23
25,Jeremy Maclin,2009,2011,19-Jan,PHI,NFL,44,42,3,0,0,23
26,Steve Smith,2001,2003,Mar-74,CAR,NFL,46,25,3,1,1,23
27,Mike Williams,2010,2012,4-101,TAM,NFL,48,47,3,0,0,23
28,Plaxico Burress,2001,2002,8-Jan,PIT,NFL,32,31,2,0,0,22
29,Ashley Lelie,2002,2004,19-Jan,DEN,NFL,48,27,3,0,0,22
30,Michael Crabtree,2009,2011,10-Jan,SFO,NFL,42,40,3,0,0,21
31,Rod Gardner,2001,2003,15-Jan,WAS,NFL,48,47,3,0,0,20
32,Johnny Knox,2009,2011,5-140,CHI,NFL,45,27,3,1,0,20
33,Mike Thomas,2009,2011,4-107,JAX,NFL,45,28,3,0,0,20
34,Reggie Wayne,2001,2003,30-Jan,CLT,NFL,45,32,3,0,0,20
35,Dwayne Bowe,2007,2009,23-Jan,KAN,NFL,43,40,3,0,0,19
36,Nate Burleson,2003,2005,Mar-71,MIN,NFL,44,33,3,0,0,19
37,Devin Hester,2006,2008,Feb-57,CHI,NFL,47,8,3,2,2,19
38,Sidney Rice,2007,2009,Feb-44,MIN,NFL,42,21,3,1,0,19
39,Eddie Royal,2008,2010,Feb-42,DEN,NFL,45,37,3,0,0,19
40,Donte Stallworth,2002,2004,13-Jan,NOR,NFL,40,20,3,0,0,19
41,Demaryius Thomas,2010,2012,22-Jan,DEN,NFL,37,23,3,0,0,19
42,Roddy White,2005,2007,27-Jan,ATL,NFL,48,28,3,0,0,19
43,Davone Bess,2008,2010,,MIA,NFL,48,16,3,0,0,18
44,Steve Breaston,2007,2009,5-142,CRD,NFL,47,15,3,0,0,18
45,Antonio Brown,2010,2012,6-195,PIT,NFL,38,13,3,1,0,18
46,Reggie Brown,2005,2007,Feb-35,PHI,NFL,48,40,3,0,0,18
47,Randall Cobb,2011,2012,Feb-64,GNB,NFL,30,8,2,0,0,18
48,Austin Collie,2009,2011,4-127,CLT,NFL,41,16,3,0,0,18
49,Ted Ginn Jr.,2007,2009,9-Jan,MIA,NFL,48,35,3,0,0,18
50,Santana Moss,2001,2003,16-Jan,NYJ,NFL,36,13,3,0,0,18
51,Antwaan Randle El,2002,2004,Feb-62,PIT,NFL,48,8,3,0,0,18
52,Steve Smith,2007,2009,Feb-51,NYG,NFL,37,19,3,1,0,18
53,Deion Branch,2002,2004,Feb-65,NWE,NFL,37,28,3,0,0,17
54,Kenny Britt,2009,2011,30-Jan,OTI,NFL,31,16,3,0,0,17
55,Eric Decker,2010,2012,Mar-87,DEN,NFL,46,28,3,0,0,17
56,Pierre Garcon,2008,2010,6-205,CLT,NFL,42,27,3,0,0,17
57,Darrell Jackson,2001,2002,Mar-80,SEA,NFL,29,29,2,0,0,17
58,Robert Meachem,2008,2010,27-Jan,NOR,NFL,46,17,3,0,0,17
59,Quincy Morgan,2001,2003,Feb-33,CLE,NFL,48,40,3,0,0,17
60,Mark Clayton,2005,2007,22-Jan,RAV,NFL,46,34,3,0,0,16
61,Torry Holt,2001,2001,6-Jan,RAM,NFL,16,0,1,1,0,16
62,Matt Jones,2005,2007,21-Jan,JAX,NFL,42,5,3,0,0,16
63,Mike Sims-Walker,2008,2010,Mar-79,JAX,NFL,38,28,3,0,0,16
64,Torrey Smith,2011,2012,Feb-58,RAV,NFL,32,30,2,0,0,16
65,Michael Clayton,2004,2006,15-Jan,TAM,NFL,42,32,3,0,0,15
66,David Givens,2002,2004,7-253,NWE,NFL,40,17,3,0,0,15
67,Anthony Gonzalez,2007,2009,Jan-32,CLT,NFL,30,12,3,0,0,15
68,Vincent Jackson,2005,2007,Feb-61,SDG,NFL,39,23,3,0,0,15
69,Brandon LaFell,2010,2012,Mar-78,CAR,NFL,44,21,3,0,0,15
70,Mario Manningham,2008,2010,Mar-95,NYG,NFL,38,18,3,0,0,15
71,Eric Parker,2002,2004,,SDG,NFL,32,19,3,0,0,15
72,Ernest Wilford,2004,2006,4-120,JAX,NFL,47,23,3,0,0,15
73,Drew Bennett,2001,2003,,OTI,NFL,42,16,3,0,0,14
74,David Boston,2001,2001,8-Jan,CRD,NFL,16,16,1,1,1,14
75,Jerricho Cotchery,2004,2006,4-108,NYJ,NFL,44,17,3,0,0,14
76,Greg Hardy,2010,2012,6-175,CAR,NFL,46,28,3,0,0,14
77,Brian Hartline,2009,2011,4-108,MIA,NFL,44,23,3,0,0,14
78,Chris Henry,2005,2007,Mar-83,CIN,NFL,35,11,3,0,0,14
79,James Jones,2007,2009,Mar-78,GNB,NFL,42,14,3,0,0,14
80,Justin McCareins,2001,2003,4-124,OTI,NFL,36,12,3,0,0,14
81,Todd Pinkston,2001,2002,Feb-36,PHI,NFL,30,30,2,0,0,14
82,Reggie Williams,2004,2006,9-Jan,JAX,NFL,48,36,3,0,0,14
83,Andre' Davis,2002,2004,Feb-47,CLE,NFL,39,19,3,0,0,13
84,Harry Douglas,2008,2011,Mar-84,ATL,NFL,48,8,3,0,0,13
85,Jabar Gaffney,2002,2004,Feb-33,HTX,NFL,48,37,3,0,0,13
86,D.J. Hackett,2005,2007,5-157,SEA,NFL,33,14,3,0,0,13
87,Darrius Heyward-Bey,2009,2011,7-Jan,RAI,NFL,41,38,3,0,0,13
88,Josh Morgan,2008,2010,6-174,SFO,NFL,44,27,3,0,0,13
89,Golden Tate,2010,2012,Feb-60,SEA,NFL,42,20,3,0,0,13
90,Travis Taylor,2001,2002,10-Jan,RAV,NFL,32,28,2,0,0,13
91,Earl Bennett,2008,2010,Mar-70,CHI,NFL,40,18,3,0,0,12
92,Kelly Campbell,2002,2004,,MIN,NFL,37,11,3,0,0,12
93,Brandon Lloyd,2003,2005,4-124,SFO,NFL,45,29,3,0,0,12
94,Mohamed Massaquoi,2009,2011,Feb-50,CLE,NFL,45,38,3,0,0,12
95,Lance Moore,2006,2008,,NOR,NFL,36,10,3,0,0,12
96,Samie Parker,2004,2006,4-105,KAN,NFL,32,24,3,0,0,12
97,Josh Reed,2002,2004,Feb-36,BUF,NFL,44,19,3,0,0,12
98,Doug Baldwin,2011,2012,,SEA,NFL,30,6,2,0,0,11
99,Marty Booker,2001,2001,Mar-78,CHI,NFL,16,16,1,0,0,11
100,Jacoby Ford,2010,2012,4-108,RAI,NFL,24,12,3,0,0,11
101,Doug Gabriel,2003,2005,5-167,RAI,NFL,42,7,3,0,0,11
102,Michael Jenkins,2004,2006,29-Jan,ATL,NFL,46,28,3,0,0,11
103,Dexter McCluster,2010,2012,Feb-36,KAN,NFL,43,17,3,0,0,11
104,Louis Murphy,2009,2011,4-124,RAI,NFL,41,19,3,0,0,11
105,Jordy Nelson,2008,2010,Feb-36,GNB,NFL,45,6,3,0,0,11
106,Andre Roberts,2010,2012,Mar-88,CRD,NFL,46,33,3,0,0,11
107,Bernard Berrian,2004,2006,Mar-78,CHI,NFL,42,17,3,0,0,10
108,Keary Colbert,2004,2006,Feb-62,CAR,NFL,43,34,3,0,0,10
109,Patrick Crayton,2004,2006,7-216,DAL,NFL,35,6,3,0,0,10
110,Kevin Curtis,2003,2005,Mar-74,RAM,NFL,35,10,3,0,0,10
111,Domenik Hixon,2008,2009,4-130,NYG,NFL,30,9,2,0,0,10
112,Bryant Johnson,2003,2005,17-Jan,CRD,NFL,45,23,3,0,0,10
113,Jeremy Kerley,2011,2012,5-153,NYJ,NFL,30,8,2,0,0,10
114,Greg Little,2011,2012,Feb-59,CLE,NFL,32,28,2,0,0,10
115,Freddie Mitchell,2001,2003,25-Jan,PHI,NFL,47,8,3,0,0,10
