CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,Zip Code,Texas Region
1/1/2011,62,50,37,29,21,17,58,33,19,30.22,30.11,29.93,10,10,10,12,5,17,0,0,,351,78801,Southwest
1/2/2011,57,44,32,27,22,17,80,44,20,30.39,30.3,30.25,10,10,10,10,6,,0,0,,106,78801,Southwest
1/3/2011,60,49,38,49,38,20,73,62,43,30.26,30.16,30.06,10,10,10,9,5,,0,6,,97,78801,Southwest
1/4/2011,68,62,55,62,55,50,97,86,78,30.11,30.05,29.97,10,8,1,7,5,,0,6,,38,78801,Southwest
1/5/2011,75,64,54,57,38,5,99,60,7,30.11,30.03,29.99,10,5,0,17,6,22,0,4,Fog,345,78801,Southwest
1/6/2011,72,54,35,26,20,7,63,33,8,30.18,30.09,30.03,10,10,10,9,3,,0,0,,349,78801,Southwest
1/7/2011,75,56,37,40,32,26,72,42,18,30.05,29.91,29.76,10,10,10,9,3,,0,0,,292,78801,Southwest
1/8/2011,65,56,47,31,28,24,46,34,25,29.93,29.83,29.73,10,10,10,20,10,30,0,3,,73,78801,Southwest
1/9/2011,70,55,40,47,42,34,97,71,27,29.88,29.78,29.69,10,10,2,14,7,20,0.01,2,Rain-Thunderstorm,320,78801,Southwest
1/10/2011,52,46,41,50,44,40,98,95,89,30.16,30,29.9,10,5,1,12,7,17,0,8,,88,78801,Southwest
1/11/2011,47,42,37,41,26,17,84,54,29,30.61,30.49,30.27,10,10,10,14,9,18,0,8,,37,78801,Southwest
1/12/2011,40,38,35,20,14,11,46,38,31,30.73,30.64,30.59,10,10,10,14,9,20,0,8,,81,78801,Southwest
1/13/2011,42,40,37,22,17,12,54,42,31,30.63,30.56,30.47,10,10,10,7,3,,0,8,,120,78801,Southwest
1/14/2011,45,41,37,44,33,20,97,77,45,30.42,30.29,30.16,10,7,1,10,4,,0,8,,96,78801,Southwest
1/15/2011,55,51,47,54,52,47,99,97,95,30.22,30.16,30.1,10,6,2,12,6,,0.15,8,Rain,50,78801,Southwest
1/16/2011,61,54,45,55,51,44,98,90,68,30.05,29.98,29.93,10,8,0,10,3,,0.02,6,Fog-Rain,8,78801,Southwest
1/17/2011,55,46,37,52,46,37,99,96,81,29.98,29.87,29.71,10,3,0,6,1,,0,7,Fog,160,78801,Southwest
1/18/2011,75,56,38,52,43,37,99,68,26,29.98,29.85,29.73,10,6,0,16,5,21,0,2,Fog,336,78801,Southwest
1/19/2011,68,52,37,51,45,37,99,77,43,30.08,29.98,29.84,10,7,0,17,6,22,0,2,Fog,105,78801,Southwest
1/20/2011,60,54,47,58,44,28,99,78,42,30.21,30.01,29.85,10,6,1,26,8,33,0,5,,15,78801,Southwest
1/21/2011,55,41,27,28,23,19,88,52,27,30.28,30.1,29.95,10,10,10,9,3,,0,0,,102,78801,Southwest
1/22/2011,65,46,27,32,25,21,90,55,19,30.13,30.07,29.89,10,10,10,16,3,20,0,0,,129,78801,Southwest
1/23/2011,64,50,37,51,42,31,89,77,56,30.01,29.94,29.88,10,10,10,13,8,,0,5,,46,78801,Southwest
1/24/2011,66,49,32,32,28,25,88,51,22,30.08,30.01,29.9,10,10,10,7,3,,0,0,,325,78801,Southwest
1/25/2011,61,50,39,32,26,16,73,46,18,30.21,30.11,29.99,10,10,10,18,6,23,0,0,,339,78801,Southwest
1/26/2011,62,46,29,32,26,22,84,52,23,30.26,30.19,30.12,10,10,10,9,4,,0,0,,90,78801,Southwest
1/27/2011,68,52,35,38,31,26,76,50,27,30.32,30.24,30.15,10,10,10,12,5,,0,0,,321,78801,Southwest
1/28/2011,72,54,35,43,33,28,84,54,19,30.22,30.15,30.05,10,10,10,10,2,,0,0,,220,78801,Southwest
1/29/2011,68,58,47,58,49,36,88,71,49,30.07,30.01,29.92,10,10,10,8,5,,0,2,,69,78801,Southwest
1/30/2011,79,67,55,63,48,26,97,63,14,30.05,29.98,29.92,10,9,3,15,5,16,0,2,,261,78801,Southwest
1/31/2011,80,64,49,63,50,32,97,62,31,29.97,29.88,29.68,10,9,2,20,8,29,0,3,,106,78801,Southwest
2/1/2011,68,52,35,64,34,16,88,66,40,30.17,29.98,29.67,10,10,3,25,15,39,0.08,2,Rain,352,78801,Southwest
2/2/2011,30,26,21,12,7,5,59,48,39,30.55,30.47,30.38,10,10,10,16,11,22,0,7,,7,78801,Southwest
2/3/2011,27,24,21,18,9,6,77,52,43,30.54,30.45,30.33,10,10,10,12,9,16,0,8,,5,78801,Southwest
2/4/2011,45,32,19,16,9,1,75,44,17,30.39,30.28,30.14,10,10,10,17,9,25,0,1,,300,78801,Southwest
2/5/2011,65,40,16,15,9,5,70,32,11,30.15,30,29.84,10,10,10,12,4,20,0,0,,233,78801,Southwest
2/6/2011,74,53,32,28,19,9,68,33,12,29.93,29.88,29.84,10,10,10,21,7,32,0,0,,348,78801,Southwest
2/7/2011,59,46,34,35,25,11,85,48,16,30.42,30.3,30.17,10,10,10,18,11,25,0,0,,313,78801,Southwest
2/8/2011,69,50,32,45,30,14,78,49,33,30.15,30.03,29.84,10,10,10,24,10,33,0,0,,111,78801,Southwest
2/9/2011,58,42,27,55,28,13,93,63,32,30.31,30.15,29.88,10,10,7,24,14,34,0,5,Rain,356,78801,Southwest
2/10/2011,47,34,21,11,8,5,60,39,18,30.42,30.35,30.2,10,10,10,15,7,20,0,0,,347,78801,Southwest
2/11/2011,56,40,25,19,14,8,67,40,16,30.4,30.32,30.27,10,10,10,8,5,,0,0,,84,78801,Southwest
2/12/2011,65,44,24,20,16,12,67,35,15,30.54,30.45,30.36,10,10,10,10,3,,0,0,,168,78801,Southwest
2/13/2011,75,52,29,42,28,14,87,48,16,30.39,30.29,30.13,10,10,10,13,5,17,0,0,,145,78801,Southwest
2/14/2011,77,59,41,53,44,31,97,62,26,30.21,30.14,30.08,10,10,10,8,6,,0,1,,91,78801,Southwest
2/15/2011,81,66,52,59,54,50,97,71,34,30.17,30.09,29.99,10,10,10,10,6,17,0,3,,117,78801,Southwest
2/16/2011,80,68,57,61,58,54,96,74,40,30.08,30.02,29.9,10,10,10,16,7,22,0,5,,140,78801,Southwest
2/17/2011,80,72,65,64,61,56,88,71,43,29.99,29.94,29.89,10,10,10,15,10,21,0,6,,143,78801,Southwest
2/18/2011,72,66,60,65,62,56,100,87,68,30.13,30.07,30.02,10,6,1,12,6,16,0,5,,92,78801,Southwest
2/19/2011,81,69,57,66,60,56,98,83,42,30.13,30.07,29.94,10,6,1,17,7,25,0,6,,111,78801,Southwest
2/20/2011,85,72,59,62,59,54,93,73,36,29.98,29.87,29.7,10,10,10,14,10,20,0,5,,137,78801,Southwest
2/21/2011,81,70,60,64,60,58,96,76,46,29.87,29.79,29.73,10,8,2,14,8,18,0,4,,86,78801,Southwest
2/22/2011,72,66,60,61,51,41,89,59,47,30.04,29.96,29.91,10,10,7,18,9,22,0,6,,83,78801,Southwest
2/23/2011,78,72,65,67,63,54,96,79,56,29.98,29.91,29.81,10,8,1,13,8,16,0,7,,137,78801,Southwest
2/24/2011,88,78,65,67,47,7,95,57,6,29.9,29.82,29.78,10,9,2,28,9,32,0.01,4,Rain,328,78801,Southwest
2/25/2011,81,63,45,26,18,9,46,20,7,30.1,29.99,29.91,10,10,10,14,5,18,0,0,,126,78801,Southwest
2/26/2011,84,68,52,65,55,32,91,66,40,29.94,29.86,29.72,10,10,4,16,8,23,0,5,,117,78801,Southwest
2/27/2011,96,82,68,69,58,30,97,64,10,29.76,29.67,29.53,10,7,1,16,9,31,0,5,,150,78801,Southwest
2/28/2011,79,66,52,29,15,6,40,16,6,30.27,30.1,29.79,10,10,5,24,14,34,0,0,,359,78801,Southwest
3/1/2011,75,56,37,33,28,17,70,37,11,30.34,30.25,30.14,10,10,10,9,5,10,0,0,,120,78801,Southwest
3/2/2011,78,61,44,42,34,27,69,37,18,30.2,30.11,30.02,10,10,10,13,7,26,0,0,,100,78801,Southwest
3/3/2011,82,65,48,55,49,43,100,67,26,30.07,30.01,29.87,10,9,2,14,7,18,0,3,,117,78801,Southwest
3/4/2011,80,68,55,59,56,52,94,74,42,29.93,29.88,29.79,10,10,7,12,6,,0,4,,102,78801,Southwest
3/5/2011,71,62,53,63,40,21,94,50,17,30.27,30.13,29.93,10,10,5,28,12,39,0.09,3,Rain-Thunderstorm,11,78801,Southwest
3/6/2011,69,50,32,34,23,18,69,37,15,30.29,30.16,29.96,10,10,10,13,6,16,0,0,,98,78801,Southwest
3/7/2011,78,60,42,55,46,36,93,60,34,29.96,29.82,29.66,10,10,5,16,9,22,0,0,,119,78801,Southwest
3/8/2011,87,74,60,63,57,43,88,64,21,29.78,29.72,29.67,10,10,10,10,6,,0,2,,112,78801,Southwest
