CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,50,45,40,48,41,32,100,88,76,30.25,30.13,30.03,10,8,3,17,8,22,0.26,8,Rain,347
2013-1-2,41,38,34,33,31,30,89,77,65,30.35,30.29,30.26,10,10,9,13,4,15,T,6,,326
2013-1-3,52,39,26,32,29,24,92,67,41,30.46,30.41,30.35,10,9,5,13,4,16,0.00,1,,345
2013-1-4,51,45,39,40,34,29,92,67,41,30.55,30.45,30.37,10,10,8,8,2,9,0.03,7,Rain,93
2013-1-5,52,43,33,40,38,32,93,76,59,30.40,30.34,30.27,10,9,5,9,3,13,0.04,5,Rain,158
2013-1-6,60,46,32,40,33,29,100,66,32,30.38,30.33,30.30,10,4,0,12,2,15,0.00,1,Fog,343
2013-1-7,56,42,28,36,31,26,92,64,35,30.38,30.28,30.14,10,10,8,12,3,16,0.00,0,,102
2013-1-8,75,58,40,57,48,36,89,69,48,30.15,30.06,29.96,10,7,0,25,7,33,0.56,7,Rain,87
2013-1-9,69,62,55,57,56,55,100,81,61,30.14,30.07,30.02,10,5,1,18,9,23,1.21,8,Rain,61
2013-1-10,80,70,60,61,54,44,100,66,32,30.06,29.98,29.90,10,8,2,22,10,30,0.03,4,Rain,179
2013-1-11,75,62,48,58,48,43,86,61,35,30.01,29.93,29.86,10,10,10,18,9,23,0.00,2,,177
2013-1-12,74,58,42,70,60,40,100,89,78,29.89,29.79,29.69,10,7,1,28,12,31,0.96,8,Rain-Thunderstorm,194
2013-1-13,47,41,34,39,34,27,100,79,58,30.25,30.07,29.85,10,9,4,18,11,23,0.10,5,Rain-Thunderstorm,332
2013-1-14,43,38,32,28,26,22,82,69,55,30.34,30.26,30.22,10,9,5,17,9,22,0.02,4,Rain,33
2013-1-15,35,33,30,34,28,21,100,82,63,30.22,30.18,30.12,10,7,2,14,7,18,0.10,8,Rain,8
2013-1-16,50,41,32,33,25,14,92,58,24,30.27,30.22,30.16,10,10,10,15,7,20,0.00,2,,302
2013-1-17,62,44,26,34,29,22,85,59,32,30.50,30.38,30.26,10,10,10,16,5,20,0.00,0,,323
2013-1-18,60,45,29,36,31,28,92,63,33,30.57,30.47,30.37,10,10,10,10,4,15,0.00,0,,136
2013-1-19,62,47,32,42,36,29,92,67,42,30.35,30.28,30.21,10,10,3,15,5,18,0.00,0,,178
2013-1-20,68,51,34,50,41,33,100,73,45,30.28,30.21,30.13,10,6,0,13,3,16,0.00,1,Fog,173
2013-1-21,64,51,38,49,40,35,100,76,51,30.27,30.21,30.15,10,8,2,13,4,18,0.00,1,,49
2013-1-22,61,49,37,42,35,29,85,64,43,30.37,30.29,30.25,10,10,10,10,4,14,0.00,4,,103
2013-1-23,74,58,41,53,47,40,93,66,38,30.32,30.25,30.19,10,10,7,18,7,24,0.00,1,,192
2013-1-24,71,60,48,61,55,46,100,85,70,30.25,30.18,30.10,10,6,0,14,6,18,0.00,4,Fog,176
2013-1-25,69,59,49,60,52,46,93,83,73,30.19,30.14,30.08,10,8,5,17,8,24,0.00,8,,27
2013-1-26,50,49,48,49,48,46,100,93,86,30.24,30.19,30.16,9,2,0,13,7,15,0.03,8,Fog-Rain,76
2013-1-27,76,63,49,62,54,48,100,79,58,30.17,30.11,30.01,10,4,0,18,9,24,T,7,Fog,137
2013-1-28,80,73,66,64,62,60,87,71,54,30.09,30.02,29.93,10,10,7,24,12,29,T,6,,168
2013-1-29,76,65,54,66,62,53,100,85,69,29.94,29.75,29.51,10,8,2,36,16,46,0.38,8,Rain-Thunderstorm,181
2013-1-30,56,45,34,52,33,26,93,66,38,30.17,29.94,29.68,10,10,3,30,12,41,0.03,3,Rain,277
2013-1-31,65,48,31,31,26,21,82,51,19,30.28,30.21,30.16,10,10,10,20,9,24,0.00,0,,208
2013-2-1,61,50,39,38,33,29,70,53,36,30.41,30.32,30.24,10,10,10,17,8,21,0.00,0,,95
2013-2-2,72,58,43,50,42,35,82,58,33,30.30,30.23,30.18,10,10,10,18,8,26,0.00,1,,267
2013-2-3,69,52,34,40,35,28,89,56,22,30.32,30.22,30.06,10,10,8,12,4,14,0.00,0,,182
