CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees,Zip Code,Texas Region
1/1/2013,71,61,51,67,56,42,93,80,67,30.18,30.04,29.88,10,10,6,29,15,38,0.06,7,Rain,353,78401,Southeast
1/2/2013,51,47,43,41,37,34,89,75,60,30.32,30.26,30.19,10,10,7,23,13,29,0.18,8,Rain,4,78401,Southeast
1/3/2013,52,48,44,37,34,30,76,60,44,30.4,30.35,30.3,10,10,10,20,12,23,0,8,,10,78401,Southeast
1/4/2013,52,50,47,37,36,35,65,60,54,30.44,30.39,30.35,10,10,10,22,14,31,T,8,,12,78401,Southeast
1/5/2013,51,49,46,45,42,37,86,74,61,30.36,30.31,30.26,10,10,6,21,11,26,0.03,8,Rain,1,78401,Southeast
1/6/2013,67,55,42,46,42,38,89,63,37,30.37,30.3,30.26,10,10,4,15,9,23,0,2,,14,78401,Southeast
1/7/2013,65,53,40,55,47,36,93,75,56,30.32,30.16,30,10,9,4,20,11,23,0.01,4,Rain,52,78401,Southeast
1/8/2013,72,65,58,66,62,55,97,91,84,29.98,29.87,29.77,10,6,1,30,13,37,0.17,8,Rain,94,78401,Southeast
1/9/2013,71,63,55,67,60,54,93,87,81,30.05,29.92,29.82,10,10,4,22,9,28,0.71,7,Rain,271,78401,Southeast
1/10/2013,71,61,51,54,50,46,93,69,44,30.11,30.06,30.03,10,10,10,18,7,21,0,1,,217,78401,Southeast
1/11/2013,80,64,48,70,61,46,100,81,62,30.04,29.91,29.82,10,6,0,26,12,31,0,5,Fog,152,78401,Southeast
1/12/2013,81,76,71,70,70,69,93,81,69,29.84,29.74,29.66,10,7,2,31,20,38,0,5,,162,78401,Southeast
