Rank,Name,Games,Plays,Yds,Avg,TDs,Ydspgm,Wins,Losses,Ties,Year,Team Code
9,Akron,12,923,5643,6.11,55,470.25,7,5,0,2003,5
88,Akron,11,731,3705,5.07,35,336.82,6,5,0,2004,5
54,Akron,13,963,4996,5.19,38,384.31,7,6,0,2005,5
93,Akron,12,749,3725,4.97,32,310.42,5,7,0,2006,5
111,Akron,12,813,3740,4.6,30,311.67,4,8,0,2007,5
40,Akron,12,839,4760,5.67,44,396.67,5,7,0,2008,5
113,Akron,12,735,3611,4.91,30,300.92,3,9,0,2009,5
119,Akron,12,742,3222,4.34,23,268.5,1,11,0,2010,5
115,Akron,12,789,3333,4.22,20,277.75,1,11,0,2011,5
45,Akron,12,948,5126,5.41,41,427.17,1,11,0,2012,5
79,Alabama,13,901,4557,5.06,41,350.54,4,9,0,2003,8
94,Alabama,12,763,3920,5.14,35,326.67,6,6,0,2004,8
67,Alabama,12,814,4307,5.29,30,358.92,10,2,0,2005,8
65,Alabama,13,848,4367,5.15,34,335.92,6,7,0,2006,8
75,Alabama,13,962,4859,5.05,39,373.77,7,6,0,2007,8
63,Alabama,14,902,4981,5.52,52,355.79,12,2,0,2008,8
42,Alabama,14,947,5642,5.96,52,403,14,0,0,2009,8
22,Alabama,13,829,5773,6.96,58,444.08,10,3,0,2010,8
31,Alabama,13,865,5585,6.46,55,429.62,12,1,0,2011,8
31,Alabama,14,898,6237,6.95,71,445.5,13,1,0,2012,8
81,UAB,12,780,4188,5.37,28,349,5,7,0,2003,9
33,UAB,12,792,4836,6.11,48,403,7,5,0,2004,9
21,UAB,11,753,4781,6.35,38,434.64,5,6,0,2005,9
95,UAB,12,736,3721,5.06,28,310.08,3,9,0,2006,9
104,UAB,12,806,3907,4.85,24,325.58,2,10,0,2007,9
56,UAB,12,788,4394,5.58,31,366.17,4,8,0,2008,9
22,UAB,12,754,5111,6.78,42,425.92,5,7,0,2009,9
30,UAB,12,882,5074,5.75,42,422.83,4,8,0,2010,9
81,UAB,12,842,4368,5.19,28,364,3,9,0,2011,9
50,UAB,12,895,5029,5.62,43,419.08,3,9,0,2012,9
45,Arizona St.,12,868,4699,5.41,39,391.58,5,7,0,2003,28
16,Arizona St.,12,937,5225,5.58,43,435.42,9,3,0,2004,28
2,Arizona St.,12,940,6229,6.63,59,519.08,7,5,0,2005,28
42,Arizona St.,13,846,4775,5.64,44,367.31,7,6,0,2006,28
56,Arizona St.,13,977,5195,5.32,50,399.62,10,3,0,2007,28
100,Arizona St.,12,764,3713,4.86,31,309.42,5,7,0,2008,28
90,Arizona St.,12,800,4013,5.02,34,334.42,4,8,0,2009,28
29,Arizona St.,12,877,5108,5.82,48,425.67,6,6,0,2010,28
25,Arizona St.,13,950,5795,6.1,55,445.77,6,7,0,2011,28
25,Arizona St.,13,1011,6039,5.97,65,464.54,8,5,0,2012,28
108,Arizona,12,775,3690,4.76,25,307.5,2,10,0,2003,29
112,Arizona,11,698,3178,4.55,20,288.91,3,8,0,2004,29
74,Arizona,11,750,3864,5.15,33,351.27,3,8,0,2005,29
115,Arizona,12,735,3034,4.13,22,252.83,6,6,0,2006,29
67,Arizona,12,851,4623,5.43,39,385.25,5,7,0,2007,29
33,Arizona,13,916,5231,5.71,62,402.38,8,5,0,2008,29
58,Arizona,13,914,4999,5.47,44,384.54,8,5,0,2009,29
24,Arizona,13,959,5712,5.96,47,439.38,7,6,0,2010,29
16,Arizona,12,908,5583,6.15,49,465.25,4,8,0,2011,29
7,Arizona,13,1082,6840,6.32,65,526.15,8,5,0,2012,29
105,Arkansas St.,12,788,3727,4.73,33,310.58,5,7,0,2003,30
71,Arkansas St.,11,742,3940,5.31,26,358.18,3,8,0,2004,30
62,Arkansas St.,12,780,4441,5.69,36,370.08,6,6,0,2005,30
89,Arkansas St.,12,807,3747,4.64,21,312.25,6,6,0,2006,30
70,Arkansas St.,12,848,4558,5.38,35,379.83,5,7,0,2007,30
38,Arkansas St.,12,796,4786,6.01,39,398.83,6,6,0,2008,30
95,Arkansas St.,12,758,3946,5.21,33,328.83,4,8,0,2009,30
40,Arkansas St.,12,856,4841,5.66,47,403.42,4,8,0,2010,30
24,Arkansas St.,13,1016,5822,5.73,50,447.85,10,3,0,2011,30
23,Arkansas St.,13,952,6067,6.37,58,466.69,10,3,0,2012,30
24,Arkansas,13,930,5607,6.03,56,431.31,9,4,0,2003,31
36,Arkansas,11,753,4377,5.81,45,397.91,5,6,0,2004,31
66,Arkansas,11,761,3967,5.21,35,360.64,4,7,0,2005,31
29,Arkansas,14,841,5292,6.29,55,378,10,4,0,2006,31
17,Arkansas,13,938,5850,6.24,62,450,8,5,0,2007,31
49,Arkansas,12,821,4477,5.45,34,373.08,5,7,0,2008,31
20,Arkansas,13,834,5555,6.66,60,427.31,8,5,0,2009,31
9,Arkansas,13,886,6273,7.08,60,482.54,10,3,0,2010,31
29,Arkansas,13,883,5695,6.45,59,438.08,11,2,0,2011,31
49,Arkansas,12,826,5042,6.1,35,420.17,4,8,0,2012,31
61,Auburn,13,864,4891,5.66,44,376.23,8,5,0,2003,37
25,Auburn,13,861,5469,6.35,54,420.69,13,0,0,2004,37
37,Auburn,12,820,4918,6,50,409.83,9,3,0,2005,37
76,Auburn,13,752,4172,5.55,37,320.92,11,2,0,2006,37
97,Auburn,13,899,4357,4.85,38,335.15,9,4,0,2007,37
104,Auburn,12,810,3635,4.49,25,302.92,5,7,0,2008,37
16,Auburn,13,914,5613,6.14,55,431.77,8,5,0,2009,37
7,Auburn,14,948,6989,7.37,75,499.21,14,0,0,2010,37
100,Auburn,13,828,4392,5.3,42,337.85,8,5,0,2011,37
115,Auburn,12,695,3660,5.27,27,305,3,9,0,2012,37
86,Ball St.,12,844,4108,4.87,32,342.33,4,8,0,2003,47
96,Ball St.,11,768,3556,4.63,27,323.27,2,9,0,2004,47
106,Ball St.,11,750,3289,4.39,30,299,4,7,0,2005,47
51,Ball St.,12,739,4215,5.7,39,351.25,5,7,0,2006,47
31,Ball St.,13,951,5640,5.93,51,433.85,7,6,0,2007,47
17,Ball St.,14,925,6195,6.7,63,442.5,12,2,0,2008,47
114,Ball St.,12,750,3526,4.7,25,293.83,2,10,0,2009,47
106,Ball St.,12,754,3670,4.87,32,305.83,4,8,0,2010,47
68,Ball St.,12,859,4553,5.3,37,379.42,6,6,0,2011,47
27,Ball St.,13,1035,5944,5.74,52,457.23,9,4,0,2012,47
114,Baylor,12,822,3377,4.11,24,281.42,3,9,0,2003,51
102,Baylor,11,761,3430,4.51,27,311.82,3,8,0,2004,51
97,Baylor,11,777,3497,4.5,27,317.91,5,6,0,2005,51
86,Baylor,12,745,3782,5.08,36,315.17,4,8,0,2006,51
85,Baylor,12,859,4215,4.91,29,351.25,3,9,0,2007,51
46,Baylor,12,771,4517,5.86,46,376.42,4,8,0,2008,51
85,Baylor,12,777,4115,5.3,32,342.92,4,8,0,2009,51
13,Baylor,13,939,6179,6.58,50,475.31,7,6,0,2010,51
2,Baylor,13,1000,7632,7.63,80,587.08,10,3,0,2011,51
2,Baylor,13,1072,7439,6.94,76,572.23,8,5,0,2012,51
7,Boise St.,14,1061,6809,6.42,77,486.36,13,1,0,2003,66
4,Boise St.,12,951,5912,6.22,74,492.67,11,1,0,2004,66
29,Boise St.,13,950,5524,5.81,64,424.92,9,4,0,2005,66
10,Boise St.,13,857,5468,6.38,68,420.62,13,0,0,2006,66
12,Boise St.,13,978,6076,6.21,72,467.38,10,3,0,2007,66
18,Boise St.,13,887,5731,6.46,63,440.85,12,1,0,2008,66
10,Boise St.,14,966,6303,6.52,76,450.21,14,0,0,2009,66
2,Boise St.,13,910,6777,7.45,77,521.31,12,1,0,2010,66
9,Boise St.,13,969,6257,6.46,81,481.31,12,1,0,2011,66
68,Boise St.,13,872,5087,5.83,50,391.31,11,2,0,2012,66
35,Boston College,13,954,5259,5.51,48,404.54,8,5,0,2003,67
47,Boston College,12,875,4625,5.29,37,385.42,9,3,0,2004,67
51,Boston College,12,865,4653,5.38,40,387.75,9,3,0,2005,67
50,Boston College,13,896,4604,5.14,42,354.15,10,3,0,2006,67
33,Boston College,14,1081,5951,5.51,52,425.07,11,3,0,2007,67
94,Boston College,14,966,4471,4.63,43,319.36,9,5,0,2008,67
98,Boston College,13,823,4211,5.12,40,323.92,8,5,0,2009,67
109,Boston College,13,815,3888,4.77,25,299.08,7,5,0,2010,67
112,Boston College,12,761,3585,4.71,27,298.75,4,8,0,2011,67
99,Boston College,12,818,4198,5.13,26,349.83,2,10,0,2012,67
3,Bowling Green,14,1111,6954,6.26,61,496.71,11,3,0,2003,71
2,Bowling Green,12,904,6076,6.72,69,506.33,9,3,0,2004,71
27,Bowling Green,11,829,4705,5.68,51,427.73,6,5,0,2005,71
56,Bowling Green,12,852,4149,4.87,32,345.75,4,8,0,2006,71
53,Bowling Green,13,940,5232,5.57,49,402.46,8,5,0,2007,71
60,Bowling Green,12,818,4317,5.28,44,359.75,6,6,0,2008,71
43,Bowling Green,13,956,5235,5.48,48,402.69,7,6,0,2009,71
115,Bowling Green,12,820,3533,4.31,35,294.42,1,10,0,2010,71
