"Code","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Percentage","PlayerID","AV"
725,"A.J. Schurr",4,12,46.80252104,11.70063026,3.90021008666667,0,0,0,0,NA,0,0,"QB",141.204201776,18,7.96638656,0.306796116648431,129.4537816,32.3634454,16.25,1.99159664,0,1.00421940860475,-1.00421940860475,54,"Army",12,921,5213.0042052,5.66015657459283,35.84873952,434.4170171,1.99159664,10.0421940860475,0.49579832,24,NA
255,"A.J. Suggs",2,3,5.12068965,2.560344825,1.70689655,0,0,0,0,NA,0,0,"QB",139.589999859,24,15.36206895,0.39027595245346,184.3448274,92.1724137,12,2.04827586,1.95286195483454,0.97643097741727,-7.81144781933816,115,"Georgia Tech",13,888,4401.74482314,4.95691984587838,32.77241376,338.595755626154,7.16896551,5.85858586450362,0.52413793,25,NA
657,"Aaron Corp",5,4,7.16896551,1.433793102,1.7922413775,0,0,0,0,NA,0,0,"QB",103.0358171155,30,19.49253659,0.393848000790052,173.31672161,34.663344322,8.89144010630789,1.02413793,0.97643097741727,0.97643097741727,-2.92929293225181,42.5,"Southern California",26,1708,11334.00745573,6.63583574691452,113.77439766,435.923363681923,21.71039205,4.86625022583771,0.53261691,36,NA
51,"Aaron Karas",10,59,-188.6417324,-18.86417324,-3.19731749830509,0,0,0,0,NA,0,0,"QB",115.326378024,239,137.6574804,0.365471250574425,1510.15354424,151.015354424,10.9703703703704,10.1968504,10.7876447809806,40.208494183655,-246.154440002376,18,"Baylor",12,822,3443.47638008,4.18914401469586,24.47244096,286.956365006667,3.05905512,8.82625482080231,0.51968504,52,NA
257,"Aaron Murray",41,233,24.84365015,0.605942686585365,0.106625107939914,9.43677249,0,0,0,NA,0,0,"QB",166.812433911333,1131,733.24100541,0.393318784042484,10616.6709034,258.943192765854,14.4791014483206,100.18015875,30.2650820823655,77.7024080383886,-510.781709888699,54.3333333333333,"Georgia",41,2754,18185.3121746,6.60323608373275,186.14920644,443.544199380488,29.50634922,12.3493208309108,0.553262786666667,58,NA
71,"Aaron Pankratz",6,10,-33.93939395,-5.65656565833333,-3.393939395,0,0,0,0,NA,0,0,"QB",88.09008844,90,39.0088384,0.302373379094002,556.96464668,92.8274411133333,14.2779090463765,3.87878788,5.15624999838867,5.15624999838867,-39.1874999877539,39,"Bowling Green",25,1776,8733.64773416,4.91759444490991,82.60606067,349.3459093664,8.0669192,16.2303082094702,0.49179293,63,NA
726,"Aaron Polanco",19,277,974.96189594,51.3137839968421,3.51971803588448,14.31936742,0,0,0,NA,0,0,"QB",95.463807863,134,58.26112463,0.303031227670813,1036.12790213,54.5330474805263,17.7842070284458,6.72164952,5.90219958071251,22.5160555466273,-125.818464103806,51,"Navy",25,1729,8744.03458282,5.05727853257374,84.2050405,349.7613833128,15.41060894,8.08768513315792,0.358137285,66,NA
107,"Aaron Rodgers",25,160,350.173698,14.00694792,2.1885856125,8.337469,0,0,0,NA,0,0,"QB",157.002295647,665,442.382135,0.399484623255187,5704.81514922,228.1926059688,12.8956725370928,44.89205966,12.4455840149717,43.1054130035081,-199.238745967048,51.5,"California",26,1834,12489.03476784,6.80972451899673,123.12406976,480.347491070769,18.79156332,7.68547007104059,0.54342432,68,35
29,"Adam Austin",8,15,-85.73786385,-10.71723298125,-5.71585759,1.1031746,0,0,0,NA,0,0,"QB",106.329360993,116,60.61265201,0.34319541278712,604.98204484,75.622755605,9.98111821175864,2.2063492,5.43884893651467,7.28638257194993,-57.1079138334041,56,"Arizona",23,1485,7529.90551568,5.07064344490236,59.99314211,327.387196333913,9.86662041,12.8289834782557,0.592849435,81,NA
328,"Adam Barmann",21,104,88.45054387,4.21193066047619,0.85048599875,3.14331779,0,0,0,NA,0,0,"QB",106.1332729005,527,302.33407083,0.364550404311043,3075.69276694,146.461560330476,10.1731596392569,19.65617712,20.7829932017653,24.5654462877732,-161.422822768374,50.5,"Kansas",48,3326,17602.53217097,5.29240293775406,159.45990642,366.719420228542,23.46418022,24.6482946266036,0.5219405575,82,NA
