"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,725,"Army","A.J. Schurr",4,12,46.80252104,11.70063026,3.90021008666667,0,0,0,0,NA,0,0,"QB",141.204201776,18,7.96638656,0.306796116648431,129.4537816,32.3634454,16.25,1.99159664,0,1.00421940860475,-1.00421940860475,"39","Army",12,921,5213.0042052,5.66015657459283,35.84873952,434.4170171,1.99159664,10.0421940860475,0,0.49579832,24,NA
2003,255,"GT","A.J. Suggs",2,3,5.12068965,2.560344825,1.70689655,0,0,0,0,NA,0,0,"QB",139.589999859,24,15.36206895,0.39027595245346,184.3448274,92.1724137,12,2.04827586,1.95286195483454,0.97643097741727,-7.81144781933816,"94","Georgia Tech",13,888,4401.74482314,4.95691984587838,32.77241376,338.595755626154,7.16896551,5.85858586450362,0,0.52413793,25,NA
2008,657,"USC","Aaron Corp",2,0,0,0,NA,0,0,0,0,NA,0,0,"QB",82.663013666,4,2.08219178,0.34234234225347,14.57534246,7.28767123,7,0,0,0,0,"11","Southern California",13,891,6153.91780579,6.90675399078563,68.71232874,473.378292753077,12.49315068,0.960526316168629,0,0.54109589,36,NA
2009,657,"USC","Aaron Corp",3,4,7.16896551,2.38965517,1.7922413775,0,0,0,0,NA,0,0,"QB",123.408620565,26,17.41034481,0.401064421077562,158.74137915,52.91379305,9.11764705882353,1.02413793,0.97643097741727,0.97643097741727,-2.92929293225181,"55","Southern California",13,817,5180.08964994,6.34037900849449,45.06206892,398.468434610769,9.21724137,3.90572390966908,0,0.52413793,36,NA
2003,51,"Bayl","Aaron Karas",10,59,-188.6417324,-18.86417324,-3.19731749830509,0,0,0,0,NA,0,0,"QB",115.326378024,239,137.6574804,0.365471250574425,1510.15354424,151.015354424,10.9703703703704,10.1968504,10.7876447809806,40.208494183655,-246.154440002376,"114","Baylor",12,822,3443.47638008,4.18914401469586,24.47244096,286.956365006667,3.05905512,8.82625482080231,0,0.51968504,52,NA
2010,257,"Ga","Aaron Murray",13,87,-24.97777776,-1.92136752,-0.287100893793103,4.16296296,0,0,0,NA,0,0,"QB",160.79444433,342,217.51481466,0.38875613113511,3173.21851626,244.09373202,14.5885167464115,24.97777776,7.68683274568458,23.0604982370537,-185.44483998964,"56","Georgia",13,814,5208.9074037,6.39914914459459,53.07777774,400.6851849,6.24444444,6.72597865247401,0,0.54074074,58,NA
2011,257,"Ga","Aaron Murray",14,87,120.24999963,8.58928568785714,1.3821839037931,2.16666666,0,0,0,NA,0,0,"QB",158.599999512,403,257.83333254,0.390163933694119,3411.41665617,243.672618297857,13.2310924369748,37.91666655,12.9230769628402,29.5384616293491,-168.92307744284,"39","Georgia",14,1016,6195.58331427,6.09801507310039,58.49999982,442.541665305,10.8333333,3.69230770366864,0,0.58333333,58,NA
2012,257,"Ga","Aaron Murray",14,59,-70.42857172,-5.03061226571429,-1.19370460542373,3.10714287,0,0,0,NA,0,0,"QB",181.042857892,386,257.89285821,0.400521383211072,4032.03573097,288.002552212143,15.6345381526104,37.28571444,9.65517237384067,25.1034481719857,-156.413792456219,"22","Georgia",14,924,6780.82145663,7.33855135998918,74.57142888,484.344389759286,12.42857148,1.93103447476813,0,0.53571429,58,NA
2009,71,"BGSU","Aaron Pankratz",1,0,0,0,NA,0,0,0,0,NA,0,0,"QB",73.101388969,13,5.06944445,0.280553420667009,52.72222228,52.72222228,10.4,0,0,0,0,"43","Bowling Green",13,956,5307.70833915,5.551996170659,48.66666672,408.285256857692,7.09722223,5.91780821269281,0,0.51388889,63,NA
2010,71,"BGSU","Aaron Pankratz",5,10,-33.93939395,-6.78787879,-3.393939395,0,0,0,0,NA,0,0,"QB",103.078787911,77,33.93939395,0.305927342322569,504.2424244,100.84848488,14.8571428571429,3.87878788,5.15624999838867,5.15624999838867,-39.1874999877539,"115","Bowling Green",12,820,3425.93939501,4.17797487196341,33.93939395,285.494949584167,0.96969697,10.3124999967773,0,0.46969697,63,NA
2003,726,"Navy","Aaron Polanco",7,31,151.55982974,21.6514042485714,4.88902676580645,0.87606838,0,0,0,NA,0,0,"QB",62.376068656,20,7.00854704,0.259493671748438,85.85470124,12.26495732,12.25,0,1.14146340951148,2.28292681902296,-7.99024386658037,"27","Navy",13,918,4823.63250028,5.25450163429194,45.55555576,371.048653867692,7.00854704,5.70731704755741,0,0.37606838,66,NA
2004,726,"Navy","Aaron Polanco",12,246,823.4020662,68.61683885,3.34716287073171,13.44329904,0,0,0,NA,0,0,"QB",128.55154707,114,51.25257759,0.310146917751324,950.27320089,79.1894334075,18.5409836065574,6.72164952,4.76073617120102,20.2331287276044,-117.828220237225,"45","Navy",12,811,3920.40208254,4.83403462705302,38.64948474,326.700173545,8.4020619,2.38036808560051,0,0.34020619,66,NA
2003,107,"Cal","Aaron Rodgers",13,86,218.0769234,16.7751479538462,2.53577817906977,5.1923077,0,0,0,NA,0,0,"QB",152.238461764,349,223.2692311,0.390147187663468,3014.65385062,231.896450047692,13.5023255813954,19.73076926,4.81481480768176,19.259259230727,-88.5925924613443,"23","California",14,994,6294.11539394,6.33210804219316,61.26923086,449.579670995714,8.30769232,5.77777776921811,0,0.53846154,68,35
2004,107,"Cal","Aaron Rodgers",12,74,132.0967746,11.00806455,1.78509154864865,3.1451613,0,0,0,NA,0,0,"QB",161.76612953,316,219.1129039,0.409470416996236,2690.1612986,224.180108216667,12.2775119617225,25.1612904,7.63076920728994,23.8461537727811,-110.646153505704,"5","California",12,840,6194.9193739,7.37490401654762,61.8548389,516.243281158333,10.483871,1.90769230182249,0,0.5483871,68,35
2005,29,"Ariz","Adam Austin",1,2,-16.23786405,-16.23786405,-8.118932025,0,0,0,0,NA,0,0,"QB",123.191261926,5,3.24757281,0.393761035496697,34.64077664,34.64077664,10.6666666666667,0,0,1.84753363543526,0,"74","Arizona",11,750,4182.87377928,5.57716503904,35.72330091,380.261252661818,3.24757281,7.39013454174104,0,0.58252427,81,NA
2006,29,"Ariz","Adam Austin",7,13,-69.4999998,-9.9285714,-5.34615383076923,1.1031746,0,0,0,NA,0,0,"QB",89.46746006,111,57.3650792,0.340718392867302,570.3412682,81.4773240285714,9.94230769230769,2.2063492,5.43884893651467,5.43884893651467,-57.1079138334041,"115","Arizona",12,735,3347.0317364,4.55378467537415,24.2698412,278.919311366667,6.6190476,5.43884893651467,0,0.6031746,81,NA
2003,328,"Kan","Adam Barmann",3,28,50.99242413,16.99747471,1.82115800464286,0.96212121,0,0,0,NA,0,0,"QB",121.804545186,85,54.84090897,0.392166422357602,542.63636244,180.87878748,9.89473684210526,3.84848484,5.19685040515841,6.23622048619009,-42.614173322299,"29","Kansas",13,906,5271.46210959,5.81839084943709,48.1060605,405.497085353077,5.77272726,7.27559056722177,0,0.46212121,82,NA
2004,328,"Kan","Adam Barmann",8,50,74.60256402,9.3253205025,1.4920512804,1.08119658,0,0,0,NA,0,0,"QB",116.552991324,262,152.44871778,0.367834936482838,1542.86751966,192.8584399575,10.1205673758865,12.97435896,8.32411068114921,9.24901186794357,-59.1936759548389,"100","Kansas",11,798,3739.85897022,4.68654006293233,34.59829056,339.987179110909,4.32478632,6.4743083075605,0,0.58119658,82,NA
2005,328,"Kan","Adam Barmann",4,12,-2.2,-0.55,-0.183333333333333,1.1,0,0,0,NA,0,0,"QB",87.67,30,17.6,0.369747899159664,129.8,32.45,7.375,0,0.909090909090909,2.72727272727273,-10.9090909090909,"88","Kansas",12,821,4351.6,5.30036540803898,35.2,362.633333333333,7.7,4.54545454545454,0,0.6,82,NA
2006,328,"Kan","Adam Barmann",6,14,-34.94444428,-5.82407404666667,-2.49603173428571,0,0,0,0,NA,0,0,"QB",98.505555092,150,77.44444408,0.340498289124003,860.38888484,143.398147473333,11.109756097561,2.83333332,6.35294120636678,6.35294120636678,-48.7058825821453,"33","Kansas",12,801,4239.61109116,5.29289774177278,41.55555536,353.300924263333,5.66666664,6.35294120636678,0,0.44444444,82,NA
2006,690,"Temp","Adam DiMichele",11,73,-185.35294096,-16.85026736,-2.5390813830137,0,0,0,0,NA,0,0,"QB",124.307352796,220,135.9926469,0.382009707459494,1529.16176292,139.01470572,11.2444444444444,10.0735294,11.9124087730364,33.7518248569364,-252.145985695937,"119","Temple",12,653,2607.02940872,3.99238806848392,18.13235292,217.252450726667,1.00735294,10.91970804195,0,0.50735294,88,NA
2007,690,"Temp","Adam DiMichele",8,75,101.5384612,12.69230765,1.35384614933333,1.84615384,0,0,0,NA,0,0,"QB",120.738461136,223,127.38461496,0.363556530513026,1472.3076874,184.038460925,11.5579710144928,11.07692304,10.8333333694444,23.8333334127778,-171.166667237222,"112","Temple",12,788,3332.3076812,4.22881685431472,21.23076916,277.692306766667,3.69230768,8.66666669555556,0,0.42307692,88,NA
2008,690,"Temp","Adam DiMichele",9,61,85.70930277,9.52325586333333,1.40507053721311,2.82558141,0,0,0,NA,0,0,"QB",139.39534956,231,126.20930298,0.353320313684737,1799.89535817,199.98837313,14.2611940298507,16.95348846,6.37037033733882,18.04938262246,-145.456789369236,"107","Temple",12,752,3369.03490119,4.48009960264628,34.84883739,280.7529084325,4.70930235,7.43209872689529,0,0.44186047,88,NA
2003,626,"SDg St","Adam Hall",7,31,-55.74311904,-7.96330272,-1.79816513032258,0.99541284,0,0,0,NA,0,0,"QB",103.622476644,206,104.5183482,0.336593147573622,1313.9449488,187.706421257143,12.5714285714286,4.9770642,9.04147469104377,12.0552995880584,-70.3225809303404,"88","San Diego St.",12,855,4060.28897436,4.74887599340351,24.885321,338.35741453,5.97247704,6.02764979402918,0,0.49541284,98,NA
2004,732,"Utah","Adam Madsen",1,1,3.83050848,3.83050848,3.83050848,0,0,0,0,NA,0,0,"QB",0,0,0,NA,0,0,NA,0,0,0,0,"3","Utah",12,869,5742.88983864,6.60861891673188,71.822034,478.57415322,11.49152544,0,0,0.45762712,106,NA
2003,519,"Ohio","Adam Porter",9,11,61.36842096,6.81871344,5.57894736,0,0,0,0,NA,0,0,"QB",158.349122568,3,1.85964912,0.382671479787825,34.40350872,3.82261208,18.5,0,0,0,0,"89","Ohio",12,847,3767.64911712,4.44822800132231,32.5438596,313.97075976,1.85964912,10.7547169973656,0,0.42982456,109,NA
2003,528,"OR St","Adam Rothenfluh",4,3,3.22058823,0.8051470575,1.07352941,0,0,0,0,NA,0,0,"QB",161.0294115,20,12.88235292,0.391771019286293,187.86764675,46.9669116875,14.5833333333333,1.07352941,0,0.931506850846313,-7.4520548067705,"10","Oregon St.",13,1060,6461.57351879,6.09582407433019,56.89705873,497.04411683,8.58823528,4.65753425423156,0,0.57352941,111,NA
2012,732,"Utah","Adam Schulz",1,0,0,0,NA,0,0,0,0,NA,0,0,"QB",314.452893904,2,1.97520662,0.496881497948401,51.35537212,51.35537212,26,0,0,0,0,"105","Utah",12,797,3844.73968583,4.82401466227102,41.47933902,320.394973819167,4.93801655,7.08786607853714,0,0.48760331,112,NA
2011,312,"Iowa","AJ Derby",2,0,0,0,NA,0,0,0,0,NA,0,0,"QB",93.39393984,6,3.04545456,0.336683418152067,30.4545456,15.2272728,10,0,0,0,0,"76","Iowa",13,866,4915.36365984,5.67593956101616,45.6818184,378.104896910769,7.10606064,5.91044773296503,0,0.51515152,154,NA
2004,754,"WA St","Alex Brink",7,49,-50,-7.14285714285714,-1.02040816326531,1,0,0,0,NA,0,0,"QB",113.3,194,97,0.333333333333333,1305,186.428571428571,13.4536082474227,7,5,21,-143,"64","Washington St.",11,799,4055,5.07509386733417,37,368.636363636364,5,6,0,0.5,187,NA
2005,754,"WA St","Alex Brink",11,56,114.74757262,10.4315975109091,2.04906379678571,2.16504854,0,0,0,NA,0,0,"QB",151.5533978,358,221.91747535,0.38267078469409,3129.57766457,284.507060415455,14.1024390243902,25.98058248,12.0089686303292,16.6278027189173,-96.9955158603511,"8","Washington St.",11,821,5826.14562114,7.09640148738124,50.87864069,529.649601921818,4.33009708,6.46636772402341,0,0.58252427,187,NA
2006,754,"WA St","Alex Brink",12,78,8.21052632,0.684210526666667,0.105263157948718,2.05263158,0,0,0,NA,0,0,"QB",136.602631649,396,247.34210539,0.384464351575526,2975.28947521,247.940789600833,12.0290456431535,19.50000001,9.74358973859303,27.2820512680605,-174.410256320815,"25","Washington St.",12,822,4779.55263403,5.81454091731143,39.00000002,398.296052835833,6.15789474,5.84615384315582,0,0.52631579,187,NA
2007,754,"WA St","Alex Brink",12,63,33.8740742,2.82283951666667,0.537683717460318,0,0,0,0,NA,0,0,"QB",134.99814865,503,303.8703715,0.376603705171494,3803.8592734,316.988272783333,12.5180327868852,25.9037038,15.055762025815,21.078066836141,-176.654274436229,"28","Washington St.",12,898,5203.6555749,5.79471667583519,37.8592594,433.637964575,4.9814815,7.02602227871367,0,0.4962963,187,NA
2009,774,"WMU","Alex Carder",7,8,13.19658112,1.88522587428571,1.64957264,0,0,0,0,NA,0,0,"QB",85.612820016,7,4.1239316,0.370726083932411,22.26923064,3.18131866285714,5.4,0,0,0,0,"56","Western Mich.",12,872,3838.55553328,4.40201322623853,31.34188016,319.879627773333,4.1239316,8.48704668137561,0,0.32478632,188,NA
2010,774,"WMU","Alex Carder",12,109,31.7372881,2.64477400833333,0.291167780733945,5.44067796,0,0,0,NA,0,0,"QB",127.493220196,458,262.05932174,0.363941294596037,3023.20338644,251.933615536667,11.5363321799308,27.2033898,13.2336448746546,33.0841121866364,-207.327103036255,"34","Western Mich.",12,860,4479.4915204,5.20871107023256,46.24576266,373.290960033333,5.44067796,6.61682243732728,0,0.40677966,188,NA
2011,774,"WMU","Alex Carder",12,128,259.453125,21.62109375,2.0269775390625,3.84375,0,0,0,NA,0,0,"QB",139.62421875,502,317.109375,0.387139232779505,3721.7109375,310.142578125,11.7363636363636,29.7890625,14.5691056910569,23.9349593495935,-180.032520325203,"19","Western Mich.",13,945,5727.1875,6.06051587301587,55.734375,440.552884615385,6.7265625,6.24390243902439,0,0.4609375,188,NA
2012,774,"WMU","Alex Carder",6,40,82.54545464,13.7575757733333,2.063636366,0,0,0,0,NA,0,0,"QB",116.032644761,248,136.01239685,0.354187515730457,1549.60330756,258.267217926667,11.3931034482759,12.19421489,10.6607929393312,10.6607929393312,-62.8986783420544,"38","Western Mich.",12,915,4944.28512963,5.40359030560656,43.14876038,412.0237608025,3.75206612,8.528634351465,0,0.43801653,188,NA
