"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,400,"Mass","A.J. Doyle",8,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"QB",NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na","Massachusetts",12,854,NA,NA,NA,NA,NA,NA,0,NA,8,NA
2010,388,"Mrsh","A.J. Graham",2,6,5.84444442,2.92222221,0.97407407,0.97407407,0,0,0,NA,0,0,"QB",145.916295686,12,9.7407407,0.448040884825971,92.53703665,46.268518325,9.5,0,0,1.02661597387558,-3.07984792162674,"103","Marshall",12,766,3673.23331797,4.79534375714099,32.14444431,306.1027764975,4.87037035,7.18631181712906,0,0.47407407,11,NA
2011,388,"Mrsh","A.J. Graham",5,40,253.92857109,50.785714218,6.34821427725,3.21428571,0,0,0,NA,0,0,"QB",144.64285695,103,68.57142848,0.399666943893245,764.99999898,152.999999796,11.15625,7.49999999,3.73333333831111,4.66666667288889,-19.6000000261333,"102","Marshall",13,853,4643.57142238,5.44381174956624,37.49999995,357.197801721538,7.49999999,5.60000000746667,0,0.57142857,11,NA
2003,716,"Troy","Aaron Leak",12,126,216.43243232,18.0360360266667,1.7177177168254,3.12162162,0,0,0,NA,0,0,"QB",91.983783736,259,114.4594594,0.306484295735581,1484.85135058,123.737612548333,12.9727272727273,7.28378378,11.5324675384584,24.0259740384551,-187.402597499949,"111","Troy",12,825,3669.98648458,4.44846846615757,24.97297296,305.832207048333,6.24324324,5.76623376922921,0,0.54054054,54,NA
2004,716,"Troy","Aaron Leak",8,38,16.18695647,2.02336955875,0.42597253868421,0.95217391,0,0,0,NA,0,0,"QB",99.502173595,118,51.41739114,0.303495354249143,719.84347596,89.980434495,14,5.71304346,7.35159819701424,12.6027397663101,-75.6164385978608,"113","Troy",12,742,3246.9130331,4.37589357560647,34.27826076,270.576086091667,6.66521737,5.25114156929589,0,0.45217391,54,NA
2010,498,"ULM","Aaron Munoz",3,2,-7.93548384,-2.64516128,-3.96774192,0,0,0,0,NA,0,0,"QB",188.566934748,3,0.99193548,0.248484847756107,55.54838688,18.51612896,56,0,0,0,0,"85","La.-Monroe",12,874,4130.41933872,4.72588025025172,31.74193536,344.20161156,4.9596774,7.05691059664485,0,0.49193548,57,NA
2006,709,"Tole","Aaron Opelt",9,80,241.425,26.825,3.0178125,3.7,0,0,0,NA,0,0,"QB",91.205,188,94.35,0.334159730830529,809.375,89.9305555555556,8.57843137254902,5.55,5.40540540540541,11.8918918918919,-50.8108108108108,"72","Toledo",12,856,3628.775,4.23922313084112,34.225,302.397916666667,4.625,7.56756756756757,0,0.425,62,NA
2007,709,"Tole","Aaron Opelt",9,46,151.41176544,16.8235294933333,3.29156011826087,3.88235296,0,0,0,NA,0,0,"QB",123.652941776,249,139.76470656,0.359509760535398,1704.35294944,189.372549937778,12.1944444444444,11.64705888,7.21212117715335,5.15151512653811,-52.5454542906887,"20","Toledo",12,916,5222.73531944,5.70167611292576,50.47058848,435.227943286667,4.8529412,7.21212117715335,0,0.47058824,62,NA
2008,709,"Tole","Aaron Opelt",12,42,-41.51879688,-3.45989974,-0.988542782857143,4.7180451,0,0,0,NA,0,0,"QB",108.798120006,376,212.3120295,0.360883372859878,2053.29322752,171.10776896,9.67111111111111,11.32330824,7.41832671332455,15.8964143856955,-130.350597962703,"85","Toledo",12,756,3782.92856118,5.0038737581746,30.19548864,315.244046765,2.83082706,9.53784863141728,0,0.44360902,62,NA
2009,709,"Tole","Aaron Opelt",9,30,149.81954812,16.6466164577778,4.99398493733333,2.74060149,0,0,0,NA,0,0,"QB",124.057894114,261,140.68420982,0.350235847914068,1824.32705851,202.703006501111,12.9675324675325,14.61654128,10.9465021125709,5.47325105628546,-32.8395063377127,"13","Toledo",12,854,4804.27441197,5.62561406553864,42.02255618,400.3562009975,4.56766915,7.66255147879964,0,0.41353383,62,NA
2004,768,"W Va","Adam Bednarik",2,2,5.91891894,2.95945947,2.95945947,0,0,0,0,NA,0,0,"QB",0,0,0,NA,0,0,NA,0,0,0,0,"26","West Virginia",12,849,4959.06758523,5.84106900498233,46.36486503,413.2556321025,7.89189192,4.05479450610621,0,0.48648649,83,NA
2005,768,"W Va","Adam Bednarik",8,56,179.1071431,22.3883928875,3.19834184107143,1.05357143,0,0,0,NA,0,0,"QB",152.978571636,75,57.94642865,0.435862995632264,560.50000076,70.062500095,9.67272727272727,4.21428572,1.89830508217179,12.3389830341166,-58.8474575473255,"50","West Virginia",12,818,4917.01786381,6.01102428338631,52.6785715,409.751488650833,11.58928573,0.949152541085895,0,0.55357143,83,NA
2007,768,"W Va","Adam Bednarik",2,3,13.73239439,6.866197195,4.57746479666667,0,0,0,0,NA,0,0,"QB",123.380281904,1,1.05633803,0.513698630569994,2.11267606,1.05633803,2,0,0,0,0,"15","West Virginia",13,893,6265.14085593,7.0158352250056,71.83098604,481.933911994615,11.61971833,1.89333333005156,0,0.55633803,83,NA
2011,626,"SDg St","Adam Dingwell",1,0,0,0,NA,0,0,0,0,NA,0,0,"QB",0,1,0,0,0,0,NA,0,0,0,0,"32","San Diego St.",13,935,5425.78125,5.80297459893048,51.7578125,417.367788461538,7.8125,5.12,0,0.4765625,89,NA
2012,626,"SDg St","Adam Dingwell",10,43,102.79069736,10.279069736,2.39048133395349,0.98837209,0,0,0,NA,0,0,"QB",119.59302289,144,82.03488347,0.362930191175062,928.08139251,92.808139251,11.3132530120482,7.90697672,7.08235296284014,12.141176507726,-72.8470590463557,"61","San Diego St.",13,887,5096.04649604,5.74526098764374,56.33720913,392.003576618462,8.89534881,4.04705883590865,0,0.48837209,89,NA
2004,428,"Minn","Adam Ernst",1,0,0,0,NA,0,0,0,0,NA,0,0,"QB",525.17391282,1,1.02173913,0.505376343979651,10.2173913,10.2173913,10,1.02173913,0,0,0,"15","Minnesota",12,841,5374.3478238,6.39042547419738,48.02173911,447.86231865,7.15217391,4.89361702335899,0,0.52173913,90,NA
2009,306,"Ind","Adam Follett",2,0,0,0,NA,0,0,0,0,NA,0,0,"QB",69.99786295,3,1.0042735,0.250800426094771,13.0555555,6.52777775,13,0,0,0,0,"72","Indiana",12,809,4398.71793,5.4372285908529,34.145299,366.5598275,4.017094,7.9659574807062,0,0.5042735,93,NA
2011,731,"UT St","Adam Kennedy",8,55,227.31954898,28.4149436225,4.13308270872727,0,0,0,0,NA,0,0,"QB",160.74060158,110,72.28571432,0.396551724251432,924.49624104,115.56203013,12.7894736842105,10.46240602,4.20553359484323,7.35968379097564,-22.0790513729269,"20","Utah St.",13,913,5654.4548899,6.19326932081051,57.0676692,434.958068453846,6.65789474,6.30830039226484,0,0.45112782,105,NA
2012,731,"UT St","Adam Kennedy",1,1,4.7983871,4.7983871,4.7983871,0,0,0,0,NA,0,0,"QB",95.967742,1,0.95967742,0.489711934324375,0,0,0,0,0,0,0,"21","Utah St.",13,893,5852.11290716,6.55331792515118,56.62096778,450.16253132,10.55645162,2.08403361204435,0,0.45967742,105,NA
2004,630,"SJSU","Adam Tafralis",9,34,53.21359234,5.91262137111111,1.56510565705882,1.83495146,0,0,0,NA,0,0,"QB",98.628640975,65,26.60679617,0.290445657772205,396.34951536,44.03883504,14.8965517241379,1.83495146,1.08994708775566,5.44973543877831,-51.2275131245161,"87","San Jose St.",11,704,3408.42233695,4.84150900134943,37.61650493,309.856576086364,1.83495146,9.80952378980096,0,0.41747573,117,NA
2005,630,"SJSU","Adam Tafralis",11,47,87.735849,7.97598627272727,1.86672019148936,2.63207547,0,0,0,NA,0,0,"QB",95.193396165,286,124.58490558,0.303432746520501,1588.0188669,144.365351536364,12.7464788732394,9.65094339,11.397849469719,11.397849469719,-76.3655914471176,"81","San Jose St.",11,749,3333.962262,4.45121797329773,27.19811319,303.087478363636,2.63207547,9.11827957577523,0,0.37735849,117,NA
2006,630,"SJSU","Adam Tafralis",13,90,203.32307744,15.6402367261538,2.25914530488889,1.81538462,0,0,0,NA,0,0,"QB",140.783077281,276,164.29230811,0.373143716308017,2073.16923604,159.474556618462,12.6187845303867,19.06153851,7.71186438717323,20.932203336613,-118.983050544958,"47","San Jose St.",13,783,4215.32308764,5.38355439034483,39.03076933,324.255622126154,8.16923079,4.40677964981327,0,0.40769231,117,NA
2007,630,"SJSU","Adam Tafralis",12,76,169.39743664,14.1164530533333,2.22891364,1.87179488,0,0,0,NA,0,0,"QB",126.907692864,400,234.91025744,0.369989702776537,2828.28206368,235.690171973333,12.0398406374502,16.84615392,11.7534246060124,19.2328766280203,-111.123287184117,"88","San Jose St.",12,835,3909.24360688,4.68172887051497,29.01282064,325.770300573333,4.6794872,7.47945202200788,0,0.43589744,117,NA
