"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,367,"Lou","Adam Froman",7,61,83.94915282,11.1,1.3,0,0,0,0,0,0,0,"QB",136.471186892,185,119.46610209,"60",1457.27119126,193.4,"7.3",6.45762714,4.64566927597495,18.5826771038998,-96.629920940279,"91","Louisville",12,789,4314.77120071,5.08,27.98305094,334.08,4.30508476,7.43307084155992,0,0.57627119,94,NA
2010,367,"Lou","Adam Froman",8,36,2.82558141,0.4,0.1,1.88372094,0,0,0,0,0,0,"QB",128.563954155,218,124.32558204,"60.6",1538.05814751,204.1,"7.5",10.36046517,4.24691355822588,10.6172838955647,-74.3209872689529,"71","Louisville",13,835,4518.10467459,5.74,40.50000021,369,6.59302329,6.37037033733882,0,0.44186047,94,NA
2003,193,"Duke","Adam Smith",7,21,-18.8571429,-2.6,-0.9,2.0952381,0,0,0,0,0,0,"QB",107.69523834,94,51.33333345,"52.1",511.2380964,69.7,"5.2",2.0952381,0,7.63636361900826,-59.1818180473141,"85","Duke",12,906,4312.0000098,4.54,26.19047625,343,4.1904762,7.63636361900826,0,0.54761905,115,NA
2007,428,"Minn","Adam Weber",12,146,664.65447009,51.4,4.2,5.38617885,0,0,0,0,0,0,"QB",130.130081016,449,277.92682866,"57.5",3118.59755415,241.3,"6.4",25.85365848,17.6377358876599,12.9962264435389,-82.6188681053545,"48","Minnesota",12,887,5267.6829153,5.51,45.24390234,407.5,1.07723577,10.2113207770663,0,0.57723577,118,NA
2008,428,"Minn","Adam Weber",13,127,227.62307764,17.9,1.8,3.90769232,0,0,0,0,0,0,"QB",123.971538852,410,249.1153854,"62.2",2697.28462388,212.4,"6.7",14.6538462,8.1889763521607,31.7322833646227,-208.818896980098,"91","Minnesota",13,851,4101.12308984,4.93,37.12307704,322.92,6.83846156,6.14173226412053,0,0.47692308,118,NA
2009,428,"Minn","Adam Weber",13,73,-142.64503764,-10.2,-1.8,1.07251908,0,0,0,0,0,0,"QB",123.017938476,367,204.85114428,"52",2769.24426456,198.6,"7",13.94274804,13.9857651763174,34.4982207682496,-221.907474130903,"109","Minnesota",13,815,4272.91601472,4.89,35.39312964,306.46,6.43511448,6.5266904156148,0,0.57251908,118,NA
2010,428,"Minn","Adam Weber",12,52,26.6341464,2,0.5,0,0,0,0,0,0,0,"QB",144.15731739,368,227.5000005,"55.7",2973.0365919,223.3,"7.3",22.195122,8.10989009206618,15.3186812850139,-111.73626349069,"77","Minnesota",12,825,4811.9024496,5.26,38.8414635,361.33,3.3292683,8.10989009206618,0,0.6097561,118,NA
2010,8,"Ala","AJ McCarron",9,6,-22.1538462,-2.2,-3.3,0,0,0,0,0,0,0,"QB",167.483077272,48,33.2307693,"62.5",430.89230859,43.2,"8.1",3.32307693,0,1.80555555179398,-16.2499999661458,"22","Alabama",13,829,6394.70770563,6.96,64.24615398,444.08,11.0769231,2.70833332769097,0,0.60769231,155,NA
2011,8,"Ala","AJ McCarron",13,30,-24.30232552,-1.7,-0.7,2.20930232,0,0,0,0,0,0,"QB",162.715115868,328,241.91860404,"66.8",2909.65115544,202.6,"8",17.67441856,4.52631580090859,11.7684210823623,-65.1789475330837,"31","Alabama",13,865,6169.4767286,6.46,60.7558138,429.62,13.25581392,0.905263160181717,0,0.60465116,155,NA
2012,8,"Ala","AJ McCarron",14,49,4.34285716,0.3,0.1,1.08571429,0,0,0,0,0,0,"QB",190.325715037,314,229.08571519,"67.2",3184.40001257,209.5,"9.3",32.5714287,2.76315788382964,20.2631578147507,-149.210525726801,"31","Alabama",14,898,6771.60002673,6.95,77.08571459,445.5,14.11428577,0.921052627943213,0,0.58571429,155,NA
2004,521,"OK St","Al Pena",5,2,-18.328125,-3.4,-8.5,0,0,0,0,0,0,0,"QB",178.321875,11,7.546875,"63.6",101.34375,18.8,"8.5",1.078125,0,1.85507246376812,-15.768115942029,"52","Oklahoma St.",12,795,4922.71875,5.74,54.984375,380.5,7.546875,4.63768115942029,0,0.578125,168,NA
2005,521,"OK St","Al Pena",7,35,-9.39320388,-1.3,-0.3,2.08737864,0,0,0,0,0,0,"QB",106.143203844,179,92.88834948,"49.7",1150.14563064,157.4,"6.2",8.34951456,12.4558139581231,9.58139535240238,-90.0651163125824,"92","Oklahoma St.",11,754,3729.10194036,4.74,28.17961164,324.82,4.17475728,6.70697674668167,0,0.54368932,168,NA
2009,204,"EMU","Alex Gillett",9,95,443.98424972,53.8,5.1,1.83464566,0,0,0,0,0,0,"QB",85.677952322,137,62.37795244,"49.6",699.91731929,84.8,"5.6",2.75196849,7.63090132619941,11.9914163697419,-68.6781119357947,"116","Eastern Mich.",12,748,3063.8582522,4.47,22.01574792,278.33,0,13.0815451306276,0,0.41732283,195,NA
2010,204,"EMU","Alex Gillett",12,179,545.93077145,48.1,3.2,4.73076925,0,0,0,0,0,0,"QB",116.093077395,229,120.16153895,"55.5",1545.06923705,136.1,"7.1",12.30000005,13.739837342521,23.2520324258047,-157.479674156587,"91","Eastern Mich.",12,793,3785.56155385,5.05,29.33076935,333.42,1.8923077,10.5691056480931,0,0.44615385,195,NA
2011,204,"EMU","Alex Gillett",12,169,715.55555392,61.3,4.4,2.91666666,0,0,0,0,0,0,"QB",131.347221922,198,105.97222198,"55.1",1462.22221888,125.3,"7.6",13.61111108,7.20000001645714,19.5428571875265,-147.08571462191,"93","Eastern Mich.",12,777,4024.9999908,5.33,30.13888882,345,5.83333332,6.17142858553469,0,0.47222222,195,NA
2012,204,"EMU","Alex Gillett",11,63,425.19918815,37,6.5,4.1788618,0,0,0,0,0,0,"QB",101.75528483,96,47.01219525,"46.9",572.5040666,49.8,"5.7",5.22357725,6.70038908680828,3.82879376389045,-22.9727625833427,"101","Eastern Mich.",12,756,4209.15854805,5.33,34.47560985,335.75,2.0894309,9.57198440972611,0,0.54471545,195,NA
2010,86,"Buff","Alex Zordich",5,62,29.45,6.2,0.5,1.9,0,0,0,0,0,0,"QB",66.975,94,37.05,"41.5",406.6,85.6,"4.6",0.95,6.31578947368421,14.7368421052632,-125.263157894737,"111","Buffalo",12,850,3393.4,4.2,19.95,297.67,1.9,10.5263157894737,0,0.45,222,NA
2011,86,"Buff","Alex Zordich",4,3,2.75641026,0.8,1,0,0,0,0,0,0,0,"QB",64.683760768,12,4.5940171,"41.7",37.67094022,10.3,"3.4",0,0,1.08837209160584,-7.61860464124089,"80","Buffalo",12,858,4026.19658644,5.11,31.23931628,365.17,2.75641026,9.79534882445257,0,0.41880342,222,NA
2012,86,"Buff","Alex Zordich",8,100,515.49173562,62.6,5,1.02892562,0,0,0,0,0,0,"QB",112.358677704,208,109.06611572,"51",1290.27272748,156.8,"6",9.26033058,6.80321285031274,10.6907630504914,-40.8192771018764,"83","Buffalo",12,866,4640.4545462,5.21,32.92561984,375.83,4.11570248,7.77510040035741,0,0.52892562,222,NA
