"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,725,"Army","A.J. Schurr",4,12,46.80252104,11.8,3.9,0,0,0,0,0,0,0,"QB",141.204201776,18,7.96638656,"44.4",129.4537816,32.5,"7.2",1.99159664,0,1.00421940860475,-1.00421940860475,"39","Army",12,921,5213.0042052,5.68,35.84873952,436.25,1.99159664,10.0421940860475,0,0.49579832,24,NA
2003,255,"GT","A.J. Suggs",2,3,5.12068965,2.5,1.7,0,0,0,0,0,0,0,"QB",139.589999859,24,15.36206895,"62.5",184.3448274,90,"7.5",2.04827586,1.95286195483454,0.97643097741727,-7.81144781933816,"94","Georgia Tech",13,888,4401.74482314,4.84,32.77241376,330.62,7.16896551,5.85858586450362,0,0.52413793,25,NA
2008,657,"USC","Aaron Corp",2,0,0,0,0,0,0,0,0,0,0,0,"QB",82.663013666,4,2.08219178,"50",14.57534246,7,"3.5",0,0,0,0,"11","Southern California",13,891,6153.91780579,6.63,68.71232874,454.69,12.49315068,0.960526316168629,0,0.54109589,36,NA
2009,657,"USC","Aaron Corp",3,4,7.16896551,2.3,1.8,0,0,0,0,0,0,0,"QB",123.408620565,26,17.41034481,"65.4",158.74137915,51.7,"6",1.02413793,0.97643097741727,0.97643097741727,-2.92929293225181,"55","Southern California",13,817,5180.08964994,6.19,45.06206892,389.08,9.21724137,3.90572390966908,0,0.52413793,36,NA
2003,51,"Bayl","Aaron Karas",10,59,-188.6417324,-18.5,-3.1,0,0,0,0,0,0,0,"QB",115.326378024,239,137.6574804,"56.5",1510.15354424,148.1,"6.2",10.1968504,10.7876447809806,40.208494183655,-246.154440002376,"114","Baylor",12,822,3443.47638008,4.11,24.47244096,281.42,3.05905512,8.82625482080231,0,0.51968504,52,NA
2010,257,"Ga","Aaron Murray",13,87,-24.97777776,-1.8,-0.3,4.16296296,0,0,0,0,0,0,"QB",160.79444433,342,217.51481466,"61.1",3173.21851626,234.5,"8.9",24.97777776,7.68683274568458,23.0604982370537,-185.44483998964,"56","Georgia",13,814,5208.9074037,6.15,53.07777774,385,6.24444444,6.72597865247401,0,0.54074074,58,NA
2011,257,"Ga","Aaron Murray",14,87,120.24999963,7.9,1.3,2.16666666,0,0,0,0,0,0,"QB",158.599999512,403,257.83333254,"59.1",3411.41665617,224.9,"7.8",37.91666655,12.9230769628402,29.5384616293491,-168.92307744284,"39","Georgia",14,1016,6195.58331427,5.63,58.49999982,408.5,10.8333333,3.69230770366864,0,0.58333333,58,NA
2012,257,"Ga","Aaron Murray",14,59,-70.42857172,-4.9,-1.2,3.10714287,0,0,0,0,0,0,"QB",181.042857892,386,257.89285821,"64.5",4032.03573097,278.1,"10.1",37.28571444,9.65517237384067,25.1034481719857,-156.413792456219,"22","Georgia",14,924,6780.82145663,7.09,74.57142888,467.64,12.42857148,1.93103447476813,0,0.53571429,58,NA
2009,71,"BGSU","Aaron Pankratz",1,0,0,0,0,0,0,0,0,0,0,0,"QB",73.101388969,13,5.06944445,"38.5",52.72222228,52,"4",0,0,0,0,"43","Bowling Green",13,956,5307.70833915,5.48,48.66666672,402.69,7.09722223,5.91780821269281,0,0.51388889,63,NA
2010,71,"BGSU","Aaron Pankratz",5,10,-33.93939395,-7,-3.5,0,0,0,0,0,0,0,"QB",103.078787911,77,33.93939395,"45.5",504.2424244,104,"6.8",3.87878788,5.15624999838867,5.15624999838867,-39.1874999877539,"115","Bowling Green",12,820,3425.93939501,4.31,33.93939395,294.42,0.96969697,10.3124999967773,0,0.46969697,63,NA
2003,726,"Navy","Aaron Polanco",7,31,151.55982974,24.7,5.6,0.87606838,0,0,0,0,0,0,"QB",62.376068656,20,7.00854704,"40",85.85470124,14,"4.9",0,1.14146340951148,2.28292681902296,-7.99024386658037,"27","Navy",13,918,4823.63250028,6,45.55555576,423.54,7.00854704,5.70731704755741,0,0.37606838,66,NA
2004,726,"Navy","Aaron Polanco",12,246,823.4020662,81.7,4,13.44329904,0,0,0,0,0,0,"QB",128.55154707,114,51.25257759,"53.5",950.27320089,94.3,"9.9",6.72164952,4.76073617120102,20.2331287276044,-117.828220237225,"45","Navy",12,811,3920.40208254,5.75,38.64948474,388.83,8.4020619,2.38036808560051,0,0.34020619,66,NA
2003,107,"Cal","Aaron Rodgers",13,86,218.0769234,16.2,2.4,5.1923077,0,0,0,0,0,0,"QB",152.238461764,349,223.2692311,"61.6",3014.65385062,223.3,"8.3",19.73076926,4.81481480768176,19.259259230727,-88.5925924613443,"23","California",14,994,6294.11539394,6.1,61.26923086,432.93,8.30769232,5.77777776921811,0,0.53846154,68,35
2004,107,"Cal","Aaron Rodgers",12,74,132.0967746,10.5,1.7,3.1451613,0,0,0,0,0,0,"QB",161.76612953,316,219.1129039,"66.1",2690.1612986,213.8,"8.1",25.1612904,7.63076920728994,23.8461537727811,-110.646153505704,"5","California",12,840,6194.9193739,7.03,61.8548389,492.42,10.483871,1.90769230182249,0,0.5483871,68,35
2005,29,"Ariz","Adam Austin",1,2,-16.23786405,-15,-7.5,0,0,0,0,0,0,0,"QB",123.191261926,5,3.24757281,"60",34.64077664,32,"6.4",0,0,1.84753363543526,0,"74","Arizona",11,750,4182.87377928,5.15,35.72330091,351.27,3.24757281,7.39013454174104,0,0.58252427,81,NA
2006,29,"Ariz","Adam Austin",7,13,-69.4999998,-9,-4.8,1.1031746,0,0,0,0,0,0,"QB",89.46746006,111,57.3650792,"46.8",570.3412682,73.9,"4.7",2.2063492,5.43884893651467,5.43884893651467,-57.1079138334041,"115","Arizona",12,735,3347.0317364,4.13,24.2698412,252.83,6.6190476,5.43884893651467,0,0.6031746,81,NA
2003,328,"Kan","Adam Barmann",3,28,50.99242413,17.7,1.9,0.96212121,0,0,0,0,0,0,"QB",121.804545186,85,54.84090897,"67.1",542.63636244,188,"6.6",3.84848484,5.19685040515841,6.23622048619009,-42.614173322299,"29","Kansas",13,906,5271.46210959,6.05,48.1060605,421.46,5.77272726,7.27559056722177,0,0.46212121,82,NA
2004,328,"Kan","Adam Barmann",8,50,74.60256402,8.6,1.4,1.08119658,0,0,0,0,0,0,"QB",116.552991324,262,152.44871778,"53.8",1542.86751966,178.4,"5.4",12.97435896,8.32411068114921,9.24901186794357,-59.1936759548389,"100","Kansas",11,798,3739.85897022,4.33,34.59829056,314.45,4.32478632,6.4743083075605,0,0.58119658,82,NA
2005,328,"Kan","Adam Barmann",4,12,-2.2,-0.5,-0.2,1.1,0,0,0,0,0,0,"QB",87.67,30,17.6,"53.3",129.8,29.5,"3.9",0,0.909090909090909,2.72727272727273,-10.9090909090909,"88","Kansas",12,821,4351.6,4.82,35.2,329.67,7.7,4.54545454545454,0,0.6,82,NA
2006,328,"Kan","Adam Barmann",6,14,-34.94444428,-6.2,-2.6,0,0,0,0,0,0,0,"QB",98.505555092,150,77.44444408,"54.7",860.38888484,151.8,"6.1",2.83333332,6.35294120636678,6.35294120636678,-48.7058825821453,"33","Kansas",12,801,4239.61109116,5.6,41.55555536,374.08,5.66666664,6.35294120636678,0,0.44444444,82,NA
2006,690,"Temp","Adam DiMichele",11,73,-185.35294096,-16.7,-2.5,0,0,0,0,0,0,0,"QB",124.307352796,220,135.9926469,"61.4",1529.16176292,138,"6.9",10.0735294,11.9124087730364,33.7518248569364,-252.145985695937,"119","Temple",12,653,2607.02940872,3.96,18.13235292,215.67,1.00735294,10.91970804195,0,0.50735294,88,NA
2007,690,"Temp","Adam DiMichele",8,75,101.5384612,13.8,1.5,1.84615384,0,0,0,0,0,0,"QB",120.738461136,223,127.38461496,"61.9",1472.3076874,199.4,"7.2",11.07692304,10.8333333694444,23.8333334127778,-171.166667237222,"112","Temple",12,788,3332.3076812,4.58,21.23076916,300.83,3.69230768,8.66666669555556,0,0.42307692,88,NA
2008,690,"Temp","Adam DiMichele",9,61,85.70930277,10.1,1.5,2.82558141,0,0,0,0,0,0,"QB",139.39534956,231,126.20930298,"58",1799.89535817,212.3,"8.3",16.95348846,6.37037033733882,18.04938262246,-145.456789369236,"107","Temple",12,752,3369.03490119,4.76,34.84883739,298.08,4.70930235,7.43209872689529,0,0.44186047,88,NA
2003,626,"SDg St","Adam Hall",7,31,-55.74311904,-8,-1.8,0.99541284,0,0,0,0,0,0,"QB",103.622476644,206,104.5183482,"51",1313.9449488,188.6,"6.4",4.9770642,9.04147469104377,12.0552995880584,-70.3225809303404,"88","San Diego St.",12,855,4060.28897436,4.77,24.885321,339.92,5.97247704,6.02764979402918,0,0.49541284,98,NA
2004,732,"Utah","Adam Madsen",1,1,3.83050848,4,4,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"3","Utah",12,869,5742.88983864,6.9,71.822034,499.75,11.49152544,0,0,0.45762712,106,NA
2003,519,"Ohio","Adam Porter",9,11,61.36842096,7.3,6,0,0,0,0,0,0,0,"QB",158.349122568,3,1.85964912,"66.7",34.40350872,4.1,"12.3",0,0,0,0,"89","Ohio",12,847,3767.64911712,4.78,32.5438596,337.67,1.85964912,10.7547169973656,0,0.42982456,109,NA
2003,528,"OR St","Adam Rothenfluh",4,3,3.22058823,0.8,1,0,0,0,0,0,0,0,"QB",161.0294115,20,12.88235292,"60",187.86764675,43.8,"8.8",1.07352941,0,0.931506850846313,-7.4520548067705,"10","Oregon St.",13,1060,6461.57351879,5.68,56.89705873,463,8.58823528,4.65753425423156,0,0.57352941,111,NA
2012,732,"Utah","Adam Schulz",1,0,0,0,0,0,0,0,0,0,0,0,"QB",314.452893904,2,1.97520662,"100",51.35537212,52,"26",0,0,0,0,"105","Utah",12,797,3844.73968583,4.88,41.47933902,324.42,4.93801655,7.08786607853714,0,0.48760331,112,NA
2011,312,"Iowa","AJ Derby",2,0,0,0,0,0,0,0,0,0,0,0,"QB",93.39393984,6,3.04545456,"50",30.4545456,15,"5",0,0,0,0,"76","Iowa",13,866,4915.36365984,5.59,45.6818184,372.46,7.10606064,5.91044773296503,0,0.51515152,154,NA
2004,754,"WA St","Alex Brink",7,49,-50,-7.1,-1,1,0,0,0,0,0,0,"QB",113.3,194,97,"50",1305,186.4,"6.7",7,5,21,-143,"64","Washington St.",11,799,4055,5.08,37,368.64,5,6,0,0.5,187,NA
2005,754,"WA St","Alex Brink",11,56,114.74757262,9.6,1.9,2.16504854,0,0,0,0,0,0,"QB",151.5533978,358,221.91747535,"57.3",3129.57766457,262.8,"8.1",25.98058248,12.0089686303292,16.6278027189173,-96.9955158603511,"8","Washington St.",11,821,5826.14562114,6.56,50.87864069,489.27,4.33009708,6.46636772402341,0,0.58252427,187,NA
2006,754,"WA St","Alex Brink",12,78,8.21052632,0.7,0.1,2.05263158,0,0,0,0,0,0,"QB",136.602631649,396,247.34210539,"60.9",2975.28947521,241.6,"7.3",19.50000001,9.74358973859303,27.2820512680605,-174.410256320815,"25","Washington St.",12,822,4779.55263403,5.67,39.00000002,388.08,6.15789474,5.84615384315582,0,0.52631579,187,NA
2007,754,"WA St","Alex Brink",12,63,33.8740742,2.8,0.5,0,0,0,0,0,0,0,"QB",134.99814865,503,303.8703715,"60.6",3803.8592734,318.2,"7.6",25.9037038,15.055762025815,21.078066836141,-176.654274436229,"28","Washington St.",12,898,5203.6555749,5.82,37.8592594,435.25,4.9814815,7.02602227871367,0,0.4962963,187,NA
2009,774,"WMU","Alex Carder",7,8,13.19658112,2.3,2,0,0,0,0,0,0,0,"QB",85.612820016,7,4.1239316,"71.4",22.26923064,3.9,"3.9",0,0,0,0,"56","Western Mich.",12,872,3838.55553328,5.34,31.34188016,387.83,4.1239316,8.48704668137561,0,0.32478632,188,NA
2010,774,"WMU","Alex Carder",12,109,31.7372881,2.9,0.3,5.44067796,0,0,0,0,0,0,"QB",127.493220196,458,262.05932174,"63.1",3023.20338644,277.8,"7.3",27.2033898,13.2336448746546,33.0841121866364,-207.327103036255,"34","Western Mich.",12,860,4479.4915204,5.74,46.24576266,411.67,5.44067796,6.61682243732728,0,0.40677966,188,NA
2011,774,"WMU","Alex Carder",12,128,259.453125,22.5,2.1,3.84375,0,0,0,0,0,0,"QB",139.62421875,502,317.109375,"65.7",3721.7109375,322.8,"7.7",29.7890625,14.5691056910569,23.9349593495935,-180.032520325203,"19","Western Mich.",13,945,5727.1875,6.31,55.734375,458.46,6.7265625,6.24390243902439,0,0.4609375,188,NA
2012,774,"WMU","Alex Carder",6,40,82.54545464,14.7,2.2,0,0,0,0,0,0,0,"QB",116.032644761,248,136.01239685,"58.5",1549.60330756,275.3,"6.7",12.19421489,10.6607929393312,10.6607929393312,-62.8986783420544,"38","Western Mich.",12,915,4944.28512963,5.76,43.14876038,439.25,3.75206612,8.528634351465,0,0.43801653,188,NA
2005,31,"Ark","Alex Mortensen",4,2,-18.89805833,-4.3,-8.5,0,0,0,0,0,0,0,"QB",69.255825527,17,6.66990294,"35.3",70.03398087,15.8,"3.7",1.11165049,1.79912663016952,1.79912663016952,-15.292576356441,"66","Arkansas",11,761,4409.91749383,5.21,38.90776715,360.64,4.44660196,6.29694320559333,0,0.61165049,203,NA
2008,709,"Tole","Alex Pettee",1,2,-3.77443608,-4,-2,0,0,0,0,0,0,0,"QB",-3.585714276,2,0.94360902,"50",10.37969922,11,"5.5",0,1.05976095904636,1.05976095904636,-2.11952191809273,"85","Toledo",12,756,3782.92856118,5.3,30.19548864,334.08,2.83082706,9.53784863141728,0,0.44360902,207,NA
2009,709,"Tole","Alex Pettee",4,6,-10.96240596,-3,-2,0,0,0,0,0,0,0,"QB",107.431578408,58,33.80075171,"63.8",347.1428554,95,"6.6",0.91353383,2.18930042251418,3.28395063377127,-18.6090535913706,"13","Toledo",12,854,4804.27441197,6.16,42.02255618,438.25,4.56766915,7.66255147879964,0,0.41353383,207,NA
2010,709,"Tole","Alex Pettee",2,3,-1.85507246,-1,-0.7,0.92753623,0,0,0,0,0,0,"QB",30.979710082,5,0.92753623,"20",7.42028984,4,"1.6",0,0,1.07812500218994,-3.23437500656982,"74","Toledo",13,860,4405.7970925,5.52,45.44927527,365.38,7.42028984,5.39062501094971,0,0.42753623,207,NA
2003,732,"Utah","Alex Smith",11,149,452,41.1,3,5,0,0,0,0,0,0,"QB",152.3,266,173,"65",2247,204.3,"8.4",15,3,16,-118,"64","Utah",12,867,4494,5.18,45,374.5,10,2,0,0.5,213,20
2004,732,"Utah","Alex Smith",12,135,604.26271272,52.6,4.7,9.5762712,0,0,0,0,0,0,"QB",169.02118668,317,204.93220368,"67.5",2826.91525824,246,"9.3",30.64406784,4.17699114452815,18.7964601503767,-91.8938051796194,"3","Utah",12,869,5742.88983864,6.9,71.822034,499.75,11.49152544,0,0,0.45762712,213,20
