"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,400,"Mass","A.J. Doyle",8,27,NA,4,1.2,NA,0,NA,0,0,NA,NA,"QB",NA,97,NA,"56.7",NA,51.9,"4.3",NA,NA,NA,NA,"na","Massachusetts",12,854,NA,4.4,NA,278.25,NA,NA,0,NA,8,NA
2010,388,"Mrsh","A.J. Graham",2,6,5.84444442,3,1,0.97407407,0,0,0,0,0,0,"QB",145.916295686,12,9.7407407,"83.3",92.53703665,47.5,"7.9",0,0,1.02661597387558,-3.07984792162674,"103","Marshall",12,766,3673.23331797,4.92,32.14444431,314.25,4.87037035,7.18631181712906,0,0.47407407,11,NA
2011,388,"Mrsh","A.J. Graham",5,40,253.92857109,47.4,5.9,3.21428571,0,0,0,0,0,0,"QB",144.64285695,103,68.57142848,"62.1",764.99999898,142.8,"6.9",7.49999999,3.73333333831111,4.66666667288889,-19.6000000261333,"102","Marshall",13,853,4643.57142238,5.08,37.49999995,333.38,7.49999999,5.60000000746667,0,0.57142857,11,NA
2003,716,"Troy","Aaron Leak",12,126,216.43243232,17.3,1.7,3.12162162,0,0,0,0,0,0,"QB",91.983783736,259,114.4594594,"42.5",1484.85135058,118.9,"5.5",7.28378378,11.5324675384584,24.0259740384551,-187.402597499949,"111","Troy",12,825,3669.98648458,4.28,24.97297296,293.92,6.24324324,5.76623376922921,0,0.54054054,54,NA
2004,716,"Troy","Aaron Leak",8,38,16.18695647,2.1,0.4,0.95217391,0,0,0,0,0,0,"QB",99.502173595,118,51.41739114,"45.8",719.84347596,94.5,"6.4",5.71304346,7.35159819701424,12.6027397663101,-75.6164385978608,"113","Troy",12,742,3246.9130331,4.6,34.27826076,284.17,6.66521737,5.25114156929589,0,0.45217391,54,NA
2010,498,"ULM","Aaron Munoz",3,2,-7.93548384,-2.7,-4,0,0,0,0,0,0,0,"QB",188.566934748,3,0.99193548,"33.3",55.54838688,18.7,"18.7",0,0,0,0,"85","La.-Monroe",12,874,4130.41933872,4.76,31.74193536,347,4.9596774,7.05691059664485,0,0.49193548,57,NA
2006,709,"Tole","Aaron Opelt",9,80,241.425,29,3.3,3.7,0,0,0,0,0,0,"QB",91.205,188,94.35,"54.3",809.375,97.2,"4.7",5.55,5.40540540540541,11.8918918918919,-50.8108108108108,"72","Toledo",12,856,3628.775,4.58,34.225,326.92,4.625,7.56756756756757,0,0.425,62,NA
2007,709,"Tole","Aaron Opelt",9,46,151.41176544,17.3,3.4,3.88235296,0,0,0,0,0,0,"QB",123.652941776,249,139.76470656,"57.8",1704.35294944,195.1,"7.1",11.64705888,7.21212117715335,5.15151512653811,-52.5454542906887,"20","Toledo",12,916,5222.73531944,5.87,50.47058848,448.42,4.8529412,7.21212117715335,0,0.47058824,62,NA
2008,709,"Tole","Aaron Opelt",12,42,-41.51879688,-3.7,-1,4.7180451,0,0,0,0,0,0,"QB",108.798120006,376,212.3120295,"59.8",2053.29322752,181.3,"5.8",11.32330824,7.41832671332455,15.8964143856955,-130.350597962703,"85","Toledo",12,756,3782.92856118,5.3,30.19548864,334.08,2.83082706,9.53784863141728,0,0.44360902,62,NA
2009,709,"Tole","Aaron Opelt",9,30,149.81954812,18.2,5.5,2.74060149,0,0,0,0,0,0,"QB",124.057894114,261,140.68420982,"59",1824.32705851,221.9,"7.7",14.61654128,10.9465021125709,5.47325105628546,-32.8395063377127,"13","Toledo",12,854,4804.27441197,6.16,42.02255618,438.25,4.56766915,7.66255147879964,0,0.41353383,62,NA
2004,768,"W Va","Adam Bednarik",2,2,5.91891894,3,3,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"26","West Virginia",12,849,4959.06758523,5.92,46.36486503,418.92,7.89189192,4.05479450610621,0,0.48648649,83,NA
2005,768,"W Va","Adam Bednarik",8,56,179.1071431,21.3,3,1.05357143,0,0,0,0,0,0,"QB",152.978571636,75,57.94642865,"73.3",560.50000076,66.5,"7.1",4.21428572,1.89830508217179,12.3389830341166,-58.8474575473255,"50","West Virginia",12,818,4917.01786381,5.71,52.6785715,388.92,11.58928573,0.949152541085895,0,0.55357143,83,NA
2007,768,"W Va","Adam Bednarik",2,3,13.73239439,6.5,4.3,0,0,0,0,0,0,0,"QB",123.380281904,1,1.05633803,"100",2.11267606,1,"2",0,0,0,0,"15","West Virginia",13,893,6265.14085593,6.64,71.83098604,456.23,11.61971833,1.89333333005156,0,0.55633803,83,NA
2011,626,"SDg St","Adam Dingwell",1,0,0,0,0,0,0,0,0,0,0,0,"QB",0,1,0,"0",0,0,"0",0,0,0,0,"32","San Diego St.",13,935,5425.78125,5.94,51.7578125,427.38,7.8125,5.12,0,0.4765625,89,NA
2012,626,"SDg St","Adam Dingwell",10,43,102.79069736,10.4,2.4,0.98837209,0,0,0,0,0,0,"QB",119.59302289,144,82.03488347,"57.6",928.08139251,93.9,"6.5",7.90697672,7.08235296284014,12.141176507726,-72.8470590463557,"61","San Diego St.",13,887,5096.04649604,5.81,56.33720913,396.62,8.89534881,4.04705883590865,0,0.48837209,89,NA
2004,428,"Minn","Adam Ernst",1,0,0,0,0,0,0,0,0,0,0,0,"QB",525.17391282,1,1.02173913,"100",10.2173913,10,"10",1.02173913,0,0,0,"15","Minnesota",12,841,5374.3478238,6.25,48.02173911,438.33,7.15217391,4.89361702335899,0,0.52173913,90,NA
2009,306,"Ind","Adam Follett",2,0,0,0,0,0,0,0,0,0,0,0,"QB",69.99786295,3,1.0042735,"33.3",13.0555555,6.5,"4.3",0,0,0,0,"72","Indiana",12,809,4398.71793,5.41,34.145299,365,4.017094,7.9659574807062,0,0.5042735,93,NA
2011,731,"UT St","Adam Kennedy",8,55,227.31954898,29.9,4.3,0,0,0,0,0,0,0,"QB",160.74060158,110,72.28571432,"69.1",924.49624104,121.5,"8.8",10.46240602,4.20553359484323,7.35968379097564,-22.0790513729269,"20","Utah St.",13,913,5654.4548899,6.51,57.0676692,457.31,6.65789474,6.30830039226484,0,0.45112782,105,NA
2012,731,"UT St","Adam Kennedy",1,1,4.7983871,5,5,0,0,0,0,0,0,0,"QB",95.967742,1,0.95967742,"100",0,0,"0",0,0,0,0,"21","Utah St.",13,893,5852.11290716,6.83,56.62096778,469.08,10.55645162,2.08403361204435,0,0.45967742,105,NA
2004,630,"SJSU","Adam Tafralis",9,34,53.21359234,6.4,1.7,1.83495146,0,0,0,0,0,0,"QB",98.628640975,65,26.60679617,"44.6",396.34951536,48,"6.6",1.83495146,1.08994708775566,5.44973543877831,-51.2275131245161,"87","San Jose St.",11,704,3408.42233695,5.28,37.61650493,337.73,1.83495146,9.80952378980096,0,0.41747573,117,NA
2005,630,"SJSU","Adam Tafralis",11,47,87.735849,9.1,2.1,2.63207547,0,0,0,0,0,0,"QB",95.193396165,286,124.58490558,"49.7",1588.0188669,164.5,"6.3",9.65094339,11.397849469719,11.397849469719,-76.3655914471176,"81","San Jose St.",11,749,3333.962262,5.07,27.19811319,345.45,2.63207547,9.11827957577523,0,0.37735849,117,NA
2006,630,"SJSU","Adam Tafralis",13,90,203.32307744,17.2,2.5,1.81538462,0,0,0,0,0,0,"QB",140.783077281,276,164.29230811,"65.6",2073.16923604,175.7,"8.3",19.06153851,7.71186438717323,20.932203336613,-118.983050544958,"47","San Jose St.",13,783,4215.32308764,5.93,39.03076933,357.23,8.16923079,4.40677964981327,0,0.40769231,117,NA
2007,630,"SJSU","Adam Tafralis",12,76,169.39743664,15.1,2.4,1.87179488,0,0,0,0,0,0,"QB",126.907692864,400,234.91025744,"62.8",2828.28206368,251.8,"7.6",16.84615392,11.7534246060124,19.2328766280203,-111.123287184117,"88","San Jose St.",12,835,3909.24360688,5,29.01282064,348.08,4.6794872,7.47945202200788,0,0.43589744,117,NA
2008,521,"OK St","Alex Cate",3,6,22.27272726,7,3.5,1.06060606,0,0,0,0,0,0,"QB",184.651515046,5,4.24242424,"80",59.39393936,18.7,"11.2",0,0,0,0,"6","Oklahoma St.",13,908,6724.2424204,6.98,73.18181814,487.69,9.54545454,3.77142857358367,0,0.56060606,189,NA
2009,521,"OK St","Alex Cate",2,3,7.36567167,3.5,2.3,0,0,0,0,0,0,0,"QB",-23.359701582,9,0,"0",0,0,"0",0,0.950354606289422,0,0,"70","Oklahoma St.",13,891,5023.38807894,5.36,49.45522407,367.23,9.47014929,3.80141842515769,0,0.55223881,189,NA
2006,472,"NM St","Alex Gibson",5,12,24.94594596,5.2,2.2,0.95945946,0,0,0,0,0,0,"QB",80.210810856,38,22.06756758,"60.5",168.86486496,35.2,"4.6",0,3.12676056161873,2.08450704107915,-8.3380281643166,"3","New Mexico St.",12,930,5470.83784092,6.13,50.85135138,475.17,3.83783784,8.3380281643166,0,0.45945946,194,NA
2005,327,"KS St","Allan Evridge",9,102,202.06880652,22.6,2,3.98165136,0,0,0,0,0,0,"QB",103.921100496,213,101.53210968,"47.9",1358.7385266,151.7,"6.4",5.97247704,7.03225809303404,16.0737327840778,-135.622120365657,"83","Kansas St.",11,750,3719.85778308,4.98,35.83486224,339.73,4.9770642,6.02764979402918,0,0.49541284,234,NA
2004,327,"KS St","Allen Webb",10,127,440.32038908,41.8,3.3,8.42718448,0,0,0,0,0,0,"QB",106.077184642,94,51.61650494,"52.1",548.82038926,52.1,"5.5",3.16019418,3.79723501674191,10.4423962960403,-65.502304038798,"68","Kansas St.",11,794,4214.64563806,5.04,43.18932046,363.73,4.21359224,6.64516127929835,0,0.55339806,247,NA
2005,327,"KS St","Allen Webb",8,71,171.21100848,21.5,2.4,0,0,0,0,0,0,0,"QB",145.131192072,105,61.71559608,"59",846.100914,106.3,"8.1",8.95871556,5.02304149502432,10.0460829900486,-69.3179726313356,"83","Kansas St.",11,750,3719.85778308,4.98,35.83486224,339.73,4.9770642,6.02764979402918,0,0.49541284,247,NA
2008,71,"BGSU","Andrew Beam",5,22,98.03076948,21.6,4.9,2.72307693,0,0,0,0,0,0,"QB",558.049232188,1,0.90769231,"100",19.96923082,4.4,"22",0.90769231,0,0,0,"60","Bowling Green",12,818,3918.50770227,5.28,39.93846164,359.75,5.44615386,6.61016947471991,0,0.40769231,318,NA
2010,416,"MI St","Andrew Maxwell",5,5,-38.70769245,-7.4,-7.4,0,0,0,0,0,0,0,"QB",89.236923405,25,11.50769235,"44",128.67692355,24.6,"4.9",0,0,3.82352939770761,-32.4999998805147,"53","Michigan St.",13,817,5284.12309635,6.18,51.26153865,388.54,11.50769235,1.91176469885381,0,0.54615385,342,NA
2011,416,"MI St","Andrew Maxwell",4,5,-2.04166666,-0.5,-0.4,0,0,0,0,0,0,0,"QB",140.058332876,26,18.37499994,"69.2",174.56249943,42.8,"6.6",1.02083333,0,0.979591839933361,-4.89795919966681,"56","Michigan St.",14,940,5579.87498178,5.81,55.12499982,390.43,11.22916663,2.93877551980008,0,0.52083333,342,NA
2012,416,"MI St","Andrew Maxwell",13,37,-116.6,-8.2,-2.9,0,0,0,0,0,0,0,"QB",117.81,446,257.4,"52.5",2866.6,200.5,"5.8",14.3,8.18181818181818,19.0909090909091,-141.818181818182,"95","Michigan St.",13,957,5138.1,4.88,29.7,359.31,7.7,5.45454545454545,0,0.6,342,NA
2011,497,"N TX","Andrew McNulty",6,23,56.56818168,9.5,2.5,0.99242424,0,0,0,0,0,0,"QB",106.784848224,51,27.78787872,"54.9",349.33333248,58.7,"6.9",0.99242424,3.02290077074296,6.04580154148593,-45.3435115611445,"96","North Texas",12,827,4069.93180824,4.96,38.70454536,341.75,4.9621212,7.05343513173358,0,0.49242424,345,NA
2003,419,"MTSU","Andrico Hines",11,107,286.23912975,28.6,2.9,5.4521739,0,0,0,0,0,0,"QB",113.677825815,253,139.03043445,"60.5",1582.9478223,158.4,"6.9",6.36086955,3.30143541459674,17.6076555445159,-85.8373207795151,"68","Middle Tenn. St.",12,860,4048.23912075,5.18,38.1652173,371.25,3.6347826,8.80382777225796,0,0.40869565,360,NA
2005,651,"S Fla","Anthony Severino",1,1,-2.16071428,-2,-2,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"79","South Fla.",12,882,4506.16963094,4.73,37.8124999,347.58,6.48214284,5.55371902295198,0,0.58035714,451,NA
2007,651,"S Fla","Anthony Severino",2,1,5.48507465,2.5,5,0,0,0,0,0,0,0,"QB",243.208209981,3,1.09701493,"33.3",30.71641804,14,"9.3",1.09701493,0,0,0,"43","South Fla.",13,991,5905.23136819,5.43,61.43283608,414.08,9.87313437,3.64625848802258,0,0.59701493,451,NA
2005,648,"S Car","Antonio Heffner",7,28,72.40322572,9.6,2.4,1.08064516,0,0,0,0,0,0,"QB",158.530644972,33,23.77419352,"66.7",255.03225776,33.7,"7.2",2.16129032,0,4.62686567716641,-27.7611940629984,"100","South Carolina",12,720,4096.72580156,5.27,39.98387092,315.92,7.56451612,4.62686567716641,0,0.58064516,481,NA
2003,430,"MS St","Aries Nelson",1,1,-1.03676471,-1,-1,0,0,0,0,0,0,0,"QB",103.676471,1,1.03676471,"100",0,0,"0",0,0,0,0,"99","Mississippi St.",12,766,3989.47060408,5.02,30.06617659,320.67,2.07352942,9.64539003261405,0,0.53676471,505,NA
2008,404,"Memp","Arkelon Hall",11,76,183.076924,18.2,2.6,2.74615386,0,0,0,0,0,0,"QB",111.402308254,335,174.83846242,"57",2082.5000105,206.8,"6.8",10.98461544,7.64705878497281,9.83193272353647,-65.5462181569098,"26","Memphis",13,977,4965.04617888,5.55,41.1923079,417.23,5.49230772,7.64705878497281,0,0.41538462,506,NA
2009,404,"Memp","Arkelon Hall",5,18,3.03658536,0.6,0.2,0,0,0,0,0,0,0,"QB",76.42073156,82,44.53658528,"53.7",336.04877984,66.4,"4",0,4.93975904566701,3.9518072365336,-31.6144578922688,"63","Memphis",12,841,4531.59755224,5.32,33.40243896,373.08,2.02439024,9.87951809133401,0,0.51219512,506,NA
2011,664,"USM","Arsenio Favor",5,12,40.71126775,8.2,3.4,0,0,0,0,0,0,0,"QB",55.307746675,3,0.99295775,"33.3",7.943662,1.6,"2.7",0,0,0,0,"17","Southern Miss.",14,1042,6413.51410725,6.2,62.55633825,461.36,11.915493,2.01418439002062,0,0.49295775,519,NA
2012,664,"USM","Arsenio Favor",5,42,133,26.6,3.2,3,0,0,0,0,0,0,"QB",142.5,67,37,"55.2",650,130,"9.7",3,3,6,-50,"106","Southern Miss.",12,792,3874,4.89,29,322.83,0,12,0,0.5,519,NA
2003,700,"TX Tch","B.J. Symons",13,79,145.97916619,11,1.8,5.10416665,0,0,0,0,0,0,"QB",154.452082829,719,479.7916651,"65.4",5954.52081389,448.7,"8.1",53.08333316,21.5510204785339,21.5510204785339,-155.755102549404,"1","Texas Tech",13,1088,7733.83330808,6.96,77.58333308,582.77,8.16666664,4.89795919966681,0,0.52083333,610,NA
2010,768,"W Va","Barry Brunetti",2,1,4.09230768,2,4,0,0,0,0,0,0,0,"QB",51.153846,9,4.09230768,"44.4",6.13846152,3,"0.7",0,0,0,0,"67","West Virginia",13,908,4956.8076774,5.34,42.96923064,372.69,9.20769228,3.90977444784895,0,0.52307692,622,NA
2009,107,"Cal","Beau Sweeney",3,2,-7.0259259,-2.3,-3.5,0,0,0,0,0,0,0,"QB",97.96148112,9,5.0185185,"55.6",45.1666665,15,"5",0,0,0.996309966776052,-11.9557196013126,"49","California",13,864,5116.8814626,5.9,48.1777776,392.15,8.0296296,4.98154983388026,0,0.5037037,639,NA
2010,107,"Cal","Beau Sweeney",2,7,27.39669426,13,3.7,1.05371901,0,0,0,0,0,0,"QB",111.167355555,8,6.32231406,"75",30.55785129,14.5,"3.6",0,0,0.949019606280046,-3.79607842512018,"90","California",12,760,4223.30579208,5.27,42.1487604,334,5.26859505,6.64313724396032,0,0.55371901,639,NA
2004,749,"Wake","Ben Mauk",10,58,296.4603975,29.5,5.1,0,0,0,0,0,0,0,"QB",104.41435695,94,49.2425745,"52.1",574.831686,57.2,"6.1",2.009901,2.98522166017132,7.96059109379019,-38.8078815822272,"76","Wake Forest",11,770,3883.128732,5.02,29.1435645,351.27,4.019802,6.96551720706642,0,0.5049505,653,NA
2005,749,"Wake","Ben Mauk",7,64,43.3008849,6,0.7,2.0619469,0,0,0,0,0,0,"QB",96.08672554,158,87.63274325,"53.8",871.17256525,120.7,"5.3",1.03097345,5.81974249676362,16.4892704074969,-159.072961578206,"68","Wake Forest",11,818,4069.25220715,4.83,30.9292035,358.82,4.1238938,6.78969957955755,0,0.53097345,653,NA
2006,749,"Wake","Ben Mauk",1,7,6.0422535,6,0.9,0,0,0,0,0,0,0,"QB",115.709154525,21,14.0985915,"66.7",105.73943625,105,"5",1.00704225,0.993006996479045,1.98601399295809,-11.9160839577485,"96","Wake Forest",14,829,4328.2675905,5.18,33.23239425,307,11.07746475,2.97902098943714,0,0.50704225,653,NA
2005,110,"UCLA","Ben Olson",2,0,0,0,0,0,0,0,0,0,0,0,"QB",73.1,4,2,"50",11,5.5,"2.8",0,0,0,0,"23","UCLA",12,825,5172,6.27,62,431,10,2,0,0.5,657,NA
2006,110,"UCLA","Ben Olson",5,23,-33.00340135,-6.2,-1.3,0,0,0,0,0,0,0,"QB",132.65238091,124,84.10544215,"63.7",875.1224487,164.4,"6.6",5.32312925,4.69648562450367,7.51437699920587,-61.9936102434484,"71","UCLA",13,836,4568.30952235,5.13,33.00340135,330.08,7.45238095,5.6357827494044,0,0.56462585,657,NA
2007,110,"UCLA","Ben Olson",7,17,-108.90411,-14.3,-5.9,0,0,0,0,0,0,0,"QB",125.56643883,147,77.3219181,"48.3",1132.602744,148.6,"7.1",7.6232877,5.50943394147383,11.9371068731933,-95.4968549855465,"99","UCLA",13,916,4723.1712507,4.73,33.7602741,333.62,6.5342466,6.42767293171947,0,0.5890411,657,NA
2003,736,"Vand","Benji Walker",3,1,2.12,0.7,2,0,0,0,0,0,0,0,"QB",193.026,5,3.18,"60",85.86,27,"16.2",1.06,1.88679245283019,0,0,"78","Vanderbilt",12,824,4478.5,5.13,32.86,352.08,2.12,9.43396226415094,0,0.56,669,NA
2004,388,"Mrsh","Bernard Morris",2,5,20.04545445,10.5,4.2,0,0,0,0,0,0,0,"QB",0,1,0,"0",0,0,"0",0,0,0,0,"97","Marshall",12,828,3679.77270975,4.66,34.3636362,321.25,5.7272727,6.28571431564626,0,0.45454545,679,NA
2005,388,"Mrsh","Bernard Morris",9,75,256,28.4,3.4,4,0,0,0,0,0,0,"QB",100,216,114,"52.8",1121,124.6,"5.2",6,6,13,-80,"89","Marshall",11,782,3619,4.63,27,329,4,7,0,0.5,679,NA
2006,388,"Mrsh","Bernard Morris",11,82,306.59504076,29.5,4,1.89256198,0,0,0,0,0,0,"QB",116.487189869,188,109.76859484,"61.7",1273.69421254,122.4,"7.2",7.57024792,12.6812227306817,14.794759852462,-88.768559114772,"49","Marshall",12,701,4023.58676948,6.07,40.69008257,354.33,4.73140495,7.397379926231,0,0.44628099,679,NA
2007,388,"Mrsh","Bernard Morris",12,130,509.472,40.7,3.8,4.176,0,0,0,0,0,0,"QB",145.2204,398,264.132,"63.6",3287.556,262.4,"7.9",17.748,9.57854406130268,32.5670498084291,-163.793103448276,"44","Marshall",12,840,5171.976,5.9,38.628,412.83,3.132,8.62068965517241,0,0.544,679,NA
2006,156,"CO St","Billy Farris",5,13,64.6,13.6,5.2,0,0,0,0,0,0,0,"QB",123.69,19,10.45,"57.9",140.6,29.6,"7.8",0.95,1.05263157894737,3.15789473684211,-11.5789473684211,"100","Colorado St.",12,735,3358.25,4.81,24.7,294.58,3.8,8.42105263157895,0,0.45,696,NA
2007,156,"CO St","Billy Farris",2,5,11.17741933,5.5,2.2,0,0,0,0,0,0,0,"QB",84.541935296,20,9.14516127,"45",92.46774173,45.5,"4.6",0,0,1.96825397262787,-16.7301587673369,"71","Colorado St.",12,838,4619.32257038,5.42,37.59677411,378.83,3.04838709,8.8571428768254,0,0.51612903,696,NA
