"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,367,"Lou","Adam Froman",7,61,78,11.1,1.3,0,0,0,0,0,0,0,"QB",126.8,185,111,"60",1354,193.4,"7.3",6,5,20,-104,"91","Louisville",12,789,4009,5.08,26,334.08,4,8,0,0.57627119,94,NA
2010,367,"Lou","Adam Froman",8,36,3,0.4,0.1,2,0,0,0,0,0,0,"QB",136.5,218,132,"60.6",1633,204.1,"7.5",11,4,10,-70,"71","Louisville",13,835,4797,5.74,43,369,7,6,0,0.44186047,94,NA
2003,193,"Duke","Adam Smith",7,21,-18,-2.6,-0.9,2,0,0,0,0,0,0,"QB",102.8,94,49,"52.1",488,69.7,"5.2",2,0,8,-62,"85","Duke",12,906,4116,4.54,25,343,4,8,0,0.54761905,115,NA
2007,428,"Minn","Adam Weber",12,146,617,51.4,4.2,5,0,0,0,0,0,0,"QB",120.8,449,258,"57.5",2895,241.3,"6.4",24,19,14,-89,"48","Minnesota",12,887,4890,5.51,42,407.5,1,11,0,0.57723577,118,NA
2008,428,"Minn","Adam Weber",13,127,233,17.9,1.8,4,0,0,0,0,0,0,"QB",126.9,410,255,"62.2",2761,212.4,"6.7",15,8,31,-204,"91","Minnesota",13,851,4198,4.93,38,322.92,7,6,0,0.47692308,118,NA
2009,428,"Minn","Adam Weber",13,73,-133,-10.2,-1.8,1,0,0,0,0,0,0,"QB",114.7,367,191,"52",2582,198.6,"7",13,15,37,-238,"109","Minnesota",13,815,3984,4.89,33,306.46,6,7,0,0.57251908,118,NA
2010,428,"Minn","Adam Weber",12,52,24,2,0.5,0,0,0,0,0,0,0,"QB",129.9,368,205,"55.7",2679,223.3,"7.3",20,9,17,-124,"77","Minnesota",12,825,4336,5.26,35,361.33,3,9,0,0.6097561,118,NA
2010,8,"Ala","AJ McCarron",9,6,-20,-2.2,-3.3,0,0,0,0,0,0,0,"QB",151.2,48,30,"62.5",389,43.2,"8.1",3,0,2,-18,"22","Alabama",13,829,5773,6.96,58,444.08,10,3,0,0.60769231,155,NA
2011,8,"Ala","AJ McCarron",13,30,-22,-1.7,-0.7,2,0,0,0,0,0,0,"QB",147.3,328,219,"66.8",2634,202.6,"8",16,5,13,-72,"31","Alabama",13,865,5585,6.46,55,429.62,12,1,0,0.60465116,155,NA
2012,8,"Ala","AJ McCarron",14,49,4,0.3,0.1,1,0,0,0,0,0,0,"QB",175.3,314,211,"67.2",2933,209.5,"9.3",30,3,22,-162,"31","Alabama",14,898,6237,6.95,71,445.5,13,1,0,0.58571429,155,NA
2004,521,"OK St","Al Pena",5,2,-17,-3.4,-8.5,0,0,0,0,0,0,0,"QB",165.4,11,7,"63.6",94,18.8,"8.5",1,0,2,-17,"52","Oklahoma St.",12,795,4566,5.74,51,380.5,7,5,0,0.578125,168,NA
2005,521,"OK St","Al Pena",7,35,-9,-1.3,-0.3,2,0,0,0,0,0,0,"QB",101.7,179,89,"49.7",1102,157.4,"6.2",8,13,10,-94,"92","Oklahoma St.",11,754,3573,4.74,27,324.82,4,7,0,0.54368932,168,NA
