"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,725,"Army","A.J. Schurr",4,12,47,11.8,3.9,0,0,0,0,0,0,0,"QB",141.8,18,8,"44.4",130,32.5,"7.2",2,0,1,-1,"39","Army",12,921,5235,5.68,36,436.25,2,10,0,0.49579832,24,NA
2003,255,"GT","A.J. Suggs",2,3,5,2.5,1.7,0,0,0,0,0,0,0,"QB",136.3,24,15,"62.5",180,90,"7.5",2,2,1,-8,"94","Georgia Tech",13,888,4298,4.84,32,330.62,7,6,0,0.52413793,25,NA
2008,657,"USC","Aaron Corp",2,0,0,0,0,0,0,0,0,0,0,0,"QB",79.4,4,2,"50",14,7,"3.5",0,0,0,0,"11","Southern California",13,891,5911,6.63,66,454.69,12,1,0,0.54109589,36,NA
2009,657,"USC","Aaron Corp",3,4,7,2.3,1.8,0,0,0,0,0,0,0,"QB",120.5,26,17,"65.4",155,51.7,"6",1,1,1,-3,"55","Southern California",13,817,5058,6.19,44,389.08,9,4,0,0.52413793,36,NA
2003,51,"Bayl","Aaron Karas",10,59,-185,-18.5,-3.1,0,0,0,0,0,0,0,"QB",113.1,239,135,"56.5",1481,148.1,"6.2",10,11,41,-251,"114","Baylor",12,822,3377,4.11,24,281.42,3,9,0,0.51968504,52,NA
2010,257,"Ga","Aaron Murray",13,87,-24,-1.8,-0.3,4,0,0,0,0,0,0,"QB",154.5,342,209,"61.1",3049,234.5,"8.9",24,8,24,-193,"56","Georgia",13,814,5005,6.15,51,385,6,7,0,0.54074074,58,NA
2011,257,"Ga","Aaron Murray",14,87,111,7.9,1.3,2,0,0,0,0,0,0,"QB",146.4,403,238,"59.1",3149,224.9,"7.8",35,14,32,-183,"39","Georgia",14,1016,5719,5.63,54,408.5,10,4,0,0.58333333,58,NA
2012,257,"Ga","Aaron Murray",14,59,-68,-4.9,-1.2,3,0,0,0,0,0,0,"QB",174.8,386,249,"64.5",3893,278.1,"10.1",36,10,26,-162,"22","Georgia",14,924,6547,7.09,72,467.64,12,2,0,0.53571429,58,NA
2009,71,"BGSU","Aaron Pankratz",1,0,0,0,0,0,0,0,0,0,0,0,"QB",72.1,13,5,"38.5",52,52,"4",0,0,0,0,"43","Bowling Green",13,956,5235,5.48,48,402.69,7,6,0,0.51388889,63,NA
2010,71,"BGSU","Aaron Pankratz",5,10,-35,-7,-3.5,0,0,0,0,0,0,0,"QB",106.3,77,35,"45.5",520,104,"6.8",4,5,5,-38,"115","Bowling Green",12,820,3533,4.31,35,294.42,1,10,0,0.46969697,63,NA
