"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2012,400,"Mass","A.J. Doyle",8,27,32,4,1.2,0,0,0,0,0,0,0,"QB",86.4,97,55,"56.7",415,51.9,"4.3",3,8,7,-55,"na","Massachusetts",12,854,3339,4.4,18,278.25,1,11,0,NA,8,NA
2010,388,"Mrsh","A.J. Graham",2,6,6,3,1,1,0,0,0,0,0,0,"QB",149.8,12,10,"83.3",95,47.5,"7.9",0,0,1,-3,"103","Marshall",12,766,3771,4.92,33,314.25,5,7,0,0.47407407,11,NA
2011,388,"Mrsh","A.J. Graham",5,40,237,47.4,5.9,3,0,0,0,0,0,0,"QB",135,103,64,"62.1",714,142.8,"6.9",7,4,5,-21,"102","Marshall",13,853,4334,5.08,35,333.38,7,6,0,0.57142857,11,NA
2003,716,"Troy","Aaron Leak",12,126,208,17.3,1.7,3,0,0,0,0,0,0,"QB",88.4,259,110,"42.5",1427,118.9,"5.5",7,12,25,-195,"111","Troy",12,825,3527,4.28,24,293.92,6,6,0,0.54054054,54,NA
2004,716,"Troy","Aaron Leak",8,38,17,2.1,0.4,1,0,0,0,0,0,0,"QB",104.5,118,54,"45.8",756,94.5,"6.4",6,7,12,-72,"113","Troy",12,742,3410,4.6,36,284.17,7,5,0,0.45217391,54,NA
2010,498,"ULM","Aaron Munoz",3,2,-8,-2.7,-4,0,0,0,0,0,0,0,"QB",190.1,3,1,"33.3",56,18.7,"18.7",0,0,0,0,"85","La.-Monroe",12,874,4164,4.76,32,347,5,7,0,0.49193548,57,NA
2006,709,"Tole","Aaron Opelt",9,80,261,29,3.3,4,0,0,0,0,0,0,"QB",98.6,188,102,"54.3",875,97.2,"4.7",6,5,11,-47,"72","Toledo",12,856,3923,4.58,37,326.92,5,7,0,0.425,62,NA
2007,709,"Tole","Aaron Opelt",9,46,156,17.3,3.4,4,0,0,0,0,0,0,"QB",127.4,249,144,"57.8",1756,195.1,"7.1",12,7,5,-51,"20","Toledo",12,916,5381,5.87,52,448.42,5,7,0,0.47058824,62,NA
2008,709,"Tole","Aaron Opelt",12,42,-44,-3.7,-1,5,0,0,0,0,0,0,"QB",115.3,376,225,"59.8",2176,181.3,"5.8",12,7,15,-123,"85","Toledo",12,756,4009,5.3,32,334.08,3,9,0,0.44360902,62,NA
2009,709,"Tole","Aaron Opelt",9,30,164,18.2,5.5,3,0,0,0,0,0,0,"QB",135.8,261,154,"59",1997,221.9,"7.7",16,10,5,-30,"13","Toledo",12,854,5259,6.16,46,438.25,5,7,0,0.41353383,62,NA
2004,768,"W Va","Adam Bednarik",2,2,6,3,3,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"26","West Virginia",12,849,5027,5.92,47,418.92,8,4,0,0.48648649,83,NA
2005,768,"W Va","Adam Bednarik",8,56,170,21.3,3,1,0,0,0,0,0,0,"QB",145.2,75,55,"73.3",532,66.5,"7.1",4,2,13,-62,"50","West Virginia",12,818,4667,5.71,50,388.92,11,1,0,0.55357143,83,NA
2007,768,"W Va","Adam Bednarik",2,3,13,6.5,4.3,0,0,0,0,0,0,0,"QB",116.8,1,1,"100",2,1,"2",0,0,0,0,"15","West Virginia",13,893,5931,6.64,68,456.23,11,2,0,0.55633803,83,NA
2011,626,"SDg St","Adam Dingwell",1,0,0,0,0,0,0,0,0,0,0,0,"QB",0,1,0,"0",0,0,"0",0,0,0,0,"32","San Diego St.",13,935,5556,5.94,53,427.38,8,5,0,0.4765625,89,NA
2012,626,"SDg St","Adam Dingwell",10,43,104,10.4,2.4,1,0,0,0,0,0,0,"QB",121,144,83,"57.6",939,93.9,"6.5",8,7,12,-72,"61","San Diego St.",13,887,5156,5.81,57,396.62,9,4,0,0.48837209,89,NA
2004,428,"Minn","Adam Ernst",1,0,0,0,0,0,0,0,0,0,0,0,"QB",514,1,1,"100",10,10,"10",1,0,0,0,"15","Minnesota",12,841,5260,6.25,47,438.33,7,5,0,0.52173913,90,NA
2009,306,"Ind","Adam Follett",2,0,0,0,0,0,0,0,0,0,0,0,"QB",69.7,3,1,"33.3",13,6.5,"4.3",0,0,0,0,"72","Indiana",12,809,4380,5.41,34,365,4,8,0,0.5042735,93,NA
2011,731,"UT St","Adam Kennedy",8,55,239,29.9,4.3,0,0,0,0,0,0,0,"QB",169,110,76,"69.1",972,121.5,"8.8",11,4,7,-21,"20","Utah St.",13,913,5945,6.51,60,457.31,7,6,0,0.45112782,105,NA
2012,731,"UT St","Adam Kennedy",1,1,5,5,5,0,0,0,0,0,0,0,"QB",100,1,1,"100",0,0,"0",0,0,0,0,"21","Utah St.",13,893,6098,6.83,59,469.08,11,2,0,0.45967742,105,NA
2004,630,"SJSU","Adam Tafralis",9,34,58,6.4,1.7,2,0,0,0,0,0,0,"QB",107.5,65,29,"44.6",432,48,"6.6",2,1,5,-47,"87","San Jose St.",11,704,3715,5.28,41,337.73,2,9,0,0.41747573,117,NA
2005,630,"SJSU","Adam Tafralis",11,47,100,9.1,2.1,3,0,0,0,0,0,0,"QB",108.5,286,142,"49.7",1810,164.5,"6.3",11,10,10,-67,"81","San Jose St.",11,749,3800,5.07,31,345.45,3,8,0,0.37735849,117,NA
2006,630,"SJSU","Adam Tafralis",13,90,224,17.2,2.5,2,0,0,0,0,0,0,"QB",155.1,276,181,"65.6",2284,175.7,"8.3",21,7,19,-108,"47","San Jose St.",13,783,4644,5.93,43,357.23,9,4,0,0.40769231,117,NA
2007,630,"SJSU","Adam Tafralis",12,76,181,15.1,2.4,2,0,0,0,0,0,0,"QB",135.6,400,251,"62.8",3022,251.8,"7.6",18,11,18,-104,"88","San Jose St.",12,835,4177,5,31,348.08,5,7,0,0.43589744,117,NA
2008,521,"OK St","Alex Cate",3,6,21,7,3.5,1,0,0,0,0,0,0,"QB",174.1,5,4,"80",56,18.7,"11.2",0,0,0,0,"6","Oklahoma St.",13,908,6340,6.98,69,487.69,9,4,0,0.56060606,189,NA
2009,521,"OK St","Alex Cate",2,3,7,3.5,2.3,0,0,0,0,0,0,0,"QB",-22.2,9,0,"0",0,0,"0",0,1,0,0,"70","Oklahoma St.",13,891,4774,5.36,47,367.23,9,4,0,0.55223881,189,NA
2006,472,"NM St","Alex Gibson",5,12,26,5.2,2.2,1,0,0,0,0,0,0,"QB",83.6,38,23,"60.5",176,35.2,"4.6",0,3,2,-8,"3","New Mexico St.",12,930,5702,6.13,53,475.17,4,8,0,0.45945946,194,NA
2005,327,"KS St","Allan Evridge",9,102,203,22.6,2,4,0,0,0,0,0,0,"QB",104.4,213,102,"47.9",1365,151.7,"6.4",6,7,16,-135,"83","Kansas St.",11,750,3737,4.98,36,339.73,5,6,0,0.49541284,234,NA
2004,327,"KS St","Allen Webb",10,127,418,41.8,3.3,8,0,0,0,0,0,0,"QB",100.7,94,49,"52.1",521,52.1,"5.5",3,4,11,-69,"68","Kansas St.",11,794,4001,5.04,41,363.73,4,7,0,0.55339806,247,NA
2005,327,"KS St","Allen Webb",8,71,172,21.5,2.4,0,0,0,0,0,0,0,"QB",145.8,105,62,"59",850,106.3,"8.1",9,5,10,-69,"83","Kansas St.",11,750,3737,4.98,36,339.73,5,6,0,0.49541284,247,NA
2008,71,"BGSU","Andrew Beam",5,22,108,21.6,4.9,3,0,0,0,0,0,0,"QB",614.8,1,1,"100",22,4.4,"22",1,0,0,0,"60","Bowling Green",12,818,4317,5.28,44,359.75,6,6,0,0.40769231,318,NA
2010,416,"MI St","Andrew Maxwell",5,5,-37,-7.4,-7.4,0,0,0,0,0,0,0,"QB",85.3,25,11,"44",123,24.6,"4.9",0,0,4,-34,"53","Michigan St.",13,817,5051,6.18,49,388.54,11,2,0,0.54615385,342,NA
2011,416,"MI St","Andrew Maxwell",4,5,-2,-0.5,-0.4,0,0,0,0,0,0,0,"QB",137.2,26,18,"69.2",171,42.8,"6.6",1,0,1,-5,"56","Michigan St.",14,940,5466,5.81,54,390.43,11,3,0,0.52083333,342,NA
2012,416,"MI St","Andrew Maxwell",13,37,-106,-8.2,-2.9,0,0,0,0,0,0,0,"QB",107.1,446,234,"52.5",2606,200.5,"5.8",13,9,21,-156,"95","Michigan St.",13,957,4671,4.88,27,359.31,7,6,0,0.6,342,NA
2011,497,"N TX","Andrew McNulty",6,23,57,9.5,2.5,1,0,0,0,0,0,0,"QB",107.6,51,28,"54.9",352,58.7,"6.9",1,3,6,-45,"96","North Texas",12,827,4101,4.96,39,341.75,5,7,0,0.49242424,345,NA
2003,419,"MTSU","Andrico Hines",11,107,315,28.6,2.9,6,0,0,0,0,0,0,"QB",125.1,253,153,"60.5",1742,158.4,"6.9",7,3,16,-78,"68","Middle Tenn. St.",12,860,4455,5.18,42,371.25,4,8,0,0.40869565,360,NA
2005,651,"S Fla","Anthony Severino",1,1,-2,-2,-2,0,0,0,0,0,0,0,"QB",0,0,0,"N/A",0,0,"N/A",0,0,0,0,"79","South Fla.",12,882,4171,4.73,35,347.58,6,6,0,0.58035714,451,NA
2007,651,"S Fla","Anthony Severino",2,1,5,2.5,5,0,0,0,0,0,0,0,"QB",221.7,3,1,"33.3",28,14,"9.3",1,0,0,0,"43","South Fla.",13,991,5383,5.43,56,414.08,9,4,0,0.59701493,451,NA
2005,648,"S Car","Antonio Heffner",7,28,67,9.6,2.4,1,0,0,0,0,0,0,"QB",146.7,33,22,"66.7",236,33.7,"7.2",2,0,5,-30,"100","South Carolina",12,720,3791,5.27,37,315.92,7,5,0,0.58064516,481,NA
2003,430,"MS St","Aries Nelson",1,1,-1,-1,-1,0,0,0,0,0,0,0,"QB",100,1,1,"100",0,0,"0",0,0,0,0,"99","Mississippi St.",12,766,3848,5.02,29,320.67,2,10,0,0.53676471,505,NA
2008,404,"Memp","Arkelon Hall",11,76,200,18.2,2.6,3,0,0,0,0,0,0,"QB",121.7,335,191,"57",2275,206.8,"6.8",12,7,9,-60,"26","Memphis",13,977,5424,5.55,45,417.23,6,7,0,0.41538462,506,NA
2009,404,"Memp","Arkelon Hall",5,18,3,0.6,0.2,0,0,0,0,0,0,0,"QB",75.5,82,44,"53.7",332,66.4,"4",0,5,4,-32,"63","Memphis",12,841,4477,5.32,33,373.08,2,10,0,0.51219512,506,NA
