"Code","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Percentage","PlayerID","AV"
312,"A.J. Johnson",6,22,66.21428583,11.035714305,3.009740265,1.05102041,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,113,"Iowa",13,855,4564.58164063,5.33869197734503,47.29591845,351.121664663846,10.5102041,2.85436892705062,0.55102041,19,NA
719,"Aaron Johnson",7,19,80.42187298,11.4888389971429,4.23273015684211,0.91549296,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,13.3333333333333,"Tulsa",41,3072,19812.8464343,6.4494942819987,206.66605238,483.240156934146,27.88962332,12.3220684060814,0.467038913333333,50,NA
518,"Adam Homan",2,0,0,0,NA,0,3,18.38571426,9.19285713,6.12857142,7.14999999,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,34,"Ohio St.",13,896,5956.97142024,6.64840560294643,64.34999991,458.228570787692,12.25714284,0.979020980390239,0.52142857,100,NA
312,"Adam Robinson",21,384,1872.0332799,89.1444419,4.87508666640625,16.25834925,34,400.289838,19.0614208571429,11.7732305294118,75.8492367,1.078125,"RB",0,0,0,NA,0,0,NA,0,0,0,0,91.5,"Iowa",26,1652,10156.0818342,6.14774929430993,90.08969475,390.618532084615,20.67461835,6.46346512709259,0.586772425,110,NA
129,"Adam Supianoski",4,0,0,0,NA,0,4,14.77722765,3.6943069125,3.6943069125,4.92574255,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,87,"Central Mich.",12,884,4381.94057248,4.95694634895928,37.43564338,365.161714373333,2.95544553,9.13567843694957,0.48514851,116,NA
47,"Adell Givens",10,202,910.47273165,91.047273165,4.50729075074257,5.6727273,13,129.52727335,12.952727335,9.96363641153846,44.43636385,0.94545455,"RB",0,0,0,NA,0,0,NA,0,0,0,0,117,"Ball St.",11,768,3362.0363798,4.37765153619792,25.52727285,305.639670890909,1.8909091,9.51923072346524,0.44545455,123,NA
433,"Alan Abrams",13,70,311.96428703,23.9972528484615,4.45663267185714,0,5,31.77551034,2.44427002615385,6.355102068,20.38265315,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,55.5,"Mississippi",22,1492,7003.02554193,4.69371685115952,39.2653063,318.319342815,7.05102044,15.0112521989383,0.502551025,170,NA
392,"Albert Reid",9,36,88.0344826,9.78160917777778,2.44540229444444,0,3,15.3103448,1.70114942222222,5.10344826666667,10.52586205,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,25,"Maryland",12,776,3269.71551135,4.21355091668814,28.7068965,272.4762926125,3.8275862,8.36036037542407,0.45689655,177,NA
277,"Alex Green",27,232,1590.76452441,58.9172046077778,6.85674363969828,19.7992425,38,459.73232466,17.0271231355556,12.09821907,96.32954568,1.95517677,"RB",0,0,0,NA,0,0,NA,0,0,0,0,52,"Hawaii",27,1787,12431.90974131,6.95686051556239,107.09848509,460.44110153,15.70328286,11.3035625771665,0.477588385,196,5
306,"Alex Stscherban",2,0,0,0,NA,0,2,14.22580642,7.11290321,7.11290321,9.14516127,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,119,"Indiana",12,885,3923.27418483,4.43307817494915,20.3225806,326.9395154025,2.03225806,9.84126986313933,0.51612903,216,NA
688,"Alexander Ridore",1,1,4,4,4,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,89,"Syracuse",12,820,4437,5.4109756097561,41,369.75,6,6,0.5,223,NA
365,"Alfred Blue",19,138,1043.03746981,54.8967089373684,7.55824253485507,11.54726713,11,52.69722218,2.77353800947368,4.79065656181818,18.79097218,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,105.666666666667,"LSU",40,2592,16164.13597469,6.23616357048225,175.18536495,404.10339936725,38.61436307,5.36928123411598,0.63198773,228,NA
365,"Alley Broussard",31,301,1650.05093261,53.2274494390323,5.48189678607973,19.33318178,2,16.0626785,0.518150919354839,8.03133925,16.0626785,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,37.3333333333333,"LSU",39,2637,17262.20709897,6.54615362114903,177.74018393,442.620694845385,35.53644327,5.57817110219831,0.576545636666667,248,NA
529,"Andiel Brown",9,26,105.39927082,11.7110300911111,4.05381810846154,1.07664234,1,21.62068964,2.40229884888889,21.62068964,21.62068964,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,48.75,"Oregon",48,3712,22325.6799651,6.01446119749461,206.72126498,465.11833260625,32.68222545,16.3027348753548,0.5479445575,276,NA
529,"Andre Crenshaw",29,160,759.9460352,26.2050356965517,4.74966272,8.70201608,9,76.67203534,2.64386328758621,8.51911503777778,55.58516849,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,62,"Oregon",52,3829,24857.71708857,6.49196058724732,257.59367911,478.033020934038,38.54755635,14.9130330895427,0.5717330025,289,NA
164,"Andre Dixon",29,415,2038.95206287,70.3086918231034,4.91313750089157,17.88316265,37,412.0591488,14.2089361655172,11.1367337513514,70.38481623,2.07785211,"RB",0,0,0,NA,0,0,NA,0,0,0,0,88.3333333333333,"Connecticut",39,2683,14663.31882278,5.46526978113306,133.66365483,375.982533917436,25.82343203,13.5362777561341,0.53352646,292,NA
71,"Andre Givens",6,20,126.671875,21.1119791666667,6.33359375,0.9453125,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,112,"Bowling Green",13,895,4491.1796875,5.01807786312849,36.8671875,345.475360576923,7.5625,5.28925619834711,0.4453125,297,NA
651,"Andre Hall",23,480,2867.50686525,124.674211532609,5.9739726359375,25.25618129,44,498.66002667,21.6808707247826,11.3331824243182,112.68406574,3.17994505,"RB",0,0,0,NA,0,0,NA,0,0,0,0,95.5,"South Fla.",23,1633,8466.90040316,5.1848747110594,73.48557685,368.126104485217,10.55906592,12.4216435460705,0.549793955,298,3
37,"Andrew Turman",1,1,1.06164384,1.06164384,1.06164384,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,95,"Auburn",13,752,4429.17810048,5.88986449531915,39.28082208,340.706007729231,11.67808224,1.88387095996337,0.56164384,357,NA
331,"Andy Jayjack",1,1,-0.82307692,-0.82307692,-0.82307692,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,94,"Kent St.",12,753,3176.25383428,4.21813258204515,24.6923076,264.687819523333,4.93846152,7.28971965341951,0.32307692,373,NA
528,"Andy Stewart",9,12,20.37681163,2.26409018111111,1.69806763583333,2.14492754,3,20.44202899,2.27133655444444,6.81400966333333,18.29710145,1.07246377,"RB",0,0,0,NA,0,0,NA,0,0,0,0,79,"Oregon St.",27,1878,10649.73912271,5.67078760527689,95.94927529,394.434782322593,20.48550723,7.42203742684614,0.57789855,379,NA
328,"Angus Quigley",24,147,704.10742593,29.33780941375,4.78984643489796,6.30489319,34,272.0024833,11.3334368041667,8.00007303823529,70.35283142,1.09848485,"RB",0,0,0,NA,0,0,NA,0,0,0,0,50.3333333333333,"Kansas",38,2756,16008.80052585,5.8087084636611,160.70752589,421.284224364474,23.77074016,14.343357755631,0.53849975,386,NA
430,"Anthony Dixon",48,910,4376.49995304,91.177082355,4.80934060773626,45.83230969,56,488.00182679,10.1667047247917,8.71431833553571,115.57876213,4.19859198,"RB",0,0,0,NA,0,0,NA,0,0,0,0,30.75,"Mississippi St.",49,3237,16423.96687915,5.07382356476676,136.43359035,335.182997533673,21.73221383,26.8736223713837,0.58395303,409,3
716,"Anthony Jones",18,85,393.66262202,21.8701456677778,4.63132496494118,1.82706766,6,35.62781937,1.97932329833333,5.937969895,18.2706766,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,54,"Troy",24,1572,6563.59338777,4.17531385990458,52.34315154,273.48305782375,10.83404384,13.4147715148334,0.397488565,424,NA
51,"Anthony Krieg",21,177,740.10839668,35.2432569847619,4.18140337107345,2.13650747,21,121.97571568,5.80836741333333,5.80836741333333,29.08569432,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,11.5,"Baylor",23,1583,7274.17731498,4.59518465886292,54.62664657,316.268578912174,6.40952241,15.9894347365209,0.568253735,428,NA
331,"Anthony Meray",13,75,257.85556404,19.8350433876923,3.4380741872,2.05084746,4,10.7973471,0.830565161538461,2.699336775,9.77192337,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,57.5,"Kent St.",26,1721,8318.9911653,4.83381241446833,80.08843044,319.961198665385,15.64885779,9.96280990660576,0.490972735,437,NA
204,"Anthony Sherrell",31,622,2677.54641562,86.37246502,4.3047370026045,24.40615522,75,543.72702232,17.5395813651613,7.24969363093333,114.8074376,1.8760396,"RB",0,0,0,NA,0,0,NA,0,0,0,0,51.6666666666667,"Eastern Mich.",34,2439,10937.0327819,4.48422828286183,80.80094178,321.677434761765,10.24378456,24.523466407648,0.43531538,453,NA
674,"Anthony Wilkerson",36,195,946.29478601,26.2859662780556,4.85279377441026,7.29872099,6,55.83506208,1.55097394666667,9.30584368,28.95188219,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,76.6666666666667,"Stanford",40,2797,18691.03610278,6.68252989016089,199.62703614,467.2759025695,36.98436228,4.72054249214331,0.555983243333333,457,NA
509,"Arby Fields",20,144,421.77531518,21.088765759,2.92899524430556,5.58490795,21,99.86967061,4.9934835305,4.75569860047619,26.36627908,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,60,"Northwestern",26,1976,9711.83866727,4.9148981109666,78.0386386,373.532256433462,14.08272772,11.6925715019937,0.439740795,501,NA
