"Code","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Percentage","PlayerID","AV"
231,"A'mod Ned",30,316,1210.89634547,40.3632115156667,3.8319504603481,6.48891318,44,306.88551933,10.229517311,6.97467089386364,102.59125897,0.96969697,"RB",0,0,0,NA,0,0,NA,0,0,0,0,53,"FIU",36,2255,9144.73892706,4.05531659736585,69.56504961,254.020525751667,5.50094697,32.1771315588715,0.430443863333333,1,NA
457,"A.J. Blue",27,133,593.40439058,21.9779403918519,4.46168714721805,9.62654137,11,91.9835908,3.40679965925926,8.36214461818182,28.13316365,0.95299145,"RB",0,0,0,NA,0,0,NA,0,0,0,0,36,"North Carolina",38,2556,15272.75942628,5.97525799150235,148.60500273,401.914721744211,23.67714216,14.5082676818848,0.530281686666667,5,NA
67,"A.J. Brooks",17,101,456.84281644,26.8731068494118,4.52319620237624,3.92215325,8,84.34908437,4.96171084529412,10.54363554625,63.14654719,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,61.5,"Boston College",51,3717,20525.14818078,5.52196615033091,177.31091786,402.453885897647,40.39013116,11.6365885470737,0.5336987075,6,NA
96,"A.J. Ellis",11,80,263.00074711,23.9091588281818,3.287509338875,2.98854963,13,92.64503853,8.42227623,7.12654142538462,26.89694667,1.99236642,"RB",0,0,0,NA,0,0,NA,0,0,0,0,57,"Fresno St.",39,2621,15510.31162769,5.91770760308661,147.64724787,397.700298145897,19.80451128,19.4625962693786,0.483709273333333,10,NA
503,"A.J. Harris",30,297,1346.36104198,44.8787013993333,4.53320216154882,10.42337664,29,164.0909093,5.46969697666667,5.65830721724138,34.70129876,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,44.6666666666667,"Northern Ill.",36,2528,14108.51950787,5.5809017040625,140.57402625,391.903319663056,23.91688317,10.568627433687,0.42813853,14,NA
5,"Aaris Reed",1,5,24.05970138,24.05970138,4.811940276,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,114,"Akron",12,749,3447.01490925,4.60215608711616,29.61194016,287.2512424375,4.62686565,7.56451616441467,0.42537313,27,NA
698,"Aaron Brown",41,487,2559.35942686,62.423400655122,5.25535816603696,19.54883462,81,830.51383921,20.2564351026829,10.2532572741975,167.91896566,4.87351587,"RB",0,0,0,NA,0,0,NA,0,0,0,0,51.75,"TCU",51,3854,20423.15929652,5.29921102660093,189.94753323,400.454103853333,40.65952408,10.194587894783,0.4898611425,33,2
193,"Aaron Fryer",9,52,164.23446769,18.2482741877778,3.15835514788462,0,5,46.27934949,5.14214994333333,9.255869898,22.13389917,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,44.6666666666667,"Duke",35,2376,10846.45393648,4.56500586552189,72.63952245,309.898683899429,6.31918908,28.0435945496772,0.538680176666667,41,NA
8,"Aaron Johns",16,94,425.42361615,26.588976009375,4.52578315053191,0.9516129,6,29.60016978,1.85001061125,4.93336163,28.23118278,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,91,"Alabama",36,2365,12708.80070991,5.37370008875687,96.862524,353.022241941944,20.39512922,16.130515353815,0.508171916666667,47,NA
731,"Aaron Lesue",11,51,140.47940989,12.7708554445455,2.75449823313725,0.95384615,13,167.86310039,15.2602818536364,12.9125461838462,56.76888375,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,18.5,"Utah St.",24,1471,6337.37391352,4.30820796296397,47.22440712,264.057246396667,2.94152689,21.1238709736462,0.49384037,55,NA
312,"Aaron Mickens",15,47,168.04253066,11.2028353773333,3.57537299276596,1.108,16,101.53714287,6.769142858,6.346071429375,22.86914287,1.05102041,"RB",0,0,0,NA,0,0,NA,0,0,0,0,58.5,"Iowa",25,1668,8721.79764063,5.2288954680036,83.85991845,348.8719056252,21.5902041,4.65942307867517,0.579510205,56,NA
509,"Aaron Nagel",1,0,0,0,NA,0,1,5.71875,5.71875,5.71875,5.71875,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,64,"Northwestern",13,942,4845.6875,5.14404193205945,40.984375,372.745192307692,6.671875,6.29508196721311,0.453125,59,NA
726,"Aaron Santiago",17,59,465.76513811,27.3979493005882,7.89432437474576,4.06564884,16,299.2111945,17.6006585,18.70069965625,79.21475792,3.93027988,"RB",0,0,0,NA,0,0,NA,0,0,0,0,71,"Navy",39,2608,15001.44423278,5.75208751256902,148.81475786,384.652416225128,23.8575063,14.9164860816424,0.499660726666667,70,NA
671,"Aaron Spikes",23,134,398.48409324,17.3253953582609,2.97376188985075,2.78860612,28,381.5676673,16.5898985782609,13.6274166892857,78.7559279,5.48120298,"RB",0,0,0,NA,0,0,NA,0,0,0,0,85.5,"La.-Lafayette",25,1743,8775.92912261,5.03495646736087,82.93522243,351.0371649044,11.39444763,14.0118519079698,0.437536145,73,NA
