"Code","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Percentage","PlayerID","AV"
416,"A.J. Jimmerson",19,61,217.85498876,11.46605204,3.57139325836066,1.97709924,15,77.1107939,4.05846283684211,5.14071959333333,44.13420174,1.97709924,"RB",0,0,0,NA,0,0,NA,0,0,0,0,67,"Michigan St.",51,3529,20317.81588442,5.75738619564182,184.03997228,398.388546753333,27.25769497,24.1034574584432,0.542417125,17,NA
700,"Aaron Crawford",29,169,706.90585963,24.3760641251724,4.18287490905325,7.17125314,56,370.77540126,12.7853586641379,6.62098930821429,66.7836731,3.04074074,"RB",0,0,0,NA,0,0,NA,0,0,0,0,39.4,"Texas Tech",64,5021,32663.03860742,6.50528552229038,333.70631394,510.359978240937,43.51672653,21.283039342916,0.535743166,37,NA
463,"Aaron Green",8,24,115.5,14.4375,4.8125,2.2,1,27.5,3.4375,27.5,27.5,1.1,"RB",0,0,0,NA,0,0,NA,0,0,0,0,84,"Nebraska",13,904,5432.9,6.00984513274336,50.6,417.915384615385,9.9,3.63636363636364,0.6,43,NA
229,"Aaron Sanchez",12,67,230.08333417,19.1736111808333,3.43407961447761,0.91666667,22,165.0000006,13.75000005,7.50000002727273,35.75000013,2.75000001,"RB",0,0,0,NA,0,0,NA,0,0,0,0,119,"Fla. Atlantic",12,804,3270.66667856,4.06799338129353,20.16666674,272.555556546667,4.58333335,7.63636360859504,0.41666667,69,NA
473,"Adrian Byrd",20,82,425.82357047,21.2911785235,5.19297037158537,3.00774401,6,30.76216249,1.5381081245,5.12702708166667,18.65176421,0.99612403,"RB",0,0,0,NA,0,0,NA,0,0,0,0,41.3333333333333,"New Mexico",36,2546,13036.32790274,5.12031732236449,119.76244447,362.120219520556,20.88833765,15.1207135448459,0.49281477,130,NA
388,"Ahmad Bradshaw",33,558,2879.18594567,87.248058959697,5.15983144385305,29.84297516,87,681.57024686,20.6536438442424,7.83414076850575,148.19421449,4.80165288,"RB",0,0,0,NA,0,0,NA,0,0,0,0,97.3333333333333,"Marshall",35,2311,11322.35947923,4.89933339646473,102.05371877,323.495985120857,14.45867765,20.6830942418773,0.466942146666667,144,28
559,"Akeem Hunt",18,75,615.57462678,34.1985903766667,8.2076616904,3.95522388,14,212.91044776,11.8283582088889,15.2078891257143,66.91044776,2,"RB",0,0,0,NA,0,0,NA,0,0,0,0,82.5,"Purdue",26,1883,10024.32089406,5.32359049073818,91.05970148,385.550803617692,12.84328358,13.1374045820267,0.48880597,160,NA
559,"Akeem Shavers",25,292,1378.38059686,55.1352238744,4.72048149609589,11.86567164,23,426.70149252,17.0680597008,18.5522388052174,97.6641791,3.97761194,"RB",0,0,0,NA,0,0,NA,0,0,0,0,82.5,"Purdue",26,1883,10024.32089406,5.32359049073818,91.05970148,385.550803617692,12.84328358,13.1374045820267,0.48880597,161,NA
140,"Akise Teague",2,8,39.66666648,19.83333324,4.95833331,0.94444444,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,79,"Cincinnati",13,892,4735.44442216,5.30879419524664,51.9444442,364.264955550769,9.4444444,3.17647060318339,0.44444444,164,NA
312,"Albert Young",37,660,3232.35916493,87.3610585116216,4.89751388625758,23.59730293,79,715.57771113,19.3399381386486,9.05794571050633,142.83706749,1.97609326,"RB",0,0,0,NA,0,0,NA,0,0,0,0,23.25,"Iowa",49,3322,18397.43121234,5.53805876349789,148.9696311,375.457779843674,30.35897337,19.6616865263203,0.5361095225,180,0
5,"Alex Allen",38,379,1496.76136742,39.3884570373684,3.94923843646438,21.88518911,35,250.34434518,6.58800908368421,7.15269557657143,61.74039668,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,27.75,"Akron",48,3129,14507.42856689,4.63644249501119,120.0240855,302.238095143542,12.2795736,36.870900897432,0.4482012825,185,NA
128,"Alex Haynes",21,398,1487.91938866,70.8533042219048,3.73849092628141,9.13466095,50,352.10739594,16.7670188542857,7.0421479188,41.89995247,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,11,"UCF",23,1495,6310.90728409,4.22134266494314,44.69013738,274.387273221304,2.71052631,21.8733602359335,0.413466095,197,0
196,"Alex Owah",1,5,14,14,2.8,1,1,10,10,10,10,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,67,"East Carolina",12,921,4742,5.14875135722041,40,395.166666666667,5,7,0.5,205,NA
626,"Alex Thompson",5,17,88.22,17.644,5.18941176470588,0,3,28.22,5.644,9.40666666666667,21.22,1,"RB",0,0,0,NA,0,0,NA,0,0,0,0,74,"San Diego St.",23,1680,8762.98,5.21605952380952,68.8,380.999130434783,9.1,13.8627450980392,0.51,218,NA
311,"Alexander Robinson",44,705,3333.35963858,75.7581736040909,4.72816970011348,27.99304416,83,809.79555359,18.4044443997727,9.75657293481928,144.46963309,4.04986048,"RB",0,0,0,NA,0,0,NA,0,0,0,0,69.25,"Iowa St.",49,3461,17491.04756985,5.05375543769142,133.23445327,356.960154486735,17.51922121,31.3390990601553,0.52787684,224,NA
229,"Alfred Morris",39,732,3242.05740061,83.1296769387179,4.42904016476776,25.18301431,30,283.30382703,7.26420069307692,9.443460901,79.49624043,3.72419685,"RB",0,0,0,NA,0,0,NA,0,0,0,0,30.25,"Fla. Atlantic",49,3230,15847.29863135,4.90628440599071,122.72872573,323.414257782653,15.91035838,34.1602198336341,0.43640402,230,13
522,"Allen Patrick",30,367,2035.58646041,67.8528820136667,5.54655711283379,15.12093118,14,69.61010768,2.32033692266667,4.97215054857143,35.72726328,1.07324841,"RB",0,0,0,NA,0,0,NA,0,0,0,0,59.3333333333333,"Oklahoma",40,2734,17175.432671,6.28216264484272,187.45348776,429.385816775,32.74813971,9.04684542228239,0.60041556,242,NA
490,"Andre Brown",42,523,2680.52464601,63.8220153811905,5.12528613003824,23.27177139,70,667.2635178,15.8872266142857,9.53233596857143,124.82221358,2.09774436,"RB",0,0,0,NA,0,0,NA,0,0,0,0,87.75,"North Carolina St.",49,3219,16597.34984401,5.1560577334607,126.87176277,338.721425387959,22.25218219,26.541076360106,0.5572372025,282,4
67,"Andre Callender",48,644,3075.03708635,64.0632726322917,4.77490230799689,17.76518805,138,1274.24725142,26.5468177379167,9.23367573492754,115.74420993,4.20689656,"RB",0,0,0,NA,0,0,NA,0,0,0,0,61.5,"Boston College",51,3717,20525.14818078,5.52196615033091,177.31091786,402.453885897647,40.39013116,11.6365885470737,0.5336987075,286,NA
651,"Andre Copeland",2,5,3.05769231,1.528846155,0.611538462,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,93,"South Fla.",11,751,3960.73077222,5.27394243970706,35.67307695,360.066433838182,4.07692308,6.86792452311855,0.51923077,288,NA
657,"Andre Woodert",6,9,47.45313927,7.908856545,5.27257103,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,17.3333333333333,"Southern California",39,2826,20744.15271444,7.34046451324841,236.66823604,531.901351652308,39.89035355,1.85934963276426,0.578040866666667,311,NA
529,"Andres Reed",2,18,115.15648861,57.578244305,6.39758270055556,0,1,15.28625955,7.643129775,15.28625955,15.28625955,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,1,"Oregon",13,1024,7030.66030903,6.86587920803711,82.54580157,540.820023771538,12.22900764,0.981273407725175,0.51908397,315,NA
574,"Andrew Cates",12,57,249.70763593,20.8089696608333,4.38083571807018,1.06034483,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,75.6666666666667,"Rice",34,2449,12495.18463268,5.10215787369539,112.1035621,367.505430372941,8.66061956,25.0970099724733,0.49108564,323,NA
415,"Andrew Johnson",9,35,179.88047341,19.9867192677778,5.13944209742857,1.09677419,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,94.3333333333333,"Miami (FL)",37,2371,13358.31246371,5.63404152834669,126.73011495,361.035471992162,26.33369922,11.4927604636264,0.551316706666667,338,NA
463,"Andy Sand",2,0,0,0,NA,0,3,34.19117658,17.09558829,11.39705886,16.5441177,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,110,"Nebraska",12,898,6197.42649042,6.90136580224944,58.45588254,516.452207535,5.5147059,6.34666664635733,0.60294118,377,NA
71,"Anthon Samuel",21,346,1794.45520552,85.4502478819048,5.18628672115607,15.44010415,37,286.99687467,13.6665178414286,7.75667228837838,48.14791662,0.9453125,"RB",0,0,0,NA,0,0,NA,0,0,0,0,96,"Bowling Green",25,1725,9143.62967212,5.30065488238841,79.21718736,365.7451868848,12.60416665,12.2314049816269,0.476822915,390,NA
164,"Anthony Barksdale",5,9,35.31186855,7.06237371,3.92354095,0,3,20.2527777,4.05055554,6.7509259,19.14444437,1.10833333,"RB",0,0,0,NA,0,0,NA,0,0,0,0,103.5,"Connecticut",23,1592,7640.89466852,4.79955695258794,69.45100984,332.212811674783,9.10505047,13.6396667859638,0.52133838,397,NA
796,"Anthony Davis",16,317,1652.8300221,103.30187638125,5.21397483312303,17.94889671,16,149.2887015,9.33054384375,9.33054384375,47.63870934,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,85.5,"Wisconsin",25,1762,9151.06001862,5.1935641422361,75.83001525,366.0424007448,16.00580727,8.87147262931741,0.504479845,407,NA
140,"Anthony King",2,7,11.33333328,5.66666664,1.61904761142857,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,79,"Cincinnati",13,892,4735.44442216,5.30879419524664,51.9444442,364.264955550769,9.4444444,3.17647060318339,0.44444444,426,NA
466,"Anthony Knight",2,4,8.984375,4.4921875,2.24609375,0.8984375,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,99,"Nevada",13,1080,6013.2421875,5.56781684027778,59.296875,462.557091346154,6.2890625,6.67826086956522,0.3984375,427,NA
626,"Anthony Miller",5,35,80.67073176,16.134146352,2.30487805028571,0.99593496,2,6.97154472,1.394308944,3.48577236,7.96747968,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,106,"San Diego St.",12,776,4086.32114088,5.26587775886598,34.8577236,340.52676174,3.98373984,8.03265305597868,0.49593496,439,NA
306,"Antonio Banks",8,26,82.16666695,10.27083336875,3.16025642115385,0.96666667,2,12.56666671,1.57083333875,6.283333355,7.73333336,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,71,"Indiana",12,861,4495.0000155,5.2206736533101,37.70000013,374.583334625,4.83333335,7.24137928537455,0.46666667,474,NA
295,"Antwaun Sherman",10,64,248.84995873,24.884995873,3.88828060515625,2.64481093,9,35.49557508,3.549557508,3.94395278666667,19.43805302,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,105,"Idaho",23,1625,7014.77551208,4.31678493051077,54.31858383,304.990239655652,4.55390183,20.0777861755291,0.399839095,496,NA
694,"Arian Foster",46,650,3190.66784528,69.3623444626087,4.90871976196923,25.04614709,83,796.7606852,17.3208844608696,9.59952632771084,156.25567546,2.18709678,"RB",0,0,0,NA,0,0,NA,0,0,0,0,63,"Tennessee",50,3263,18597.8834731,5.69962717532945,160.54506997,371.957669462,31.25046447,19.7638538677238,0.57108057,503,46
513,"Ashley McConnell",6,4,9.41587857,1.569313095,2.3539696425,0,2,8.40816328,1.40136054666667,4.20408164,5.25510205,1.05102041,"RB",0,0,0,NA,0,0,NA,0,0,0,0,19.5,"Notre Dame",25,1839,11263.08141683,6.12456847027189,117.92807401,450.5232566732,19.83947243,5.74848656253297,0.54380289,534,NA
463,"Austin Jones",12,26,121.2750735,10.106256125,4.66442590384615,1.04861111,1,2.07284768,0.172737306666667,2.07284768,2.07284768,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,88,"Nebraska",41,2696,15961.4576601,5.92042198074926,148.68195354,389.303845368293,30.7503495,11.3103581009029,0.561678316666667,569,NA
328,"Austine Nwabuisi",13,30,125.19968904,9.63074531076923,4.173322968,4.20571095,4,10.33566432,0.795051101538461,2.58391608,13.34110332,0.96212121,"RB",0,0,0,NA,0,0,NA,0,0,0,0,23,"Kansas",24,1704,9011.32107981,5.28833396702465,82.70435106,375.47171165875,10.09751358,13.7498988747823,0.521658895,580,NA
704,"Autrey Golden",10,36,153.41176461,15.341176461,4.26143790583333,0,8,82.82352936,8.282352936,10.35294117,33.88235292,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,106,"UTEP",12,831,4207.0588209,5.06264599386282,30.11764704,350.588235075,2.82352941,9.56250000597656,0.44117647,583,NA
418,"Avery Horn",1,0,0,0,NA,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,12,"Michigan",12,791,3582.21756684,4.52872005921618,31.82824436,298.51813057,3.08015268,8.76579923304321,0.52671756,587,NA
229,"Avionne Rolle",4,12,28.27583385,7.0689584625,2.3563194875,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,43,"Fla. Atlantic",25,1751,9708.23985286,5.54439740311822,81.03597114,388.3295941144,11.33175277,13.8065347597257,0.442527795,589,NA
234,"B.J. Dean",22,32,95.78383497,4.35381068045455,2.9932448428125,4.23251385,8,53.17846166,2.41720280272727,6.6473077075,20.24642607,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,69,"Florida St.",38,2672,15592.94459251,5.83568285647829,140.21954393,410.340647171316,28.78338035,10.2766962124682,0.566575653333333,600,NA
229,"B.J. Manley",20,97,313.97340401,15.6986702005,3.23683921659794,2.76595745,6,65.70567373,3.2852836865,10.9509456216667,33.23936172,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,88,"Fla. Atlantic",25,1771,8327.35460298,4.70206358158103,66.79787224,333.0941841192,12.04432623,12.9975803586102,0.42464539,608,NA
365,"Barrington Edwards",6,41,181.56081008,30.2601350133333,4.42831244097561,0,1,1.07432432,0.179054053333333,1.07432432,1.07432432,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,46,"LSU",14,994,6292.31754224,6.33029933826962,67.68243216,449.451253017143,13.96621616,0.93081761380958,0.57432432,618,NA
457,"Barrington Edwards",18,205,790.13004828,43.8961137933333,3.85429291843902,4.33312838,22,218.66871661,12.1482620338889,9.93948711863636,46.77396331,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,4.5,"North Carolina",23,1474,7569.40019622,5.1352782878019,54.00983817,329.104356357391,8.74339005,13.9631005730913,0.583282095,619,NA
9,"Bashr Coles",10,43,273.62111611,27.362111611,6.36328177,0.99180328,4,75.37704928,7.537704928,18.84426232,33.72131152,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,84,"UAB",24,1737,8997.21154072,5.17974181964306,68.34903364,374.883814196667,5.72914119,18.8792581781562,0.454856865,627,NA
37,"Ben Tate",44,678,3536.63321852,80.3780276936364,5.21627318365782,25.61322579,53,360.74577582,8.19876763227273,6.80652407207547,77.42068467,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,62.25,"Auburn",51,3375,18906.16875043,5.60182777790518,165.04968677,370.709191184902,35.11582465,16.9997394923345,0.5619164025,660,9
419,"Benny Cunningham",37,336,1444.63475816,39.044182652973,4.29950820880952,18.90053312,47,417.19976244,11.2756692551351,8.87659069021277,123.70827726,1.75817324,"RB",0,0,0,NA,0,0,NA,0,0,0,0,68.25,"Middle Tenn.",50,3614,17507.01449531,4.84422094502214,149.50587737,350.1402899062,22.86140378,27.133830392965,0.3834798775,673,NA
392,"Bernie Fiddler",6,0,0,0,NA,0,7,61.763359,10.2938931666667,8.823337,20.2328245,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,42,"Maryland",13,913,5837.702311,6.39397843483023,51.114504,449.054023923077,10.648855,2.81720429097776,0.5648855,682,NA
