"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,312,"Iowa","A.J. Johnson",6,22,66.21428583,11.035714305,3.009740265,1.05102041,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"92","Iowa",13,855,4564.58164063,5.33869197734503,47.29591845,351.121664663846,10.5102041,2.85436892705062,0,0.55102041,19,NA
2006,719,"Tuls","Aaron Johnson",1,2,1.01851852,1.01851852,0.50925926,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"24","Tulsa",13,849,5144.53704452,6.05952537634865,47.87037044,395.733618809231,8.14814816,4.90909090195041,0,0.51851852,50,NA
2007,719,"Tuls","Aaron Johnson",2,3,12.57236838,6.28618419,4.19078946,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"1","Tulsa",14,1126,7364.5065549,6.54041434715808,76.40131554,526.036182492857,9.6710526,4.13605443527419,0,0.46710526,50,NA
2008,719,"Tuls","Aaron Johnson",4,14,66.83098608,16.70774652,4.77364186285714,0.91549296,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"1","Tulsa",14,1097,7303.80283488,6.65797888320875,82.3943664,521.700202491429,10.07042256,3.2769230688568,0,0.41549296,50,NA
2010,518,"OH St","Adam Homan",2,0,0,0,NA,0,3,18.38571426,9.19285713,6.12857142,7.14999999,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"20","Ohio St.",13,896,5956.97142024,6.64840560294643,64.34999991,458.228570787692,12.25714284,0.979020980390239,0,0.52142857,100,NA
2009,312,"Iowa","Adam Robinson",11,181,913.5801549,83.0527413545454,5.04740417071823,5.47709925,10,87.633588,7.96668981818182,8.7633588,24.0992367,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"89","Iowa",13,846,4789.1755842,5.66096404751773,38.33969475,368.398121861538,12.04961835,1.8257839676723,0,0.59541985,110,NA
2010,312,"Iowa","Adam Robinson",10,203,958.453125,95.8453125,4.72144396551724,10.78125,24,312.65625,31.265625,13.02734375,51.75,1.078125,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"57","Iowa",13,806,5366.90625,6.658692617866,51.75,412.838942307692,8.625,4.63768115942029,0,0.578125,110,NA
2003,129,"CMU","Adam Supianoski",4,0,0,0,NA,0,4,14.77722765,3.6943069125,3.6943069125,4.92574255,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"69","Central Mich.",12,884,4381.94057248,4.95694634895928,37.43564338,365.161714373333,2.95544553,9.13567843694957,0,0.48514851,116,NA
2004,47,"Ball","Adell Givens",10,202,910.47273165,91.047273165,4.50729075074257,5.6727273,13,129.52727335,12.952727335,9.96363641153846,44.43636385,0.94545455,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"96","Ball St.",11,768,3362.0363798,4.37765153619792,25.52727285,305.639670890909,1.8909091,9.51923072346524,0,0.44545455,123,NA
2004,433,"Miss","Alan Abrams",10,56,284.82142975,28.482142975,5.08609695982143,0,4,26.92857154,2.692857154,6.732142885,15.53571435,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"77","Mississippi",11,789,3998.89287369,5.06830528984791,22.78571438,363.53571579,4.14285716,6.75862066168847,0,0.53571429,170,NA
