"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,457,"NC","A.J. Blue",6,18,35.91176457,5.985294095,1.99509803166667,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"108","North Carolina",13,845,4354.02939529,5.15269750921894,38.08823515,334.925338099231,8.70588232,4.59459461197955,0,0.58823529,5,NA
2011,457,"NC","A.J. Blue",9,33,144.84732816,16.0941475733333,4.38931297454545,1.04961832,2,15.7442748,1.74936386666667,7.8721374,15.7442748,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"53","North Carolina",13,813,5365.64885184,6.59981408590406,51.43129768,412.742219372308,7.34732824,5.71636363968952,0,0.54961832,5,NA
2012,457,"NC","A.J. Blue",12,82,412.64529785,34.3871081541667,5.03225972987805,8.57692305,9,76.239316,6.35327633333333,8.47103511111111,12.38888885,0.95299145,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"14","North Carolina",12,898,5553.08117915,6.18383204805122,59.0854699,462.756764929167,7.6239316,4.19730943021577,0,0.45299145,5,NA
2004,67,"BC","A.J. Brooks",6,57,302.90366832,50.48394472,5.31409944421053,2.84862384,3,21.83944944,3.63990824,7.27981648,14.2431192,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"47","Boston College",12,875,4391.62842,5.01900390857143,35.13302736,365.969035,8.54587152,3.15942030450746,0,0.44954128,6,NA
2005,67,"BC","A.J. Brooks",1,0,0,0,NA,0,0,0,0,NA,8.48,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"51","Boston College",12,865,4932.18,5.70194219653179,42.4,411.015,9.54,2.83018867924528,0,0.56,6,NA
2006,67,"BC","A.J. Brooks",5,19,70.85294106,14.170588212,3.72910216105263,1.07352941,1,22.54411761,4.508823522,22.54411761,22.54411761,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"50","Boston College",13,896,4942.52940364,5.51621585227679,45.08823522,380.194569510769,10.7352941,2.79452055253894,0,0.57352941,6,NA
2007,67,"BC","A.J. Brooks",5,25,83.08620706,16.617241412,3.3234482824,0,4,39.96551732,7.993103464,9.99137933,17.87931038,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"33","Boston College",14,1081,6258.81035714,5.78983381789084,54.68965528,447.057882652857,11.56896554,2.85245901078205,0,0.55172414,6,NA
2009,96,"Fres","A.J. Ellis",1,2,7.02671753,7.02671753,3.513358765,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"17","Fresno St.",13,876,5618.36257363,6.41365590597032,56.21374024,432.181736433077,8.03053432,4.9809886124738,0,0.50381679,10,NA
2010,96,"Fres","A.J. Ellis",8,76,255.02290176,31.87786272,3.35556449684211,2.98854963,13,92.64503853,11.58062981625,7.12654142538462,26.89694667,1.99236642,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"70","Fresno St.",13,858,4799.61070578,5.59395187153846,44.82824445,369.200823521538,7.96946568,5.01915706850751,0,0.49618321,10,NA
2011,96,"Fres","A.J. Ellis",2,2,0.95112782,0.47556391,0.47556391,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"37","Fresno St.",13,887,5092.33834828,5.74108043774521,46.60526318,391.718334483077,3.80451128,9.46245058839726,0,0.45112782,10,NA
2003,503,"N Ill","A.J. Harris",10,65,233.14285792,23.314285792,3.58681319876923,1.71428572,8,30.0000001,3.00000001,3.7500000125,9.42857146,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"60","Northern Ill.",12,858,3897.42858442,4.54245755759907,39.42857156,324.785715368333,8.5714286,2.33333332555556,0,0.35714286,14,NA
2004,503,"N Ill","A.J. Harris",11,174,762.21818406,69.2925621872727,4.3805642762069,3.70909092,10,37.0909092,3.37190083636364,3.70909092,9.2727273,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"14","Northern Ill.",12,855,4882.09092345,5.71004786368421,49.14545469,406.8409102875,8.34545457,3.23529410813149,0,0.42727273,14,NA
2005,503,"N Ill","A.J. Harris",9,58,351,39,6.05172413793103,5,11,97,10.7777777777778,8.81818181818182,16,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"16","Northern Ill.",12,815,5329,6.53865030674847,52,444.083333333333,7,5,0,0.5,14,NA
2005,231,"FIU","A'mod Ned",6,88,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,"RB",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na","FIU",11,742,NA,NA,NA,NA,NA,NA,0,NA,1,NA
2006,231,"FIU","A'mod Ned",9,94,407.3461559,45.2606839888889,4.33346974361702,1.83076924,17,129.06923142,14.3410257133333,7.59230773058824,43.02307714,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"116","FIU",12,707,2560.33078214,3.62140138916549,13.7307693,213.360898511667,0,13.109243631382,0,0.41538462,1,NA
2007,231,"FIU","A'mod Ned",11,143,563.39393957,51.21763087,3.93981775923077,1.93939394,16,99.87878791,9.07988981,6.242424244375,37.81818183,0.96969697,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"118","FIU",12,777,3137.93939492,4.03853203979408,22.30303031,261.494949576667,0.96969697,11.3437499964551,0,0.46969697,1,NA
2008,231,"FIU","A'mod Ned",10,79,240.15625,24.015625,3.03995253164557,2.71875,11,77.9375,7.79375,7.08522727272727,21.75,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"96","FIU",12,771,3446.46875,4.47012808041505,33.53125,287.205729166667,4.53125,7.72413793103448,0,0.40625,1,NA
2006,5,"Akrn","Aaris Reed",1,5,24.05970138,24.05970138,4.811940276,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"93","Akron",12,749,3447.01490925,4.60215608711616,29.61194016,287.2512424375,4.62686565,7.56451616441467,0,0.42537313,27,NA
2005,698,"TCU","Aaron Brown",10,128,748.75609904,74.875609904,5.84965702375,5.92682928,11,144.21951248,14.421951248,13.1108647709091,34.5731708,2.96341464,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"41","TCU",12,915,4740.47561912,5.1808476711694,49.390244,395.039634926667,10.86585368,1.01234567701265,0,0.48780488,33,2
2006,698,"TCU","Aaron Brown",12,154,757.1953125,63.099609375,4.91685267857143,8.5078125,34,430.1171875,35.8430989583333,12.6505055147059,79.40625,0.9453125,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"17","TCU",13,909,5019.609375,5.52212252475248,43.484375,386.123798076923,10.3984375,2.11570247933884,0,0.4453125,33,2
2007,698,"TCU","Aaron Brown",9,106,472.7464777,52.5273864111111,4.45987243113208,1.92957746,24,155.33098553,17.2589983922222,6.47212439708333,23.15492952,0.96478873,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"64","TCU",13,1017,4849.02815698,4.76797262239921,37.62676047,373.002165921538,7.71830984,5.18248176468645,0,0.46478873,33,2
2008,698,"TCU","Aaron Brown",10,99,580.66153762,58.066153762,5.86526805676768,3.18461538,12,100.8461537,10.08461537,8.40384614166667,30.78461534,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"24","TCU",13,1013,5814.04614542,5.73943350979269,59.44615376,447.234318878462,11.67692306,1.88405797374501,0,0.56153846,33,2
2003,193,"Duke","Aaron Fryer",3,8,26.19047625,8.73015875,3.27380953125,0,3,34.57142865,11.52380955,11.52380955,13.61904765,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"85","Duke",12,906,4312.0000098,4.75938190927152,26.19047625,359.33333415,4.1904762,7.63636361900826,0,0.54761905,41,NA
2004,193,"Duke","Aaron Fryer",4,39,114.95049552,28.73762388,2.94744860307692,0,2,11.70792084,2.92698021,5.85396042,8.51485152,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"117","Duke",11,700,3119.62872564,4.4566124652,22.35148524,283.602611421818,2.12871288,8.45581391887853,0,0.56435644,41,NA
2006,193,"Duke","Aaron Fryer",2,5,23.09349592,11.54674796,4.618699184,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"105","Duke",12,770,3414.82520104,4.43483792342857,24.09756096,284.568766753333,0,11.9514170117904,0,0.50406504,41,NA
2004,8,"Ala","Aaron Johns",8,53,207.017544,25.877193,3.90599139622642,0,3,24.84210528,3.10526316,8.28070176,19.66666668,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"94","Alabama",12,763,4057.5438624,5.31788186422018,36.2280702,338.1286552,6.21052632,5.79661016556162,0,0.53508772,47,NA
2005,8,"Ala","Aaron Johns",2,18,108.97058865,54.485294325,6.05392159166667,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"67","Alabama",12,814,4469.86976491,5.49124049743243,31.1344539,372.489147075833,10.3781513,1.92712549873887,0,0.53781513,47,NA
2008,9,"UAB","Aaron Johns",6,23,109.4354835,18.23924725,4.7580645,0.9516129,3,4.7580645,0.79301075,1.5860215,8.5645161,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"56","UAB",12,788,4181.3870826,5.30632878502538,29.4999999,348.44892355,3.8064516,8.40677968951451,0,0.4516129,47,NA
2006,731,"UT St","Aaron Lesue",5,16,52.72556409,10.545112818,3.295347755625,0,10,135.43233129,27.086466258,13.543233129,31.0150377,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"114","Utah St.",12,728,3156.29700327,4.33557280668956,18.60902262,263.0247502725,1.03383459,10.6399999636305,0,0.53383459,55,NA
2007,731,"UT St","Aaron Lesue",6,35,87.7538458,14.6256409666667,2.50725273714286,0.95384615,3,32.4307691,5.40512818333333,10.8102563666667,25.75384605,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"115","Utah St.",12,743,3181.07691025,4.28139557234186,28.6153845,265.089742520833,1.9076923,10.4838710100156,0,0.45384615,55,NA
2003,312,"Iowa","Aaron Mickens",4,5,27.32653066,6.831632665,5.465306132,0,1,7.35714287,1.8392857175,7.35714287,7.35714287,1.05102041,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"92","Iowa",13,855,4564.58164063,5.33869197734503,47.29591845,351.121664663846,10.5102041,2.85436892705062,0,0.55102041,56,NA
2004,312,"Iowa","Aaron Mickens",11,42,140.716,12.7923636363636,3.35038095238095,1.108,15,94.18,8.56181818181818,6.27866666666667,15.512,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"101","Iowa",12,813,4157.216,5.11342681426814,36.564,346.434666666667,11.08,1.80505415162455,0,0.608,56,NA
2010,509,"N.W.","Aaron Nagel",1,0,0,0,NA,0,1,5.71875,5.71875,5.71875,5.71875,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"48","Northwestern",13,942,4845.6875,5.14404193205945,40.984375,372.745192307692,6.671875,6.29508196721311,0,0.453125,59,NA
2009,726,"Navy","Aaron Santiago",1,1,9,9,9,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"77","Navy",14,930,4985,5.36021505376344,51,356.071428571429,10,4,0,0.5,70,NA
2010,726,"Navy","Aaron Santiago",10,27,191.1984723,19.11984723,7.0814249,0.96564885,13,242.37786135,24.237786135,18.6444508730769,49.24809135,2.89694655,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"38","Navy",13,849,5081.2442487,5.98497555795053,49.24809135,390.864942207692,8.69083965,4.14229251140308,0,0.46564885,70,NA
2011,726,"Navy","Aaron Santiago",6,31,265.56666581,44.2611109683333,8.56666663903226,3.09999999,3,56.83333315,9.47222219166667,18.9444443833333,29.96666657,1.03333333,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"48","Navy",12,829,4935.19998408,5.95319660323281,48.56666651,411.26666534,5.16666665,6.77419357023933,0,0.53333333,70,NA
2010,671,"ULL","Aaron Spikes",12,103,285.02255496,23.75187958,2.76720927145631,1.82706766,23,369.06766732,30.7556389433333,16.0464203182609,74.90977406,5.48120298,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"83","La.-Lafayette",12,850,3843.23682281,4.52145508565882,31.97368405,320.269735234167,2.74060149,9.85185190131383,0,0.41353383,73,NA
2011,671,"ULL","Aaron Spikes",11,31,113.46153828,10.3146852981818,3.66004962193548,0.96153846,5,12.49999998,1.13636363454545,2.499999996,3.84615384,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"51","La.-Lafayette",13,893,4932.6922998,5.5237315787234,50.96153838,379.437869215385,8.65384614,4.160000006656,0,0.46153846,73,NA
2008,774,"WMU","Aaron Winchester",10,69,266.88721872,26.688721872,3.86793070608696,0,9,94.19548896,9.419548896,10.46616544,54.94736856,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"28","Western Mich.",13,893,5249.4361035,5.87842788745801,47.09774448,403.802777192308,8.83082709,4.07662834218171,0,0.48120301,78,NA
2009,774,"WMU","Aaron Winchester",10,46,122.06837536,12.206837536,2.65366033391304,0.82478632,6,22.26923064,2.226923064,3.71153844,9.07264952,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"56","Western Mich.",12,872,3838.55553328,4.40201322623853,31.34188016,319.879627773333,4.1239316,8.48704668137561,0,0.32478632,78,NA
2010,774,"WMU","Aaron Winchester",10,92,219.44067772,21.944067772,2.38522475782609,0,12,46.24576266,4.624576266,3.853813555,11.78813558,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"34","Western Mich.",12,860,4479.4915204,5.20871107023256,46.24576266,373.290960033333,5.44067796,6.61682243732728,0,0.40677966,78,NA
2011,774,"WMU","Aaron Winchester",1,1,0.9609375,0.9609375,0.9609375,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"19","Western Mich.",13,945,5727.1875,6.06051587301587,55.734375,440.552884615385,6.7265625,6.24390243902439,0,0.4609375,78,NA
2012,731,"UT St","Abou Toure",1,2,5.75806452,5.75806452,2.87903226,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"21","Utah St.",13,893,5852.11290716,6.55331792515118,56.62096778,450.16253132,10.55645162,2.08403361204435,0,0.45967742,79,NA
2003,414,"Mia O","Adam Ciborowski",8,49,237.20547942,29.6506849275,4.84092815142857,2.02739726,1,15.20547945,1.90068493125,15.20547945,15.20547945,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"2","Miami (OH)",14,1053,7112.10958808,6.75414015962013,83.12328766,508.00782772,13.17808219,0.986486486619796,0,0.51369863,85,NA
2004,414,"Mia O","Adam Ciborowski",2,4,11.40983604,5.70491802,2.85245901,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"34","Miami (OH)",13,913,4940.45900532,5.41123658852136,48.49180317,380.035308101538,7.60655736,5.25862070144174,0,0.45081967,85,NA
2003,721,"AFA","Adam Cole",11,80,332.475,30.225,4.1559375,1.95,1,13.65,1.24090909090909,13.65,13.65,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"56","Air Force",12,899,4510.35,5.0170745272525,39.975,375.8625,6.825,5.12820512820513,0,0.475,86,NA
2004,721,"AFA","Adam Cole",10,78,321.3,32.13,4.11923076923077,5.1,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"23","Air Force",11,837,4773.6,5.70322580645161,44.88,433.963636363636,5.1,5.88235294117647,0,0.52,86,NA
2003,709,"Tole","Adam Cuomo",4,6,22.08407077,5.5210176925,3.68067846166667,0,5,13.44247786,3.360619465,2.688495572,7.68141592,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"11","Toledo",12,875,5331.86282547,6.09355751482286,52.80973445,444.3219021225,7.68141592,4.16589862250292,0,0.46017699,87,NA
2010,140,"Cinc","Adam Fearing",1,2,6.56097558,6.56097558,3.28048779,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"32","Cincinnati",12,837,5476.22761744,6.54268532549582,45.92682906,456.352301453333,4.37398372,7.31598516329183,0,0.59349593,91,NA
2011,140,"Cinc","Adam Fearing",2,7,43.44444424,21.72222212,6.20634917714286,0.94444444,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"61","Cincinnati",13,892,4735.44442216,5.30879419524664,51.9444442,364.264955550769,9.4444444,3.17647060318339,0,0.44444444,91,NA
2012,140,"Cinc","Adam Fearing",1,3,4.03448276,4.03448276,1.34482758666667,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"36","Cincinnati",13,863,5772.33620887,6.68868622117034,53.45689657,444.025862220769,10.0862069,2.9743589733421,0,0.50862069,91,NA
2003,721,"AFA","Adam Fitch",7,20,34.125,4.875,1.70625,0,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"56","Air Force",12,899,4510.35,5.0170745272525,39.975,375.8625,6.825,5.12820512820513,0,0.475,92,NA
2004,721,"AFA","Adam Fitch",7,52,247.86,35.4085714285714,4.76653846153846,5.1,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"23","Air Force",11,837,4773.6,5.70322580645161,44.88,433.963636363636,5.1,5.88235294117647,0,0.52,92,NA
2005,721,"AFA","Adam Fitch",9,35,160.6315788,17.8479532,4.58947368,0.95614035,0,0,0,NA,0,0,"RB",0,0,0,NA,0,0,NA,0,0,0,0,"36","Air Force",11,793,4388.6842065,5.53428020996217,41.11403505,398.9712915,3.8245614,7.3211009241478,0,0.45614035,92,NA
