"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,312,"Iowa","A.J. Johnson",6,22,66.21428583,10.5,2.9,1.05102041,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"92","Iowa",13,855,4564.58164063,5.08,47.29591845,334.08,10.5102041,2.85436892705062,0,0.55102041,19,NA
2006,719,"Tuls","Aaron Johnson",1,2,1.01851852,1,0.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"24","Tulsa",13,849,5144.53704452,5.95,47.87037044,388.54,8.14814816,4.90909090195041,0,0.51851852,50,NA
2007,719,"Tuls","Aaron Johnson",2,3,12.57236838,6.5,4.3,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"1","Tulsa",14,1126,7364.5065549,6.76,76.40131554,543.93,9.6710526,4.13605443527419,0,0.46710526,50,NA
2008,719,"Tuls","Aaron Johnson",4,14,66.83098608,18.3,5.2,0.91549296,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"1","Tulsa",14,1097,7303.80283488,7.27,82.3943664,569.86,10.07042256,3.2769230688568,0,0.41549296,50,NA
2010,518,"OH St","Adam Homan",2,0,0,0,0,0,3,18.38571426,9,6,7.14999999,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"20","Ohio St.",13,896,5956.97142024,6.51,64.34999991,448.62,12.25714284,0.979020980390239,0,0.52142857,100,NA
2009,312,"Iowa","Adam Robinson",11,181,913.5801549,75.8,4.6,5.47709925,10,87.633588,7.3,8,24.0992367,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"89","Iowa",13,846,4789.1755842,5.17,38.33969475,336.31,12.04961835,1.8257839676723,0,0.59541985,110,NA
2010,312,"Iowa","Adam Robinson",10,203,958.453125,88.9,4.4,10.78125,24,312.65625,29,12.1,51.75,1.078125,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"57","Iowa",13,806,5366.90625,6.18,51.75,382.92,8.625,4.63768115942029,0,0.578125,110,NA
2003,129,"CMU","Adam Supianoski",4,0,0,0,0,0,4,14.77722765,3.8,3.8,4.92574255,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"69","Central Mich.",12,884,4381.94057248,5.03,37.43564338,370.67,2.95544553,9.13567843694957,0,0.48514851,116,NA
2004,47,"Ball","Adell Givens",10,202,910.47273165,96.3,4.8,5.6727273,13,129.52727335,13.7,10.5,44.43636385,0.94545455,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"96","Ball St.",11,768,3362.0363798,4.63,25.52727285,323.27,1.8909091,9.51923072346524,0,0.44545455,123,NA
2004,433,"Miss","Alan Abrams",10,56,284.82142975,27.5,4.9,0,4,26.92857154,2.6,6.5,15.53571435,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"77","Mississippi",11,789,3998.89287369,4.89,22.78571438,351,4.14285716,6.75862066168847,0,0.53571429,170,NA
