"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,457,"NC","A.J. Blue",6,18,35.91176457,5.5,1.8,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"108","North Carolina",13,845,4354.02939529,4.73,38.08823515,307.77,8.70588232,4.59459461197955,0,0.58823529,5,NA
2011,457,"NC","A.J. Blue",9,33,144.84732816,15.3,4.2,1.04961832,2,15.7442748,1.7,7.5,15.7442748,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"53","North Carolina",13,813,5365.64885184,6.29,51.43129768,393.23,7.34732824,5.71636363968952,0,0.54961832,5,NA
2012,457,"NC","A.J. Blue",12,82,412.64529785,36.1,5.3,8.57692305,9,76.239316,6.7,8.9,12.38888885,0.95299145,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"14","North Carolina",12,898,5553.08117915,6.49,59.0854699,485.58,7.6239316,4.19730943021577,0,0.45299145,5,NA
2004,67,"BC","A.J. Brooks",6,57,302.90366832,53.2,5.6,2.84862384,3,21.83944944,3.8,7.7,14.2431192,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"47","Boston College",12,875,4391.62842,5.29,35.13302736,385.42,8.54587152,3.15942030450746,0,0.44954128,6,NA
2005,67,"BC","A.J. Brooks",1,0,0,0,0,0,0,0,0,0,8.48,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"51","Boston College",12,865,4932.18,5.38,42.4,387.75,9.54,2.83018867924528,0,0.56,6,NA
2006,67,"BC","A.J. Brooks",5,19,70.85294106,13.2,3.5,1.07352941,1,22.54411761,4.2,21,22.54411761,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"50","Boston College",13,896,4942.52940364,5.14,45.08823522,354.15,10.7352941,2.79452055253894,0,0.57352941,6,NA
2007,67,"BC","A.J. Brooks",5,25,83.08620706,15.8,3.2,0,4,39.96551732,7.6,9.5,17.87931038,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"33","Boston College",14,1081,6258.81035714,5.51,54.68965528,425.07,11.56896554,2.85245901078205,0,0.55172414,6,NA
2009,96,"Fres","A.J. Ellis",1,2,7.02671753,7,3.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"17","Fresno St.",13,876,5618.36257363,6.39,56.21374024,430.54,8.03053432,4.9809886124738,0,0.50381679,10,NA
2010,96,"Fres","A.J. Ellis",8,76,255.02290176,32,3.4,2.98854963,13,92.64503853,11.6,7.2,26.89694667,1.99236642,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"70","Fresno St.",13,858,4799.61070578,5.62,44.82824445,370.62,7.96946568,5.01915706850751,0,0.49618321,10,NA
2011,96,"Fres","A.J. Ellis",2,2,0.95112782,0.5,0.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"37","Fresno St.",13,887,5092.33834828,6.04,46.60526318,411.85,3.80451128,9.46245058839726,0,0.45112782,10,NA
2003,503,"N Ill","A.J. Harris",10,65,233.14285792,27.2,4.2,1.71428572,8,30.0000001,3.5,4.4,9.42857146,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"60","Northern Ill.",12,858,3897.42858442,5.3,39.42857156,378.92,8.5714286,2.33333332555556,0,0.35714286,14,NA
2004,503,"N Ill","A.J. Harris",11,174,762.21818406,74.7,4.7,3.70909092,10,37.0909092,3.6,4,9.2727273,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"14","Northern Ill.",12,855,4882.09092345,6.16,49.14545469,438.75,8.34545457,3.23529410813149,0,0.42727273,14,NA
2005,503,"N Ill","A.J. Harris",9,58,351,39,6.1,5,11,97,10.8,8.8,16,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"16","Northern Ill.",12,815,5329,6.54,52,444.08,7,5,0,0.5,14,NA
2005,231,"FIU","A'mod Ned",6,88,NA,62.5,4.3,NA,13,NA,13.5,6.2,NA,NA,"RB",NA,0,NA,"0",NA,0,"0",NA,NA,NA,NA,"na","FIU",11,742,NA,4.83,NA,358.45,NA,NA,0,NA,1,NA
2006,231,"FIU","A'mod Ned",9,94,407.3461559,49.4,4.7,1.83076924,17,129.06923142,15.7,8.3,43.02307714,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"116","FIU",12,707,2560.33078214,3.96,13.7307693,233.08,0,13.109243631382,0,0.41538462,1,NA
2007,231,"FIU","A'mod Ned",11,143,563.39393957,52.8,4.1,1.93939394,16,99.87878791,9.4,6.4,37.81818183,0.96969697,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"118","FIU",12,777,3137.93939492,4.16,22.30303031,269.67,0.96969697,11.3437499964551,0,0.46969697,1,NA
2008,231,"FIU","A'mod Ned",10,79,240.15625,26.5,3.4,2.71875,11,77.9375,8.6,7.8,21.75,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"96","FIU",12,771,3446.46875,4.93,33.53125,316.92,4.53125,7.72413793103448,0,0.40625,1,NA
2006,5,"Akrn","Aaris Reed",1,5,24.05970138,26,5.2,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"93","Akron",12,749,3447.01490925,4.97,29.61194016,310.42,4.62686565,7.56451616441467,0,0.42537313,27,NA
2005,698,"TCU","Aaron Brown",10,128,748.75609904,75.8,5.9,5.92682928,11,144.21951248,14.6,13.3,34.5731708,2.96341464,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"41","TCU",12,915,4740.47561912,5.24,49.390244,399.92,10.86585368,1.01234567701265,0,0.48780488,33,2
2006,698,"TCU","Aaron Brown",12,154,757.1953125,66.8,5.2,8.5078125,34,430.1171875,37.9,13.4,79.40625,0.9453125,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"17","TCU",13,909,5019.609375,5.84,43.484375,408.46,10.3984375,2.11570247933884,0,0.4453125,33,2
