"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2006,416,"MI St","A.J. Jimmerson",10,37,138.3969468,14,3.8,1.97709924,12,62.27862606,6.3,5.3,34.5992367,1.97709924,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"48","Michigan St.",12,804,4231.98092322,5.32,36.57633594,356.75,3.95419848,8.09266407891594,0,0.48854962,17,NA
2007,416,"MI St","A.J. Jimmerson",3,12,54.03146856,17,4.3,0,2,14.83216784,4.7,7,9.53496504,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"42","Michigan St.",13,973,5740.04895408,5.57,58.2692308,416.77,7.41608392,5.66336633364311,0,0.55944056,17,NA
2008,416,"MI St","A.J. Jimmerson",4,8,14.7342657,3.5,1.8,0,1,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"74","Michigan St.",13,910,4699.17831075,4.91,38.94055935,343.46,9.47202795,3.800664460666,0,0.55244755,17,NA
2009,416,"MI St","A.J. Jimmerson",2,4,10.6923077,5,2.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"38","Michigan St.",13,842,5646.60769637,6.27,50.25384619,406.23,6.41538462,6.54676258521816,0,0.56923077,17,NA
2007,700,"TX Tch","Aaron Crawford",8,54,214,26.8,4,4,38,246,30.8,6.5,30,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"2","Texas Tech",13,1009,6885,6.82,70,529.62,9,4,0,0.5,37,NA
2008,700,"TX Tch","Aaron Crawford",2,8,28.0413224,13,3.3,1.0785124,2,1.0785124,0.5,0.5,5.392562,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"4","Texas Tech",13,979,7444.9710972,7.05,85.2024796,531,11.8636364,1.8544061245842,0,0.5785124,37,NA
2009,700,"TX Tch","Aaron Crawford",2,1,-1.00746269,-0.5,-1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"4","Texas Tech",13,988,6165.6716628,6.19,64.47761216,470.77,9.06716421,3.9703703568417,0,0.50746269,37,NA
2010,700,"TX Tch","Aaron Crawford",8,19,112.39999992,13.5,5.7,1.04074074,4,40.58888886,4.9,9.8,15.6111111,1.04074074,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"15","Texas Tech",13,1054,6226.75184742,5.68,59.32222218,460.23,8.32592592,4.80427046605286,0,0.54074074,37,NA
2011,700,"TX Tch","Aaron Crawford",9,87,353.472,37.3,3.9,1.052,12,83.108,8.8,6.6,15.78,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"13","Texas Tech",12,991,5940.644,5.7,54.704,470.58,5.26,6.65399239543726,0,0.552,37,NA
2011,463,"Neb","Aaron Green",8,24,115.5,13.1,4.4,2.2,1,27.5,3.1,25,27.5,1.1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"66","Nebraska",13,904,5432.9,5.46,50.6,379.92,9.9,3.63636363636364,0,0.6,43,NA
