"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,312,"Iowa","A.J. Johnson",6,22,63,10.5,2.9,1,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"92","Iowa",13,855,4343,5.08,45,334.08,10,3,0,0.55102041,19,NA
2006,719,"Tuls","Aaron Johnson",1,2,1,1,0.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"24","Tulsa",13,849,5051,5.95,47,388.54,8,5,0,0.51851852,50,NA
2007,719,"Tuls","Aaron Johnson",2,3,13,6.5,4.3,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"1","Tulsa",14,1126,7615,6.76,79,543.93,10,4,0,0.46710526,50,NA
2008,719,"Tuls","Aaron Johnson",4,14,73,18.3,5.2,1,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"1","Tulsa",14,1097,7978,7.27,90,569.86,11,3,0,0.41549296,50,NA
2010,518,"OH St","Adam Homan",2,0,0,0,0,0,3,18,9,6,7,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"20","Ohio St.",13,896,5832,6.51,63,448.62,12,1,0,0.52142857,100,NA
2009,312,"Iowa","Adam Robinson",11,181,834,75.8,4.6,5,10,80,7.3,8,22,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"89","Iowa",13,846,4372,5.17,35,336.31,11,2,0,0.59541985,110,NA
2010,312,"Iowa","Adam Robinson",10,203,889,88.9,4.4,10,24,290,29,12.1,48,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"57","Iowa",13,806,4978,6.18,48,382.92,8,5,0,0.578125,110,NA
2003,129,"CMU","Adam Supianoski",4,0,0,0,0,0,4,15,3.8,3.8,5,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"69","Central Mich.",12,884,4448,5.03,38,370.67,3,9,0,0.48514851,116,NA
2004,47,"Ball","Adell Givens",10,202,963,96.3,4.8,6,13,137,13.7,10.5,47,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"96","Ball St.",11,768,3556,4.63,27,323.27,2,9,0,0.44545455,123,NA
2004,433,"Miss","Alan Abrams",10,56,275,27.5,4.9,0,4,26,2.6,6.5,15,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"77","Mississippi",11,789,3861,4.89,22,351,4,7,0,0.53571429,170,NA
2005,433,"Miss","Alan Abrams",3,14,28,9.3,2,0,1,5,1.7,5,5,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"111","Mississippi",11,703,3099,4.41,17,281.73,3,8,0,0.46938776,170,NA
2012,392,"Md","Albert Reid",9,36,92,10.2,2.6,0,3,16,1.8,5.3,11,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"120","Maryland",12,776,3417,4.4,30,284.75,4,8,0,0.45689655,177,NA
2009,277,"Haw","Alex Green",13,86,453,34.8,5.3,2,11,98,7.5,8.9,32,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"14","Hawaii",13,861,5687,6.61,37,437.46,6,7,0,0.46212121,196,5
2010,277,"Haw","Alex Green",14,146,1163,83.1,8,18,27,368,26.3,13.6,66,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"6","Hawaii",14,926,7009,7.57,72,500.64,10,4,0,0.49305556,196,5
2003,306,"Ind","Alex Stscherban",2,0,0,0,0,0,2,14,7,7,9,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"98","Indiana",12,885,3861,4.36,20,321.75,2,10,0,0.51612903,216,NA
2003,688,"Syra","Alexander Ridore",1,1,4,4,4,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"70","Syracuse",12,820,4437,5.41,41,369.75,6,6,0,0.5,223,NA
2010,365,"LSU","Alfred Blue",5,20,101,20.2,5.1,1,1,1,0.2,1,1,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"86","LSU",13,839,4437,5.29,43,341.31,11,2,0,0.6259542,228,NA
2011,365,"LSU","Alfred Blue",11,78,539,49,6.9,7,3,2,0.2,0.7,2,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"86","LSU",14,870,4971,5.71,65,355.07,13,1,0,0.67625899,228,NA
2012,365,"LSU","Alfred Blue",3,40,270,90,6.8,2,7,45,15,6.4,14,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"85","LSU",13,883,4865,5.51,46,374.23,10,3,0,0.59375,228,NA
2003,365,"LSU","Alley Broussard",9,85,389,43.2,4.6,4,1,5,0.6,5,5,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"31","LSU",14,994,5857,5.89,63,418.36,13,1,0,0.57432432,248,NA
2004,365,"LSU","Alley Broussard",12,142,867,72.3,6.1,10,1,10,0.8,10,10,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"38","LSU",12,825,4747,5.75,43,395.58,9,3,0,0.56910569,248,NA
2006,365,"LSU","Alley Broussard",10,74,281,28.1,3.8,4,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"11","LSU",13,818,5427,6.63,59,417.46,11,2,0,0.5862069,248,NA
2004,529,"Ore","Andiel Brown",2,13,47,23.5,3.6,0,1,22,11,22,22,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"37","Oregon",11,817,4367,5.35,37,397,5,6,0,0.48275862,276,NA
2005,529,"Ore","Andiel Brown",1,1,1,1,1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"18","Oregon",11,909,5266,5.79,49,438.83,10,1,0,0.54054054,276,NA
2006,529,"Ore","Andiel Brown",4,10,52,13,5.2,1,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"9","Oregon",13,958,5497,5.74,48,422.85,7,6,0,0.57664234,276,NA
2007,529,"Ore","Andiel Brown",2,2,2,1,1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"10","Oregon",13,1028,6078,5.91,62,467.54,9,4,0,0.59183673,276,NA
2006,529,"Ore","Andre Crenshaw",2,5,15,7.5,3,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"9","Oregon",13,958,5497,5.74,48,422.85,7,6,0,0.57664234,289,NA
2007,529,"Ore","Andre Crenshaw",13,82,415,31.9,5.1,4,4,17,1.3,4.3,7,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"10","Oregon",13,1028,6078,5.91,62,467.54,9,4,0,0.59183673,289,NA
2008,529,"Ore","Andre Crenshaw",5,23,121,24.2,5.3,1,2,29,5.8,14.5,31,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"7","Oregon",13,958,6303,6.58,71,484.85,10,3,0,0.51034483,289,NA
2009,529,"Ore","Andre Crenshaw",9,50,152,16.9,3,3,3,26,2.9,8.7,15,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"33","Oregon",13,885,5356,6.05,60,412,10,3,0,0.60810811,289,NA
2007,164,"Conn","Andre Dixon",11,167,828,75.3,5,3,24,280,25.5,11.7,36,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"90","Connecticut",13,895,4513,5.04,40,347.15,9,4,0,0.51879699,292,NA
2008,164,"Conn","Andre Dixon",5,9,37,7.4,4.1,0,2,8,1.6,4,5,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"62","Connecticut",13,885,4629,5.23,37,356.08,8,5,0,0.52272727,292,NA
2009,164,"Conn","Andre Dixon",13,239,1093,84.1,4.6,14,11,112,8.6,10.2,27,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"57","Connecticut",13,903,5034,5.57,52,387.23,8,5,0,0.55905512,292,NA
2012,71,"BGSU","Andre Givens",6,20,134,22.3,6.7,1,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"91","Bowling Green",13,895,4751,5.31,39,365.46,8,5,0,0.4453125,297,NA
2004,651,"S Fla","Andre Hall",11,210,1357,123.4,6.5,11,18,149,13.5,8.3,30,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"74","South Fla.",11,751,3886,5.17,35,353.27,4,7,0,0.51923077,298,3
2005,651,"S Fla","Andre Hall",12,270,1374,114.5,5.1,13,26,321,26.8,12.3,76,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"79","South Fla.",12,882,4171,4.73,35,347.58,6,6,0,0.58035714,298,3
2006,37,"Aub","Andrew Turman",1,1,1,1,1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"76","Auburn",13,752,4172,5.55,37,320.92,11,2,0,0.56164384,357,NA
2006,331,"Kent","Andy Jayjack",1,1,-1,-1,-1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"75","Kent St.",12,753,3859,5.12,30,321.58,6,6,0,0.32307692,373,NA
2006,528,"OR St","Andy Stewart",1,0,0,0,0,0,1,6,6,6,6,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"45","Oregon St.",14,899,5048,5.62,46,360.57,10,4,0,0.58333333,379,NA
2007,528,"OR St","Andy Stewart",8,12,19,2.4,1.6,2,2,13,1.6,6.5,11,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"78","Oregon St.",13,979,4831,4.93,43,371.62,9,4,0,0.57246377,379,NA
2007,328,"Kan","Angus Quigley",3,17,98,32.7,5.8,2,2,14,4.7,7,11,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"8","Kansas",13,988,6237,6.31,72,479.77,12,1,0,0.49242424,386,NA
2008,328,"Kan","Angus Quigley",10,59,309,30.9,5.2,3,17,82,8.2,4.8,14,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"21","Kansas",13,945,5621,5.95,57,432.38,8,5,0,0.59848485,386,NA
2010,328,"Kan","Angus Quigley",11,71,261,23.7,3.7,1,15,164,14.9,10.9,43,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"113","Kansas",12,823,3557,4.32,26,296.42,3,9,0,0.52459016,386,NA
2006,430,"MS St","Anthony Dixon",12,169,668,55.7,4,9,4,42,3.5,10.5,20,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"103","Mississippi St.",12,754,3442,4.56,29,286.83,3,9,0,0.56451613,409,3
2007,430,"MS St","Anthony Dixon",13,287,1066,82,3.7,14,14,167,12.8,11.9,53,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"113","Mississippi St.",13,880,3863,4.39,36,297.15,8,5,0,0.57037037,409,3
2008,430,"MS St","Anthony Dixon",12,197,869,72.4,4.4,7,20,117,9.8,5.9,16,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"113","Mississippi St.",12,782,3299,4.22,23,274.92,4,8,0,0.52892562,409,3
2009,430,"MS St","Anthony Dixon",11,257,1391,126.5,5.4,12,18,123,11.2,6.8,18,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"65","Mississippi St.",12,821,4463,5.44,37,371.92,5,7,0,0.672,409,3
2005,716,"Troy","Anthony Jones",6,33,173,28.8,5.2,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"109","Troy",11,728,3136,4.31,20,285.09,4,7,0,0.3814433,424,NA
2006,716,"Troy","Anthony Jones",12,52,264,22,5.1,2,6,39,3.3,6.5,20,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"77","Troy",13,844,4159,4.93,38,319.92,8,5,0,0.41353383,424,NA
2003,51,"Bayl","Anthony Krieg",11,56,222,20.2,4,1,5,32,2.9,6.4,11,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"114","Baylor",12,822,3377,4.11,24,281.42,3,9,0,0.51968504,428,NA
2004,51,"Bayl","Anthony Krieg",10,121,460,46,3.8,1,16,80,8,5,16,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"102","Baylor",11,761,3430,4.51,27,311.82,3,8,0,0.61682243,428,NA
2011,331,"Kent","Anthony Meray",8,66,244,30.5,3.7,2,3,4,0.5,1.3,3,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"119","Kent St.",12,779,3042,3.91,24,253.5,5,7,0,0.52542373,437,NA
2012,331,"Kent","Anthony Meray",5,9,8,1.6,0.9,0,1,7,1.4,7,7,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"73","Kent St.",14,942,5436,5.77,58,388.29,11,3,0,0.45652174,437,NA
2003,204,"EMU","Anthony Sherrell",12,338,1531,127.6,4.5,12,44,304,25.3,6.9,68,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"116","Eastern Mich.",12,781,3246,4.16,23,270.5,3,9,0,0.48,453,NA
2004,204,"EMU","Anthony Sherrell",11,194,854,77.6,4.4,11,20,183,16.6,9.2,33,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"21","Eastern Mich.",11,877,4707,5.37,37,427.91,4,7,0,0.3960396,453,NA
