"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2009,457,"NC","A.J. Blue",6,18,33,5.5,1.8,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"108","North Carolina",13,845,4001,4.73,35,307.77,8,5,0,0.58823529,5,NA
2011,457,"NC","A.J. Blue",9,33,138,15.3,4.2,1,2,15,1.7,7.5,15,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"53","North Carolina",13,813,5112,6.29,49,393.23,7,6,0,0.54961832,5,NA
2012,457,"NC","A.J. Blue",12,82,433,36.1,5.3,9,9,80,6.7,8.9,13,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"14","North Carolina",12,898,5827,6.49,62,485.58,8,4,0,0.45299145,5,NA
2004,67,"BC","A.J. Brooks",6,57,319,53.2,5.6,3,3,23,3.8,7.7,15,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"47","Boston College",12,875,4625,5.29,37,385.42,9,3,0,0.44954128,6,NA
2005,67,"BC","A.J. Brooks",1,0,0,0,0,0,0,0,0,0,8,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"51","Boston College",12,865,4653,5.38,40,387.75,9,3,0,0.56,6,NA
2006,67,"BC","A.J. Brooks",5,19,66,13.2,3.5,1,1,21,4.2,21,21,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"50","Boston College",13,896,4604,5.14,42,354.15,10,3,0,0.57352941,6,NA
2007,67,"BC","A.J. Brooks",5,25,79,15.8,3.2,0,4,38,7.6,9.5,17,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"33","Boston College",14,1081,5951,5.51,52,425.07,11,3,0,0.55172414,6,NA
2009,96,"Fres","A.J. Ellis",1,2,7,7,3.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"17","Fresno St.",13,876,5597,6.39,56,430.54,8,5,0,0.50381679,10,NA
2010,96,"Fres","A.J. Ellis",8,76,256,32,3.4,3,13,93,11.6,7.2,27,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"70","Fresno St.",13,858,4818,5.62,45,370.62,8,5,0,0.49618321,10,NA
2011,96,"Fres","A.J. Ellis",2,2,1,0.5,0.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"37","Fresno St.",13,887,5354,6.04,49,411.85,4,9,0,0.45112782,10,NA
2003,503,"N Ill","A.J. Harris",10,65,272,27.2,4.2,2,8,35,3.5,4.4,11,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"60","Northern Ill.",12,858,4547,5.3,46,378.92,10,2,0,0.35714286,14,NA
2004,503,"N Ill","A.J. Harris",11,174,822,74.7,4.7,4,10,40,3.6,4,10,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"14","Northern Ill.",12,855,5265,6.16,53,438.75,9,3,0,0.42727273,14,NA
2005,503,"N Ill","A.J. Harris",9,58,351,39,6.1,5,11,97,10.8,8.8,16,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"16","Northern Ill.",12,815,5329,6.54,52,444.08,7,5,0,0.5,14,NA
2005,231,"FIU","A'mod Ned",6,88,375,62.5,4.3,3,13,81,13.5,6.2,17,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"na","FIU",11,742,3943,4.83,32,358.45,5,6,0,NA,1,NA
2006,231,"FIU","A'mod Ned",9,94,445,49.4,4.7,2,17,141,15.7,8.3,47,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"116","FIU",12,707,2797,3.96,15,233.08,0,12,0,0.41538462,1,NA
2007,231,"FIU","A'mod Ned",11,143,581,52.8,4.1,2,16,103,9.4,6.4,39,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"118","FIU",12,777,3236,4.16,23,269.67,1,11,0,0.46969697,1,NA
