"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2006,416,"MI St","A.J. Jimmerson",10,37,140,14,3.8,2,12,63,6.3,5.3,35,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"48","Michigan St.",12,804,4281,5.32,37,356.75,4,8,0,0.48854962,17,NA
2007,416,"MI St","A.J. Jimmerson",3,12,51,17,4.3,0,2,14,4.7,7,9,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"42","Michigan St.",13,973,5418,5.57,55,416.77,7,6,0,0.55944056,17,NA
2008,416,"MI St","A.J. Jimmerson",4,8,14,3.5,1.8,0,1,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"74","Michigan St.",13,910,4465,4.91,37,343.46,9,4,0,0.55244755,17,NA
2009,416,"MI St","A.J. Jimmerson",2,4,10,5,2.5,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"38","Michigan St.",13,842,5281,6.27,47,406.23,6,7,0,0.56923077,17,NA
2007,700,"TX Tch","Aaron Crawford",8,54,214,26.8,4,4,38,246,30.8,6.5,30,2,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"2","Texas Tech",13,1009,6885,6.82,70,529.62,9,4,0,0.5,37,NA
2008,700,"TX Tch","Aaron Crawford",2,8,26,13,3.3,1,2,1,0.5,0.5,5,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"4","Texas Tech",13,979,6903,7.05,79,531,11,2,0,0.5785124,37,NA
2009,700,"TX Tch","Aaron Crawford",2,1,-1,-0.5,-1,0,0,0,0,0,0,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"4","Texas Tech",13,988,6120,6.19,64,470.77,9,4,0,0.50746269,37,NA
2010,700,"TX Tch","Aaron Crawford",8,19,108,13.5,5.7,1,4,39,4.9,9.8,15,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"15","Texas Tech",13,1054,5983,5.68,57,460.23,8,5,0,0.54074074,37,NA
2011,700,"TX Tch","Aaron Crawford",9,87,336,37.3,3.9,1,12,79,8.8,6.6,15,0,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"13","Texas Tech",12,991,5647,5.7,52,470.58,5,7,0,0.552,37,NA
2011,463,"Neb","Aaron Green",8,24,105,13.1,4.4,2,1,25,3.1,25,25,1,"RB",0,0,0,"0",0,0,"0",0,0,0,0,"66","Nebraska",13,904,4939,5.46,46,379.92,9,4,0,0.6,43,NA
