"Code","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Percentage","PlayerID","AV"
204,"A.J. Bennett",29,10,24.37721652,0.840593673103448,2.437721652,0.8960396,110,1089.79926994,37.5792851703448,9.90726609036364,108.97823052,5.51170536,"WR",0,0,0,NA,0,0,NA,0,0,0,0,51.6666666666667,"Eastern Mich.",34,2439,10937.0327819,4.48422828286183,80.80094178,321.677434761765,10.24378456,24.523466407648,0.43531538,4,NA
96,"A.J. Johnson",16,1,6.97328247,0.435830154375,6.97328247,0,28,386.55383789,24.159614868125,13.8054942103571,79.20897677,0.99618321,"WR",0,0,0,NA,0,0,NA,0,0,0,0,70.5,"Fresno St.",26,1745,9891.94905406,5.66873871292837,91.43350763,380.459579002308,11.77397696,14.4816076569048,0.473655515,18,NA
334,"Aaron Boyd",10,0,0,0,NA,0,30,310.69863047,31.069863047,10.3566210156667,44.82287361,2.21666666,"WR",0,0,0,NA,0,0,NA,0,0,0,0,16,"Kentucky",37,2413,11354.69898681,4.70563571769996,89.29321987,306.88375640027,14.49181307,21.7589489158982,0.5504138,31,NA
700,"Aaron Fisher",4,0,0,0,NA,0,6,74.59066666,18.647666665,12.4317777766667,30.40666666,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,27,"Texas Tech",25,2045,12167.39584742,5.94982682025428,114.02622218,486.6958338968,13.58592592,11.4582628614901,0.54637037,40,NA
428,"Aaron Hosack",11,0,0,0,NA,0,51,776.9999963,70.6363633,15.235294045098,76.363636,7.6363636,"WR",0,0,0,NA,0,0,NA,0,0,0,0,55,"Minnesota",13,970,6137.7272435,6.32755385927835,62.9999997,472.132864884615,9.5454545,3.14285715782313,0.45454545,46,NA
28,"Aaron Pflugrad",23,1,3.16363635,0.137549406521739,3.16363635,0,73,1026.83351295,44.6449353456522,14.0662125061644,108.79782885,7.2210312,"WR",0,0,0,NA,0,0,NA,0,0,0,0,41,"Arizona St.",25,1827,11311.3569663,6.19121891970443,106.8495249,452.454278652,12.46160106,12.5363705234063,0.538466755,64,NA
688,"Aaron Weaver",2,1,-6.82203389,-3.411016945,-6.82203389,0,6,85.76271176,42.88135588,14.2937852933333,31.18644064,0.97457627,"WR",0,0,0,NA,0,0,NA,0,0,0,0,118,"Syracuse",13,812,4090.29660519,5.03731109013547,33.13559318,314.638200399231,7.79661016,5.13043478885444,0.47457627,77,NA
472,"Adam Shapiro",2,0,0,0,NA,0,2,13.9473684,6.9736842,6.9736842,11.15789472,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,5,"New Mexico St.",12,791,3741.61402944,4.73023265415929,28.82456136,311.80116912,0.92982456,11.8301886971022,0.42982456,114,NA
392,"Adrian Cannon",28,1,5,0.178571428571429,5,0,86,943.55420653,33.6983645189286,10.9715605410465,162.68218051,6.04739703,"WR",0,0,0,NA,0,0,NA,0,0,0,0,76,"Maryland",51,3336,17807.36686903,5.33793970894185,157.48386404,349.16405625549,25.628749,25.3957539007956,0.5243848725,131,NA
366,"Ahmad Paige",6,0,0,0,NA,0,16,225.89344337,37.6489072283333,14.118340210625,33.31147552,2.08196722,"WR",0,0,0,NA,0,0,NA,0,0,0,0,65,"Louisiana Tech",12,890,4869.72132758,5.4715969972809,41.6393444,405.810110631667,5.20491805,6.72440942658069,0.54098361,145,NA
