"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2010,428,"Minn","A.J. Barker",1,0,0,0,NA,0,1,18.8658537,18.8658537,18.8658537,18.8658537,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"77","Minnesota",12,825,4811.9024496,5.83260902981818,38.8414635,400.9918708,3.3292683,8.10989009206618,0,0.6097561,3,NA
2012,428,"Minn","A.J. Barker",8,0,0,0,NA,0,30,553.13909974,69.1423874675,18.4379699913333,60.39473706,6.71052634,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"108","Minnesota",13,847,4005.22557836,4.72871969109799,33.5526317,308.094275258462,5.75187972,7.3019607579694,0,0.45864662,3,NA
2004,257,"Ga","A.J. Bryant",3,0,0,0,NA,0,3,64.50000026,21.5000000866667,21.5000000866667,37.81034498,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"31","Georgia",12,826,5397.98278038,6.53508811184019,45.59482777,449.831898365,11.1206897,1.79844960515354,0,0.61206897,7,NA
2005,257,"Ga","A.J. Bryant",5,1,2.18461538,0.436923076,2.18461538,0,5,91.75384596,18.350769192,18.350769192,37.13846146,2.18461538,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"49","Georgia",13,818,5554.38460365,6.79020122695599,49.15384605,427.260354126923,10.9230769,2.74647887904186,0,0.59230769,7,NA
2006,257,"Ga","A.J. Bryant",8,1,-2.0909091,-0.2613636375,-2.0909091,0,14,262.40909205,32.80113650625,18.743506575,55.40909115,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"90","Georgia",13,768,4237.22729115,5.51722303535156,41.818182,325.940560857692,9.40909095,3.82608693988658,0,0.54545455,7,NA
2007,257,"Ga","A.J. Bryant",2,1,22.0610688,11.0305344,22.0610688,0,0,0,0,NA,0,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"74","Georgia",13,874,5386.20994752,6.16271161043478,58.46183232,414.323842116923,12.13358784,1.81314878089678,0,0.60305344,7,NA
2012,334,"UK","A.J. Legree",6,0,0,0,NA,0,12,125.24166629,20.8736110483333,10.4368055241667,22.1666666,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"113","Kentucky",12,790,4189.4999874,5.30316454101266,29.92499991,349.12499895,2.21666666,9.02255641811295,0,0.60833333,20,NA
2010,66,"Bois","Aaron Burks",5,0,0,0,NA,0,6,60.01388876,12.002777752,10.0023147933333,16.55555552,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"2","Boise St.",13,910,7012.31248494,7.70583789553846,79.67361094,539.408652687692,12.41666664,0.966442955095717,0,0.53472222,35,NA
2011,66,"Bois","Aaron Burks",4,0,0,0,NA,0,6,57.80281707,14.4507042675,9.633802845,11.15492961,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"9","Boise St.",13,969,6345.12677907,6.54811845105263,82.14084531,488.086675313077,12.16901412,0.986111108234954,0,0.51408451,35,NA
2012,66,"Bois","Aaron Burks",8,0,0,0,NA,0,17,291.65714149,36.45714268625,17.1563024405882,48.45714263,0.91428571,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"68","Boise St.",13,872,4650.97140677,5.3336828059289,45.7142855,357.76703129,10.05714281,2.18750001025391,0,0.41428571,35,NA
2009,388,"Mrsh","Aaron Dobson",5,0,0,0,NA,0,15,362,72.4,24.1333333333333,48,4,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"81","Marshall",13,875,4538,5.18628571428571,34,349.076923076923,7,6,0,0.5,38,NA
2010,388,"Mrsh","Aaron Dobson",11,2,17.53333326,1.59393938727273,8.76666663,0,44,671.13703423,61.0124576572727,15.2531144143182,93.51111072,4.87037035,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"103","Marshall",12,766,3673.23331797,4.79534375714099,32.14444431,306.1027764975,4.87037035,7.18631181712906,0,0.47407407,38,NA
