"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2008,234,"FL St","A.J. Alexander",1,0,0,0,NA,0,0,0,0,NA,0,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"51","Florida St.",13,870,5309.47543044,6.10284532234483,56.01639366,408.421186956923,9.88524594,3.6417910306438,0,0.59836066,2,NA
2010,234,"FL St","A.J. Alexander",3,3,6.5172414,2.1724138,2.1724138,0,2,19.5517242,6.5172414,9.7758621,19.5517242,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"60","Florida St.",14,897,5798.1724322,6.46396034804905,57.5689657,414.155173728571,9.7758621,3.68253967084908,0,0.5862069,2,NA
2009,288,"Hous","A.J. Dugat",8,1,14.3571429,1.7946428625,14.3571429,0,14,162.7142862,20.339285775,11.6224490142857,32.54285724,0.95714286,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"1","Houston",14,1150,7548.98573682,6.56433542332174,73.70000022,539.213266915714,9.5714286,4.179104465137,0,0.45714286,9,NA
2008,257,"Ga","A.J. Green",13,4,68.28358239,5.25258326076923,17.0708955975,0,56,1077.98507937,82.9219291823077,19.2497335601786,60.44776146,8.95522392,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"22","Georgia",13,826,6199.25375862,7.50514982883777,58.20895548,476.86567374,11.1940299,2.679999988208,0,0.61940299,12,23
2009,257,"Ga","A.J. Green",10,0,0,0,NA,0,53,864.85925896,86.485925896,16.3180992256604,69.57407405,6.42222222,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"75","Georgia",13,793,5039.30370196,6.3547335459773,48.16666665,387.638746304615,8.56296296,4.67128027843297,0,0.57037037,12,23
2010,257,"Ga","A.J. Green",9,3,43.71111108,4.85679012,14.57037036,0,57,882.54814752,98.06090528,15.4833008336842,52.037037,9.36666666,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"56","Georgia",13,814,5208.9074037,6.39914914459459,53.07777774,400.6851849,6.24444444,6.72597865247401,0,0.54074074,12,23
2007,128,"UCF","A.J. Guyton",7,0,0,0,NA,0,23,252.17320359,36.02474337,10.96405233,38.87254917,1.99346406,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"45","UCF",14,1016,5744.16668889,5.65370737095472,61.79738586,410.297620635,9.9673203,4.01311473857221,0,0.49673203,13,NA
2009,128,"UCF","A.J. Guyton",12,3,30,2.5,10,0,44,572,47.6666666666667,13,76,1,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"87","UCF",13,859,4431,5.15832363213038,43,340.846153846154,8,5,0,0.5,13,NA
2010,128,"UCF","A.J. Guyton",10,5,-4.52797205,-0.452797205,-0.90559441,0,28,319.67482673,31.967482673,11.4169580975,39.84615404,2.71678323,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"65","UCF",14,898,4741.69233076,5.28028099193764,54.3356646,338.69230934,9.96153851,3.31274129662527,0,0.40559441,13,NA
2011,128,"UCF","A.J. Guyton",9,0,0,0,NA,0,27,397.37705024,44.1530055822222,14.7176685274074,57.04918048,0.98360656,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"40","UCF",12,812,4800.98361936,5.91254140315271,39.3442624,400.08196828,4.9180328,7.11666664768889,0,0.48360656,13,NA
2005,472,"NM St","A.J. Harris",10,1,17.352,1.7352,17.352,0,38,428.98,42.898,11.2889473684211,46.272,3.856,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"82","New Mexico St.",12,894,3984.212,4.4566129753915,25.064,332.017666666667,0,12.448132780083,0,0.464,15,NA
2006,472,"NM St","A.J. Harris",12,3,22.06756758,1.838963965,7.35585586,0,70,757.01351394,63.084459495,10.8144787705714,64.28378382,6.71621622,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"3","New Mexico St.",12,930,5470.83784092,5.88262133432258,50.85135138,455.90315341,3.83783784,8.3380281643166,0,0.45945946,15,NA
2007,472,"NM St","A.J. Harris",12,2,-4.7413793,-0.395114941666667,-2.37068965,0,81,579.39655046,48.2830458716667,7.15304383283951,30.34482752,1.89655172,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"35","New Mexico St.",13,993,5220.2586093,5.25705801540786,37.9310344,401.558354561539,3.79310344,9.49090911161653,0,0.44827586,15,NA
2008,472,"NM St","A.J. Harris",12,2,-0.95081967,-0.0792349725,-0.475409835,0,78,677.93442471,56.4945353925,8.69146698346154,79.86885228,2.85245901,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"64","New Mexico St.",12,810,4057.14753189,5.00882411344444,33.27868845,338.0956276575,2.85245901,9.46551726259512,0,0.45081967,15,NA
2008,301,"Ill","A.J. Jenkins",11,0,0,0,NA,0,11,304.78925589,27.7081141718182,27.7081141718182,57.34710738,3.18595041,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"19","Illinois",12,853,5592.40495302,6.55616055453693,45.66528921,466.033746085,5.30991735,6.59143969538434,0,0.56198347,16,0
2009,301,"Ill","A.J. Jenkins",6,1,-1.05,-0.175,-1.05,0,10,129.15,21.525,12.915,31.5,1.05,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"47","Illinois",12,828,4958.1,5.98804347826087,39.9,413.175,3.15,8.57142857142857,0,0.55,16,0
2010,301,"Ill","A.J. Jenkins",13,0,0,0,NA,0,56,805.79389182,61.9841455246154,14.3891766396429,58.32824418,7.56106869,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"45","Illinois",13,903,5575.74808254,6.17469333614618,54.0076335,428.903698656923,7.56106869,5.55477032705016,0,0.58015267,16,0
2011,301,"Ill","A.J. Jenkins",13,5,26.28888886,2.02222222,5.257777772,0,90,1290.17777636,99.2444443353846,14.3353086262222,77.85555547,8.08888888,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"85","Illinois",13,912,4675.37777264,5.12651071561403,38.42222218,359.644444049231,7.07777777,5.93406594058689,0,0.51111111,16,0
2007,651,"S Fla","A.J. Love",4,0,0,0,NA,0,8,121.76865723,30.4421643075,15.22108215375,39.49253748,1.09701493,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"43","South Fla.",13,991,5905.23136819,5.95886111825429,61.43283608,454.248566783846,9.87313437,3.64625848802258,0,0.59701493,21,NA
2008,651,"S Fla","A.J. Love",12,2,15.1717557,1.264312975,7.58587785,0,31,374.2366406,31.1863867166667,12.0721496967742,38.43511444,2.02290076,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"32","South Fla.",13,925,5325.2862507,5.75706621697297,44.50381672,409.6374039,8.09160304,4.943396234623,0,0.51145038,21,NA
2009,651,"S Fla","A.J. Love",10,1,12.46153848,1.246153848,12.46153848,0,26,507.80769306,50.780769306,19.5310651176923,47.76923084,4.15384616,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"71","South Fla.",13,805,4935.80769962,6.13143813617391,45.69230776,379.677515355385,8.30769232,4.81481480768176,0,0.53846154,21,NA
2011,651,"S Fla","A.J. Love",7,0,0,0,NA,0,9,124.0677963,17.7239709,13.7853107,43.72881345,1.01694915,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"30","South Fla.",12,910,5281.01693595,5.80331531423077,42.7118643,440.0847446625,5.08474575,6.88333335054167,0,0.51694915,21,NA
