"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,204,"EMU","A.J. Bennett",8,1,2.94,0.3675,2.94,0,14,229.32,28.665,16.38,33.32,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"116","Eastern Mich.",12,781,3181.08,4.07308578745198,22.54,265.09,2.94,9.18367346938776,0,0.48,4,NA
2004,204,"EMU","A.J. Bennett",11,3,23.2970296,2.11791178181818,7.76567653333333,0.8960396,36,385.297028,35.0270025454545,10.7026952222222,40.321782,1.7920792,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"21","Eastern Mich.",11,877,4217.6583972,4.80918859429875,33.1534652,383.423490654545,3.5841584,7.81215473066146,0,0.3960396,4,NA
2005,204,"EMU","A.J. Bennett",10,6,-1.85981308,-0.185981308,-0.309968846666667,0,60,475.18224194,47.518224194,7.91970403233333,35.33644852,3.71962616,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"80","Eastern Mich.",11,781,3538.2943847,4.53046656171575,25.10747658,321.663125881818,3.71962616,7.5276382075988,0,0.42990654,4,NA
2010,96,"Fres","A.J. Johnson",9,1,6.97328247,0.774809163333333,6.97328247,0,20,240.08015361,26.6755726233333,12.0040076805,26.89694667,0.99618321,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"70","Fresno St.",13,858,4799.61070578,5.59395187153846,44.82824445,369.200823521538,7.96946568,5.01915706850751,0,0.49618321,18,NA
2011,96,"Fres","A.J. Johnson",7,0,0,0,NA,0,8,146.47368428,20.92481204,18.309210535,52.3120301,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"37","Fresno St.",13,887,5092.33834828,5.74108043774521,46.60526318,391.718334483077,3.80451128,9.46245058839726,0,0.45112782,18,NA
2008,334,"UK","Aaron Boyd",3,0,0,0,NA,0,5,47.39393938,15.7979797933333,9.478787876,16.48484848,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"106","Kentucky",13,859,4008.90908973,4.6669488821071,37.09090908,308.377622286923,7.21212121,5.82352941347751,0,0.53030303,31,NA
2011,334,"UK","Aaron Boyd",1,0,0,0,NA,0,1,5.0630252,5.0630252,5.0630252,5.0630252,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"118","Kentucky",12,764,3156.28990968,4.13126951528796,22.27731088,263.02415914,5.0630252,6.91286308430778,0,0.51260504,31,NA
2012,334,"UK","Aaron Boyd",6,0,0,0,NA,0,24,258.24166589,43.0402776483333,10.7600694120833,23.27499993,2.21666666,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"113","Kentucky",12,790,4189.4999874,5.30316454101266,29.92499991,349.12499895,2.21666666,9.02255641811295,0,0.60833333,31,NA
2010,700,"TX Tch","Aaron Fisher",1,0,0,0,NA,0,1,9.36666666,9.36666666,9.36666666,9.36666666,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"15","Texas Tech",13,1054,6226.75184742,5.90773420058824,59.32222218,478.98091134,8.32592592,4.80427046605286,0,0.54074074,40,NA
2011,700,"TX Tch","Aaron Fisher",3,0,0,0,NA,0,5,65.224,21.7413333333333,13.0448,21.04,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"13","Texas Tech",12,991,5940.644,5.99459535822402,54.704,495.053666666667,5.26,6.65399239543726,0,0.552,40,NA
2003,428,"Minn","Aaron Hosack",11,0,0,0,NA,0,51,776.9999963,70.6363633,15.235294045098,76.363636,7.6363636,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"4","Minnesota",13,970,6137.7272435,6.32755385927835,62.9999997,472.132864884615,9.5454545,3.14285715782313,0,0.45454545,46,NA
2010,28,"AZ St","Aaron Pflugrad",10,1,3.16363635,0.316363635,3.16363635,0,29,346.94545305,34.694545305,11.963636312069,47.45454525,2.1090909,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"29","Arizona St.",12,877,5386.6181586,6.14209596191562,50.6181816,448.88484655,6.3272727,5.68965519693817,0,0.55454545,64,NA
2011,28,"AZ St","Aaron Pflugrad",13,0,0,0,NA,0,44,679.8880599,52.2990815307692,15.4520013613636,61.3432836,5.1119403,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"25","Arizona St.",13,950,5924.7388077,6.236567166,56.2313433,455.749139053846,6.13432836,6.84671532646811,0,0.52238806,64,NA
2010,688,"Syra","Aaron Weaver",2,1,-6.82203389,-3.411016945,-6.82203389,0,6,85.76271176,42.88135588,14.2937852933333,31.18644064,0.97457627,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"97","Syracuse",13,812,4090.29660519,5.03731109013547,33.13559318,314.638200399231,7.79661016,5.13043478885444,0,0.47457627,77,NA
2012,472,"NM St","Adam Shapiro",2,0,0,0,NA,0,2,13.9473684,6.9736842,6.9736842,11.15789472,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"102","New Mexico St.",12,791,3741.61402944,4.73023265415929,28.82456136,311.80116912,0.92982456,11.8301886971022,0,0.42982456,114,NA
2007,392,"Md","Adrian Cannon",2,0,0,0,NA,0,3,72.28148128,36.14074064,24.0938270933333,46.77037024,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"92","Maryland",13,878,4709.98887576,5.3644520225057,39.32962952,362.306836596923,6.37777776,6.58536587201496,0,0.56296296,131,NA
2008,392,"Md","Adrian Cannon",3,0,0,0,NA,0,3,77.27272725,25.75757575,25.75757575,60.78787877,1.03030303,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"68","Maryland",13,834,4697.15151377,5.63207615559952,35.03030302,361.319347213077,8.24242424,4.85294117789792,0,0.53030303,131,NA
2009,392,"Md","Adrian Cannon",11,0,0,0,NA,0,44,469.999998,42.7272725454545,10.6818181363636,29.1239315,4.017094,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"102","Maryland",12,802,3813.2264795,4.75464648316708,29.1239315,317.768873291667,2.008547,9.95744685088275,0,0.5042735,131,NA
2010,392,"Md","Adrian Cannon",12,1,5,0.416666666666667,5,0,36,324,27,9,26,1,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"80","Maryland",13,822,4587,5.58029197080292,54,352.846153846154,9,4,0,0.5,131,NA
2010,366,"LT","Ahmad Paige",6,0,0,0,NA,0,16,225.89344337,37.6489072283333,14.118340210625,33.31147552,2.08196722,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"49","Louisiana Tech",12,890,4869.72132758,5.4715969972809,41.6393444,405.810110631667,5.20491805,6.72440942658069,0,0.54098361,145,NA
2004,415,"Mia F","Aikeem Jolla",8,0,0,0,NA,0,15,134.90322537,16.86290317125,8.993548358,16.45161285,1.09677419,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"66","Miami (FL)",12,792,4808.25804896,6.07103289010101,52.64516112,400.688170746667,9.87096771,2.73529412649654,0,0.59677419,149,NA
2005,415,"Mia F","Aikeem Jolla",3,0,0,0,NA,0,4,48.46875,16.15625,12.1171875,18.5625,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"73","Miami (FL)",12,788,4369.40625,5.5449317893401,42.28125,364.1171875,9.28125,2.90909090909091,0,0.53125,149,NA
2006,472,"NM St","Aikeem Jolla",8,0,0,0,NA,0,23,129.5270271,16.1908783875,5.63160987391304,12.47297298,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"3","New Mexico St.",12,930,5470.83784092,5.88262133432258,50.85135138,455.90315341,3.83783784,8.3380281643166,0,0.45945946,149,NA
2006,66,"Bois","Aiona Key",1,0,0,0,NA,0,0,0,0,NA,0,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"10","Boise St.",13,857,5631.223901,6.57085636056009,70.029851,433.171069307692,13.38805975,0,0,0.52985075,151,NA
2010,254,"GA St","Albert Wilson",9,11,5,0.555555555555556,0.454545454545455,0,19,294,32.6666666666667,15.4736842105263,51,2,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"na","Georgia St.",11,650,3603,5.54307692307692,37,327.545454545455,6,5,0,0.5,179,NA
2011,254,"GA St","Albert Wilson",9,4,44,4.88888888888889,11,0,37,772,85.7777777777778,20.8648648648649,78,6,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"na","Georgia St.",11,710,3886,5.47323943661972,31,353.272727272727,3,8,0,0.5,179,NA
2012,254,"GA St","Albert Wilson",11,8,18,1.63636363636364,2.25,0,48,947,86.0909090909091,19.7291666666667,93,7,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"na","Georgia St.",11,719,3458,4.80945757997218,24,314.363636363636,1,10,0,0.5,179,NA
2007,663,"SMU","Aldrick Robinson",5,0,0,0,NA,0,10,157.32835754,31.465671508,15.732835754,45.49253712,0,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"37","Southern Methodist",12,902,4802.30594973,5.3240642458204,40.75373117,400.1921624775,0.94776119,11.606299261948,0,0.44776119,182,3
2008,663,"SMU","Aldrick Robinson",10,0,0,0,NA,0,59,1072.74589752,107.274589752,18.1821338562712,96.31147504,11.27049176,"WR",0,0,0,NA,0,0,NA,0,0,0,0,"98","SMU",12,693,3864.75408352,5.57684571936508,32.78688512,322.062840293333,1.02459016,10.7360000412262,0,0.52459016,182,3
