"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2010,428,"Minn","A.J. Barker",1,0,0,0,0,0,1,18.8658537,17,17,18.8658537,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"77","Minnesota",12,825,4811.9024496,5.26,38.8414635,361.33,3.3292683,8.10989009206618,0,0.6097561,3,NA
2012,428,"Minn","A.J. Barker",8,0,0,0,0,0,30,553.13909974,72.1,19.2,60.39473706,6.71052634,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"108","Minnesota",13,847,4005.22557836,4.93,33.5526317,321.38,5.75187972,7.3019607579694,0,0.45864662,3,NA
2004,257,"Ga","A.J. Bryant",3,0,0,0,0,0,3,64.50000026,19.3,19.3,37.81034498,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"31","Georgia",12,826,5397.98278038,5.88,45.59482777,404.5,11.1206897,1.79844960515354,0,0.61206897,7,NA
2005,257,"Ga","A.J. Bryant",5,1,2.18461538,0.4,2,0,5,91.75384596,16.8,16.8,37.13846146,2.18461538,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"49","Georgia",13,818,5554.38460365,6.22,49.15384605,391.15,10.9230769,2.74647887904186,0,0.59230769,7,NA
2006,257,"Ga","A.J. Bryant",8,1,-2.0909091,-0.3,-2,0,14,262.40909205,31.4,17.9,55.40909115,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"90","Georgia",13,768,4237.22729115,5.28,41.818182,311.77,9.40909095,3.82608693988658,0,0.54545455,7,NA
2007,257,"Ga","A.J. Bryant",2,1,22.0610688,10,20,0,0,0,0,0,0,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"74","Georgia",13,874,5386.20994752,5.59,58.46183232,375.62,12.13358784,1.81314878089678,0,0.60305344,7,NA
2012,334,"UK","A.J. Legree",6,0,0,0,0,0,12,125.24166629,18.8,9.4,22.1666666,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"113","Kentucky",12,790,4189.4999874,4.78,29.92499991,315,2.21666666,9.02255641811295,0,0.60833333,20,NA
2010,66,"Bois","Aaron Burks",5,0,0,0,0,0,6,60.01388876,11.6,9.7,16.55555552,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"2","Boise St.",13,910,7012.31248494,7.45,79.67361094,521.31,12.41666664,0.966442955095717,0,0.53472222,35,NA
2011,66,"Bois","Aaron Burks",4,0,0,0,0,0,6,57.80281707,14.3,9.5,11.15492961,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"9","Boise St.",13,969,6345.12677907,6.46,82.14084531,481.31,12.16901412,0.986111108234954,0,0.51408451,35,NA
2012,66,"Bois","Aaron Burks",8,0,0,0,0,0,17,291.65714149,39.9,18.8,48.45714263,0.91428571,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"68","Boise St.",13,872,4650.97140677,5.83,45.7142855,391.31,10.05714281,2.18750001025391,0,0.41428571,35,NA
