"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2008,234,"FL St","A.J. Alexander",1,0,0,0,0,0,0,0,0,0,0,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"51","Florida St.",13,870,5309.47543044,5.56,56.01639366,371.85,9.88524594,3.6417910306438,0,0.59836066,2,NA
2010,234,"FL St","A.J. Alexander",3,3,6.5172414,2,2,0,2,19.5517242,6,9,19.5517242,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"60","Florida St.",14,897,5798.1724322,5.95,57.5689657,381.29,9.7758621,3.68253967084908,0,0.5862069,2,NA
2009,288,"Hous","A.J. Dugat",8,1,14.3571429,1.9,15,0,14,162.7142862,21.3,12.1,32.54285724,0.95714286,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"1","Houston",14,1150,7548.98573682,6.86,73.70000022,563.36,9.5714286,4.179104465137,0,0.45714286,9,NA
2008,257,"Ga","A.J. Green",13,4,68.28358239,4.7,15.3,0,56,1077.98507937,74.1,17.2,60.44776146,8.95522392,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"22","Georgia",13,826,6199.25375862,6.7,58.20895548,426,11.1940299,2.679999988208,0,0.61940299,12,23
2009,257,"Ga","A.J. Green",10,0,0,0,0,0,53,864.85925896,80.8,15.2,69.57407405,6.42222222,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"75","Georgia",13,793,5039.30370196,5.94,48.16666665,362.15,8.56296296,4.67128027843297,0,0.57037037,12,23
2010,257,"Ga","A.J. Green",9,3,43.71111108,4.7,14,0,57,882.54814752,94.2,14.9,52.037037,9.36666666,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"56","Georgia",13,814,5208.9074037,6.15,53.07777774,385,6.24444444,6.72597865247401,0,0.54074074,12,23
2007,128,"UCF","A.J. Guyton",7,0,0,0,0,0,23,252.17320359,36.1,11,38.87254917,1.99346406,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"45","UCF",14,1016,5744.16668889,5.67,61.79738586,411.64,9.9673203,4.01311473857221,0,0.49673203,13,NA
2009,128,"UCF","A.J. Guyton",12,3,30,2.5,10,0,44,572,47.7,13,76,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"87","UCF",13,859,4431,5.16,43,340.85,8,5,0,0.5,13,NA
2010,128,"UCF","A.J. Guyton",10,5,-4.52797205,-0.5,-1,0,28,319.67482673,35.3,12.6,39.84615404,2.71678323,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"65","UCF",14,898,4741.69233076,5.83,54.3356646,374,9.96153851,3.31274129662527,0,0.40559441,13,NA
2011,128,"UCF","A.J. Guyton",9,0,0,0,0,0,27,397.37705024,44.9,15,57.04918048,0.98360656,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"40","UCF",12,812,4800.98361936,6.01,39.3442624,406.75,4.9180328,7.11666664768889,0,0.48360656,13,NA
2005,472,"NM St","A.J. Harris",10,1,17.352,1.8,18,0,38,428.98,44.5,11.7,46.272,3.856,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"82","New Mexico St.",12,894,3984.212,4.62,25.064,344.42,0,12.448132780083,0,0.464,15,NA
2006,472,"NM St","A.J. Harris",12,3,22.06756758,1.9,7.7,0,70,757.01351394,65.8,11.3,64.28378382,6.71621622,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"3","New Mexico St.",12,930,5470.83784092,6.13,50.85135138,475.17,3.83783784,8.3380281643166,0,0.45945946,15,NA
2007,472,"NM St","A.J. Harris",12,2,-4.7413793,-0.4,-2.5,0,81,579.39655046,50.9,7.5,30.34482752,1.89655172,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"35","New Mexico St.",13,993,5220.2586093,5.54,37.9310344,423.46,3.79310344,9.49090911161653,0,0.44827586,15,NA
2008,472,"NM St","A.J. Harris",12,2,-0.95081967,-0.1,-0.5,0,78,677.93442471,59.4,9.1,79.86885228,2.85245901,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"64","New Mexico St.",12,810,4057.14753189,5.27,33.27868845,355.58,2.85245901,9.46551726259512,0,0.45081967,15,NA
2008,301,"Ill","A.J. Jenkins",11,0,0,0,0,0,11,304.78925589,47.8,26.1,57.34710738,3.18595041,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"19","Illinois",12,853,5592.40495302,6.17,45.66528921,438.83,5.30991735,6.59143969538434,0,0.56198347,16,0
2009,301,"Ill","A.J. Jenkins",6,1,-1.05,-0.2,-1,0,10,129.15,24.6,12.3,31.5,1.05,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"47","Illinois",12,828,4958.1,5.7,39.9,393.5,3.15,8.57142857142857,0,0.55,16,0
2010,301,"Ill","A.J. Jenkins",13,0,0,0,0,0,56,805.79389182,57.4,13.3,58.32824418,7.56106869,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"45","Illinois",13,903,5575.74808254,5.72,54.0076335,397.08,7.56106869,5.55477032705016,0,0.58015267,16,0
2011,301,"Ill","A.J. Jenkins",13,5,26.28888886,2,5.2,0,90,1290.17777636,98.2,14.2,77.85555547,8.08888888,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"85","Illinois",13,912,4675.37777264,5.07,38.42222218,355.69,7.07777777,5.93406594058689,0,0.51111111,16,0
2007,651,"S Fla","A.J. Love",4,0,0,0,0,0,8,121.76865723,27.8,13.9,39.49253748,1.09701493,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"43","South Fla.",13,991,5905.23136819,5.43,61.43283608,414.08,9.87313437,3.64625848802258,0,0.59701493,21,NA
