"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,204,"EMU","A.J. Bennett",8,1,2.94,0.4,3,0,14,229.32,29.3,16.7,33.32,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"116","Eastern Mich.",12,781,3181.08,4.16,22.54,270.5,2.94,9.18367346938776,0,0.48,4,NA
2004,204,"EMU","A.J. Bennett",11,3,23.2970296,2.4,8.7,0.8960396,36,385.297028,39.1,11.9,40.321782,1.7920792,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"21","Eastern Mich.",11,877,4217.6583972,5.37,33.1534652,427.91,3.5841584,7.81215473066146,0,0.3960396,4,NA
2005,204,"EMU","A.J. Bennett",10,6,-1.85981308,-0.2,-0.3,0,60,475.18224194,51.1,8.5,35.33644852,3.71962616,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"80","Eastern Mich.",11,781,3538.2943847,4.87,25.10747658,345.91,3.71962616,7.5276382075988,0,0.42990654,4,NA
2010,96,"Fres","A.J. Johnson",9,1,6.97328247,0.8,7,0,20,240.08015361,26.8,12.1,26.89694667,0.99618321,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"70","Fresno St.",13,858,4799.61070578,5.62,44.82824445,370.62,7.96946568,5.01915706850751,0,0.49618321,18,NA
2011,96,"Fres","A.J. Johnson",7,0,0,0,0,0,8,146.47368428,22,19.3,52.3120301,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"37","Fresno St.",13,887,5092.33834828,6.04,46.60526318,411.85,3.80451128,9.46245058839726,0,0.45112782,18,NA
2008,334,"UK","Aaron Boyd",3,0,0,0,0,0,5,47.39393938,15.3,9.2,16.48484848,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"106","Kentucky",13,859,4008.90908973,4.53,37.09090908,299.31,7.21212121,5.82352941347751,0,0.53030303,31,NA
2011,334,"UK","Aaron Boyd",1,0,0,0,0,0,1,5.0630252,5,5,5.0630252,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"118","Kentucky",12,764,3156.28990968,4.08,22.27731088,259.75,5.0630252,6.91286308430778,0,0.51260504,31,NA
2012,334,"UK","Aaron Boyd",6,0,0,0,0,0,24,258.24166589,38.8,9.7,23.27499993,2.21666666,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"113","Kentucky",12,790,4189.4999874,4.78,29.92499991,315,2.21666666,9.02255641811295,0,0.60833333,31,NA
2010,700,"TX Tch","Aaron Fisher",1,0,0,0,0,0,1,9.36666666,9,9,9.36666666,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"15","Texas Tech",13,1054,6226.75184742,5.68,59.32222218,460.23,8.32592592,4.80427046605286,0,0.54074074,40,NA
2011,700,"TX Tch","Aaron Fisher",3,0,0,0,0,0,5,65.224,20.7,12.4,21.04,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"13","Texas Tech",12,991,5940.644,5.7,54.704,470.58,5.26,6.65399239543726,0,0.552,40,NA
