"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2010,428,"Minn","A.J. Barker",1,0,0,0,0,0,1,17,17,17,17,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"77","Minnesota",12,825,4336,5.26,35,361.33,3,9,0,0.6097561,3,NA
2012,428,"Minn","A.J. Barker",8,0,0,0,0,0,30,577,72.1,19.2,63,7,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"108","Minnesota",13,847,4178,4.93,35,321.38,6,7,0,0.45864662,3,NA
2004,257,"Ga","A.J. Bryant",3,0,0,0,0,0,3,58,19.3,19.3,34,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"31","Georgia",12,826,4854,5.88,41,404.5,10,2,0,0.61206897,7,NA
2005,257,"Ga","A.J. Bryant",5,1,2,0.4,2,0,5,84,16.8,16.8,34,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"49","Georgia",13,818,5085,6.22,45,391.15,10,3,0,0.59230769,7,NA
2006,257,"Ga","A.J. Bryant",8,1,-2,-0.3,-2,0,14,251,31.4,17.9,53,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"90","Georgia",13,768,4053,5.28,40,311.77,9,4,0,0.54545455,7,NA
2007,257,"Ga","A.J. Bryant",2,1,20,10,20,0,0,0,0,0,0,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"74","Georgia",13,874,4883,5.59,53,375.62,11,2,0,0.60305344,7,NA
2012,334,"UK","A.J. Legree",6,0,0,0,0,0,12,113,18.8,9.4,20,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"113","Kentucky",12,790,3780,4.78,27,315,2,10,0,0.60833333,20,NA
2010,66,"Bois","Aaron Burks",5,0,0,0,0,0,6,58,11.6,9.7,16,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"2","Boise St.",13,910,6777,7.45,77,521.31,12,1,0,0.53472222,35,NA
2011,66,"Bois","Aaron Burks",4,0,0,0,0,0,6,57,14.3,9.5,11,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"9","Boise St.",13,969,6257,6.46,81,481.31,12,1,0,0.51408451,35,NA
2012,66,"Bois","Aaron Burks",8,0,0,0,0,0,17,319,39.9,18.8,53,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"68","Boise St.",13,872,5087,5.83,50,391.31,11,2,0,0.41428571,35,NA
2009,388,"Mrsh","Aaron Dobson",5,0,0,0,0,0,15,362,72.4,24.1,48,4,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"81","Marshall",13,875,4538,5.19,34,349.08,7,6,0,0.5,38,NA
2010,388,"Mrsh","Aaron Dobson",11,2,18,1.6,9,0,44,689,62.6,15.7,96,5,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"103","Marshall",12,766,3771,4.92,33,314.25,5,7,0,0.47407407,38,NA
2011,388,"Mrsh","Aaron Dobson",13,1,1,0.1,1,0,49,668,51.4,13.6,77,12,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"102","Marshall",13,853,4334,5.08,35,333.38,7,6,0,0.57142857,38,NA
2012,388,"Mrsh","Aaron Dobson",10,0,0,0,0,0,57,679,67.9,11.9,40,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"6","Marshall",12,1087,6411,5.9,65,534.25,5,7,0,0.46341463,38,NA
2007,529,"Ore","Aaron Pflugrad",7,1,2,0.3,2,0,17,168,24,9.9,23,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"10","Oregon",13,1028,6078,5.91,62,467.54,9,4,0,0.59183673,65,NA
2008,529,"Ore","Aaron Pflugrad",6,1,-5,-0.8,-5,0,6,79,13.2,13.2,26,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"7","Oregon",13,958,6303,6.58,71,484.85,10,3,0,0.51034483,65,NA
2007,331,"Kent","Aaron Robinson",6,0,0,0,0,0,12,156,26,13,44,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"82","Kent St.",12,859,4400,5.12,30,366.67,3,9,0,0.43801653,67,NA
2008,331,"Kent","Aaron Robinson",5,0,0,0,0,0,5,63,12.6,12.6,31,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"36","Kent St.",12,827,4803,5.81,41,400.25,4,8,0,0.41803279,67,NA
2006,498,"ULM","Aaron Stringfellow",6,4,22,3.7,5.5,0,7,79,13.2,11.3,17,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"55","La.-Monroe",12,758,4174,5.51,32,347.83,4,8,0,0.41666667,75,NA
2007,498,"ULM","Aaron Stringfellow",8,4,23,2.9,5.8,0,12,103,12.9,8.6,31,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"65","La.-Monroe",12,891,4628,5.19,36,385.67,6,6,0,0.45528455,75,NA
2009,327,"KS St","Adrian Hilburn",1,1,1,1,1,0,0,0,0,0,0,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"80","Kansas St.",12,802,4192,5.23,34,349.33,6,6,0,0.50892857,135,NA
2010,327,"KS St","Adrian Hilburn",9,0,0,0,0,0,28,299,33.2,10.7,35,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"62","Kansas St.",13,847,4924,5.81,59,378.77,7,6,0,0.52272727,135,NA
2008,71,"BGSU","Adrian Hodges",4,0,0,0,0,0,5,61,15.3,12.2,46,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"60","Bowling Green",12,818,4317,5.28,44,359.75,6,6,0,0.40769231,136,NA
2009,71,"BGSU","Adrian Hodges",11,2,25,2.3,12.5,0,46,417,37.9,9.1,29,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"43","Bowling Green",13,956,5235,5.48,48,402.69,7,6,0,0.51388889,136,NA
2010,71,"BGSU","Adrian Hodges",8,0,0,0,0,0,20,156,19.5,7.8,19,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"115","Bowling Green",12,820,3533,4.31,35,294.42,1,10,0,0.46969697,136,NA
2011,71,"BGSU","Adrian Hodges",9,0,0,0,0,0,15,197,21.9,13.1,56,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"62","Bowling Green",12,830,4614,5.56,42,384.5,5,7,0,0.50833333,136,NA
2006,700,"TX Tch","Adrian Reese",4,0,0,0,0,0,4,66,16.5,16.5,28,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"6","Texas Tech",13,875,5822,6.65,54,447.85,8,5,0,0.53076923,140,NA
