"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2008,234,"FL St","A.J. Alexander",1,0,0,0,0,0,0,0,0,0,0,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"51","Florida St.",13,870,4834,5.56,51,371.85,9,4,0,0.59836066,2,NA
2010,234,"FL St","A.J. Alexander",3,3,6,2,2,0,2,18,6,9,18,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"60","Florida St.",14,897,5338,5.95,53,381.29,9,4,0,0.5862069,2,NA
2009,288,"Hous","A.J. Dugat",8,1,15,1.9,15,0,14,170,21.3,12.1,34,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"1","Houston",14,1150,7887,6.86,77,563.36,10,4,0,0.45714286,9,NA
2008,257,"Ga","A.J. Green",13,4,61,4.7,15.3,0,56,963,74.1,17.2,54,8,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"22","Georgia",13,826,5538,6.7,52,426,10,3,0,0.61940299,12,23
2009,257,"Ga","A.J. Green",10,0,0,0,0,0,53,808,80.8,15.2,65,6,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"75","Georgia",13,793,4708,5.94,45,362.15,8,5,0,0.57037037,12,23
2010,257,"Ga","A.J. Green",9,3,42,4.7,14,0,57,848,94.2,14.9,50,9,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"56","Georgia",13,814,5005,6.15,51,385,6,7,0,0.54074074,12,23
2007,128,"UCF","A.J. Guyton",7,0,0,0,0,0,23,253,36.1,11,39,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"45","UCF",14,1016,5763,5.67,62,411.64,10,4,0,0.49673203,13,NA
2009,128,"UCF","A.J. Guyton",12,3,30,2.5,10,0,44,572,47.7,13,76,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"87","UCF",13,859,4431,5.16,43,340.85,8,5,0,0.5,13,NA
2010,128,"UCF","A.J. Guyton",10,5,-5,-0.5,-1,0,28,353,35.3,12.6,44,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"65","UCF",14,898,5236,5.83,60,374,11,3,0,0.40559441,13,NA
2011,128,"UCF","A.J. Guyton",9,0,0,0,0,0,27,404,44.9,15,58,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"40","UCF",12,812,4881,6.01,40,406.75,5,7,0,0.48360656,13,NA
2005,472,"NM St","A.J. Harris",10,1,18,1.8,18,0,38,445,44.5,11.7,48,4,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"82","New Mexico St.",12,894,4133,4.62,26,344.42,0,12,0,0.464,15,NA
2006,472,"NM St","A.J. Harris",12,3,23,1.9,7.7,0,70,789,65.8,11.3,67,7,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"3","New Mexico St.",12,930,5702,6.13,53,475.17,4,8,0,0.45945946,15,NA
2007,472,"NM St","A.J. Harris",12,2,-5,-0.4,-2.5,0,81,611,50.9,7.5,32,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"35","New Mexico St.",13,993,5505,5.54,40,423.46,4,9,0,0.44827586,15,NA
2008,472,"NM St","A.J. Harris",12,2,-1,-0.1,-0.5,0,78,713,59.4,9.1,84,3,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"64","New Mexico St.",12,810,4267,5.27,35,355.58,3,9,0,0.45081967,15,NA
