"Year","Code","Team","Name","G","Rush","RushYds","RushYPG","RushAvg","RushTD","Rec","RecYds","RecYPG","RecAvg","RecLng","RecTD","Position","QBRAT","Att","Comp","Pct","PassYds","PassYPG","PassAvg","PassTD","Int","Sack","YdsL","Rank","TeamName","TeamGames","Plays","TeamYds","TeamAvg","TeamTD","TeamYPG","Wins","Losses","Ties","Percentage","PlayerID","AV"
2003,204,"EMU","A.J. Bennett",8,1,3,0.4,3,0,14,234,29.3,16.7,34,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"116","Eastern Mich.",12,781,3246,4.16,23,270.5,3,9,0,0.48,4,NA
2004,204,"EMU","A.J. Bennett",11,3,26,2.4,8.7,1,36,430,39.1,11.9,45,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"21","Eastern Mich.",11,877,4707,5.37,37,427.91,4,7,0,0.3960396,4,NA
2005,204,"EMU","A.J. Bennett",10,6,-2,-0.2,-0.3,0,60,511,51.1,8.5,38,4,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"80","Eastern Mich.",11,781,3805,4.87,27,345.91,4,7,0,0.42990654,4,NA
2010,96,"Fres","A.J. Johnson",9,1,7,0.8,7,0,20,241,26.8,12.1,27,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"70","Fresno St.",13,858,4818,5.62,45,370.62,8,5,0,0.49618321,18,NA
2011,96,"Fres","A.J. Johnson",7,0,0,0,0,0,8,154,22,19.3,55,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"37","Fresno St.",13,887,5354,6.04,49,411.85,4,9,0,0.45112782,18,NA
2008,334,"UK","Aaron Boyd",3,0,0,0,0,0,5,46,15.3,9.2,16,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"106","Kentucky",13,859,3891,4.53,36,299.31,7,6,0,0.53030303,31,NA
2011,334,"UK","Aaron Boyd",1,0,0,0,0,0,1,5,5,5,5,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"118","Kentucky",12,764,3117,4.08,22,259.75,5,7,0,0.51260504,31,NA
2012,334,"UK","Aaron Boyd",6,0,0,0,0,0,24,233,38.8,9.7,21,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"113","Kentucky",12,790,3780,4.78,27,315,2,10,0,0.60833333,31,NA
2010,700,"TX Tch","Aaron Fisher",1,0,0,0,0,0,1,9,9,9,9,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"15","Texas Tech",13,1054,5983,5.68,57,460.23,8,5,0,0.54074074,40,NA
2011,700,"TX Tch","Aaron Fisher",3,0,0,0,0,0,5,62,20.7,12.4,20,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"13","Texas Tech",12,991,5647,5.7,52,470.58,5,7,0,0.552,40,NA
2003,428,"Minn","Aaron Hosack",11,0,0,0,0,0,51,814,74,16,80,8,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"4","Minnesota",13,970,6430,6.63,66,494.62,10,3,0,0.45454545,46,NA
2010,28,"AZ St","Aaron Pflugrad",10,1,3,0.3,3,0,29,329,32.9,11.3,45,2,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"29","Arizona St.",12,877,5108,5.82,48,425.67,6,6,0,0.55454545,64,NA
2011,28,"AZ St","Aaron Pflugrad",13,0,0,0,0,0,44,665,51.2,15.1,60,5,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"25","Arizona St.",13,950,5795,6.1,55,445.77,6,7,0,0.52238806,64,NA
2010,688,"Syra","Aaron Weaver",2,1,-7,-3.5,-7,0,6,88,44,14.7,32,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"97","Syracuse",13,812,4197,5.17,34,322.85,8,5,0,0.47457627,77,NA
2012,472,"NM St","Adam Shapiro",2,0,0,0,0,0,2,15,7.5,7.5,12,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"102","New Mexico St.",12,791,4024,5.09,31,335.33,1,11,0,0.42982456,114,NA
2007,392,"Md","Adrian Cannon",2,0,0,0,0,0,3,68,34,22.7,44,0,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"92","Maryland",13,878,4431,5.05,37,340.85,6,7,0,0.56296296,131,NA
2008,392,"Md","Adrian Cannon",3,0,0,0,0,0,3,75,25,25,59,1,"WR",0,0,0,"0",0,0,"0",0,0,0,0,"68","Maryland",13,834,4559,5.47,34,350.69,8,5,0,0.53030303,131,NA
