Year,Code,Team,Name,G,Rush,RushYds,RushYPG,RushAvg,RushTD,Rec,RecYds,RecYPG,RecAvg,RecLng,RecTD,Position,QBRAT,Att,Comp,Pct,PassYds,PassYPG,PassAvg,PassTD,Int,Sack,YdsL,Rank,TeamName,TeamGames,Plays,TeamYds,TeamAvg,TeamTD,TeamYPG,Wins,Losses,Ties,Percentage,PlayerID,AV
2008,234,FL St,A.J. Alexander,1,0,0,0,0,0,0,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,51,Florida St.,13,870,4834,5.56,51,371.85,9,4,0,0.59836066,2,NA
2010,234,FL St,A.J. Alexander,3,3,6,2,2,0,2,18,6,9,18,0,WR,0,0,0,0,0,0,0,0,0,0,0,60,Florida St.,14,897,5338,5.95,53,381.29,9,4,0,0.5862069,2,NA
2010,428,Minn,A.J. Barker,1,0,0,0,0,0,1,17,17,17,17,0,WR,0,0,0,0,0,0,0,0,0,0,0,77,Minnesota,12,825,4336,5.26,35,361.33,3,9,0,0.6097561,3,NA
2012,428,Minn,A.J. Barker,8,0,0,0,0,0,30,577,72.1,19.2,63,7,WR,0,0,0,0,0,0,0,0,0,0,0,108,Minnesota,13,847,4178,4.93,35,321.38,6,7,0,0.45864662,3,NA
2003,204,EMU,A.J. Bennett,8,1,3,0.4,3,0,14,234,29.3,16.7,34,0,WR,0,0,0,0,0,0,0,0,0,0,0,116,Eastern Mich.,12,781,3246,4.16,23,270.5,3,9,0,0.48,4,NA
2004,204,EMU,A.J. Bennett,11,3,26,2.4,8.7,1,36,430,39.1,11.9,45,2,WR,0,0,0,0,0,0,0,0,0,0,0,21,Eastern Mich.,11,877,4707,5.37,37,427.91,4,7,0,0.3960396,4,NA
2005,204,EMU,A.J. Bennett,10,6,-2,-0.2,-0.3,0,60,511,51.1,8.5,38,4,WR,0,0,0,0,0,0,0,0,0,0,0,80,Eastern Mich.,11,781,3805,4.87,27,345.91,4,7,0,0.42990654,4,NA
2009,457,NC,A.J. Blue,6,18,33,5.5,1.8,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,108,North Carolina,13,845,4001,4.73,35,307.77,8,5,0,0.58823529,5,NA
2011,457,NC,A.J. Blue,9,33,138,15.3,4.2,1,2,15,1.7,7.5,15,0,RB,0,0,0,0,0,0,0,0,0,0,0,53,North Carolina,13,813,5112,6.29,49,393.23,7,6,0,0.54961832,5,NA
2012,457,NC,A.J. Blue,12,82,433,36.1,5.3,9,9,80,6.7,8.9,13,1,RB,0,0,0,0,0,0,0,0,0,0,0,14,North Carolina,12,898,5827,6.49,62,485.58,8,4,0,0.45299145,5,NA
2004,67,BC,A.J. Brooks,6,57,319,53.2,5.6,3,3,23,3.8,7.7,15,0,RB,0,0,0,0,0,0,0,0,0,0,0,47,Boston College,12,875,4625,5.29,37,385.42,9,3,0,0.44954128,6,NA
2005,67,BC,A.J. Brooks,1,0,0,0,0,0,0,0,0,0,8,0,RB,0,0,0,0,0,0,0,0,0,0,0,51,Boston College,12,865,4653,5.38,40,387.75,9,3,0,0.56,6,NA
2006,67,BC,A.J. Brooks,5,19,66,13.2,3.5,1,1,21,4.2,21,21,0,RB,0,0,0,0,0,0,0,0,0,0,0,50,Boston College,13,896,4604,5.14,42,354.15,10,3,0,0.57352941,6,NA
2007,67,BC,A.J. Brooks,5,25,79,15.8,3.2,0,4,38,7.6,9.5,17,0,RB,0,0,0,0,0,0,0,0,0,0,0,33,Boston College,14,1081,5951,5.51,52,425.07,11,3,0,0.55172414,6,NA
2004,257,Ga,A.J. Bryant,3,0,0,0,0,0,3,58,19.3,19.3,34,0,WR,0,0,0,0,0,0,0,0,0,0,0,31,Georgia,12,826,4854,5.88,41,404.5,10,2,0,0.61206897,7,NA
